reason	evidence_scope	canonical_teaching_status	rationale
reviewed_tibetan_exact_manual_structural_root_ocr	full_token_explicit_review	reviewed_full_target_teaching_evidence	Exact manual review establishes the full target from pre-correction same-Tibetan canonical evidence, local controls, and one isolated root-span OCR edit.
reviewed_tibetan_exact_manual_structural_subjoined_ocr	full_token_explicit_review	reviewed_full_target_teaching_evidence	Exact manual review establishes the full target from pre-correction same-Tibetan canonical evidence, local controls, and one isolated subjoined-span OCR edit.
reviewed_tibetan_exact_manual_structural_superscript_ocr	full_token_explicit_review	reviewed_full_target_teaching_evidence	Exact manual review establishes the full target from pre-correction same-Tibetan canonical evidence, local controls, and one isolated superscript-span OCR edit.
reviewed_tibetan_exact_manual_structural_vowel_ocr	full_token_explicit_review	reviewed_full_target_teaching_evidence	Exact manual review establishes the full target from pre-correction same-Tibetan canonical evidence, explicit Tibetan vowel evidence, local controls, and one isolated vowel-span OCR edit.
reviewed_tibetan_exact_manual_extra_latin_glyph_ocr	full_token_explicit_review	reviewed_full_target_teaching_evidence	Exact manual review rejects one isolated source-only Latin glyph while independently establishing the full target; unaffected independently delimited spans remain usable.
reviewed_tibetan_exact_manual_multi_error	full_token_explicit_review	reviewed_full_target_teaching_evidence	Explicit exact manual review establishes the complete target.
reviewed_tibetan_exact_transcription_integrity	feature_only_root	supporting_but_derived	Feature-conditioned repair uses an already reviewed root feature and canonical remainder; it cannot self-teach.
reviewed_tibetan_exact_ocr_signature	derived_from_existing_canonical	supporting_but_derived	Exact correction is authorized by an independently canonical full target plus conditioned reviewed OCR signatures; it cannot self-teach.
reviewed_correction_supersession_bridge	composed_repair	supporting_but_derived	Supersession preserves decision history but is not independent canonical evidence.
reviewed_same_tibetan_target_final_nasal_only	feature_only_final_nasal	supporting_but_derived	Reviewed target propagation establishes the final nasal only for teaching purposes.
reviewed_tibetan_exact_final_ng	feature_only_final_nasal	supporting_but_derived	Final-ng review establishes coda evidence, not an independent full token.
reviewed_tibetan_exact_final_r_to_ng	feature_only_final_r_to_ng	supporting_but_derived	Exact pre-promotion review establishes only token-final suffix-coda r→ṅ evidence; the full target remains derived and cannot self-teach.
reviewed_tibetan_exact_final_ng_consensus	feature_only_final_nasal	supporting_but_derived	Final-ng consensus establishes coda evidence, not an independent full token.
reviewed_tibetan_exact_final_ng_echo	feature_only_final_nasal	supporting_but_derived	Final-ng echo review establishes coda evidence, not an independent full token.
reviewed_tibetan_exact_final_ng_historical_witness	feature_only_final_nasal	supporting_but_derived	Historical final-ng review is not a fresh independent canonical vote.
reviewed_tibetan_exact_final_ng_source_compatible	feature_only_final_nasal	supporting_but_derived	Source-compatible review establishes the final nasal only.
reviewed_tibetan_exact_prefixed_final_ng_consensus	feature_only_final_nasal	supporting_but_derived	Prefixed final-ng review establishes the final nasal only.
reviewed_tibetan_exact_residual_ng	feature_only_final_nasal	supporting_but_derived	Residual final-ng review establishes the final nasal only.
reviewed_tibetan_exact_residual_spacing_ng	feature_only_final_nasal	supporting_but_derived	Residual final-ng and spacing review is derived evidence.
reviewed_tibetan_exact_script_ng_witness	feature_only_final_nasal	supporting_but_derived	Script witness establishes the final nasal only.
reviewed_tibetan_exact_yang	feature_only_final_nasal	supporting_but_derived	Reviewed yang repair establishes the relevant final nasal feature.
reviewed_tibetan_exact_reference_marker	marker_only	not_teaching_evidence	Reference-marker repair does not establish transcription.
reviewed_siglum_exact_registry_canonicalization	marker_only	not_teaching_evidence	Siglum normalization does not establish Tibetan transcription.
reviewed_siglum_exact_tar	marker_only	not_teaching_evidence	Siglum normalization does not establish Tibetan transcription.
reviewed_siglum_exact_visht	marker_only	not_teaching_evidence	Siglum normalization does not establish Tibetan transcription.
reviewed_tibetan_exact_initial_i_l_family	feature_only_root	supporting_but_derived	Exact confusable-initial review is feature evidence rather than an independent full-token vote.
reviewed_tibetan_exact_bzhin_bzhugs	feature_only_root	supporting_but_derived	Reviewed ź-family correction establishes the root feature.
reviewed_tibetan_exact_google_tibetan_candidate	full_token_independent_canonical	alternate_witness_only	Google is an alternate witness and cannot independently teach ordinary corpus canonical form.
reviewed_tibetan_exact_residual_context_google	full_token_independent_canonical	alternate_witness_only	Google-supported correction remains alternate-witness evidence.
reviewed_tibetan_exact_dngos	full_token_independent_canonical	reviewed_full_target_teaching_evidence	Exact reviewed dngos target establishes the complete form.
reviewed_tibetan_exact_ambitious_residual_context	other	supporting_but_derived	Exact residual correction requires its own evidence audit.
reviewed_tibetan_exact_di_lta_bu_spacing	punctuation_only	not_teaching_evidence	Spacing repair does not teach canonical transcription.
reviewed_tibetan_exact_di_lta_spacing	punctuation_only	not_teaching_evidence	Spacing repair does not teach canonical transcription.
reviewed_tibetan_exact_gna_khri	other	supporting_but_derived	Family-specific exact repair is retained but not independent teaching evidence.
reviewed_tibetan_exact_second_ambitious_dngos	other	supporting_but_derived	Second-pass family review is supporting rather than independent teaching evidence.
reviewed_tibetan_exact_second_ambitious_gtsang	other	supporting_but_derived	Second-pass family review is supporting rather than independent teaching evidence.
reviewed_tibetan_exact_second_ambitious_lnga	other	supporting_but_derived	Second-pass family review is supporting rather than independent teaching evidence.
reviewed_tibetan_exact_second_ambitious_snang	other	supporting_but_derived	Second-pass family review is supporting rather than independent teaching evidence.
reviewed_tibetan_exact_second_ambitious_sngar	other	supporting_but_derived	Second-pass family review is supporting rather than independent teaching evidence.
