volume	page	line	token_index	tibetan_syllable	source_latin_token	source_signature	proposed_latin_target	compatible_accepted_target_count	compatible_competing_form_counts	incompatible_dotted_form_counts	same_tibetan_dotted_evidence_total	old_alignment_category	source_compatible_category	damage_scope	syllable_identity_guard	confidence	suggested_action	alignment_review_status	context_excerpt	reason_for_deferral
wts_35_51	23	1	1	གདུང	odun	odu<FINAL_NASAL>		0		gduṅ:30; voṅ:1; gdunṅ:1	32	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	"གདུང་ ""odun"	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	69	66	3	འབྲང	byun	byu<FINAL_NASAL>		0		braṅ:11	11	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	"བདད་རྩེའི་འབྲང་གནས་ bdud risi'i ""byun gnas"	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	379	52	2	ཚང	ishah	isha<FINAL_NASAL>		0		tshaṅ:21; tsbaṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	ནག་ཚང་ nag ishah Kurzf. für nag po'i tshaṅ.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	421	41	10	སྙིང	sth	st<FINAL_NASAL>		0		siṅ:3; sāiṅ:1; sñiṅ:1; stiṅ:1	6	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	"auch der Himmelsfluß"" (brDa); ha' chn bo ནམ་མཁའི་སྙིང་པོ nam mkha'i sth po auch nam"	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	428	20	2	འཚོང	ishoh	isho<FINAL_NASAL>		0		tshoṅ:5; tsboṅ:4	9	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	ནམ་འཚོང་ nam 'ishoh auch nam tsoṅ, nam	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	689	69	2	གསུང	gsuṅń	gsuṅ<FINAL_NASAL>		0		gsuṅ:9	9	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	པདྨ་གསུང་ padma gsuṅń cine Mahāyoga-Praxis Ir. -NI'i Hana	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	700	55	3	སྟེང	Dach	Dac<FINAL_NASAL>		0		steṅ:37; stoṅ:1	38	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	obvious_gloss_or_alignment_noise	པུ་ཤུ་སྟེང་ ༼ sten Giebel, Dach eines Pala-	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	712	54	1	ཕྱིང	pyih	pyi<FINAL_NASAL>		0		phyiṅ:15; ppyiṅ:1; pbyiṅ:1	17	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	ཕྱིང་ pyih lphyin.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	737	37	1	དཔུང	dpuṅń	dpuṅ<FINAL_NASAL>		0		dpuṅ:39; phuṅ:1	40	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	དཔུང་ 'dpuṅń	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_35_51	813	40	1	རང	spyan	spya<FINAL_NASAL>		0		raṅ:14; riṅ:1	15	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	unresolved	'རང་དྲང་ཅྲན་ spyan raṅ dran can	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
