volume	page	line	token_index	tibetan_syllable	source	canonical_target	decision	base_ocr_evidence	alternate_witness_evidence	entry_evidence	review_batch
wts_1_34	81	81	1	ཀུན	N	kun	misaligned	Base line contains extra N before the intact sequence kun nas ’phro ba.	none	The Tibetan/Latin cardinality shows ཀུན aligns with the following kun, not N.	alignment_damage_exact_review_20260806
wts_1_34	96	214	1	ཀོང	'koṅ	koṅ	unresolved	Base witness consistently prints an initial straight apostrophe.	none	Three related headwords share the form, but the evidence does not distinguish editorial notation from OCR.	alignment_damage_exact_review_20260806
wts_1_34	97	158	1	ཀོང	'koṅ	koṅ	unresolved	Base witness consistently prints an initial straight apostrophe.	none	Three related headwords share the form, but the evidence does not distinguish editorial notation from OCR.	alignment_damage_exact_review_20260806
wts_1_34	98	51	1	ཀོང	'koṅ	koṅ	unresolved	Base witness consistently prints an initial straight apostrophe.	none	Three related headwords share the form, but the evidence does not distinguish editorial notation from OCR.	alignment_damage_exact_review_20260806
wts_1_34	287	3	3	གཙོ	bo	gtso	misaligned	Base line already contains intact gtso bo after a damaged intervening token.	none	The third Tibetan syllable aligns with gtso; bo belongs to the following Tibetan བོ.	alignment_damage_exact_review_20260806
wts_1_34	701	211	1	འཆི	’chi	chi	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The leading apostrophe is structurally meaningful source notation here; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_1_34	702	101	1	འཆི	’chi	chi	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The leading apostrophe is structurally meaningful source notation here; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_1_34	703	1	1	འཆི	’chi	chi	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	unrelated_same-line alternate changes gron to groṅ	The leading apostrophe is structurally meaningful source notation here; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_1_34	703	83	1	འཆི	’chi	chi	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The leading apostrophe is structurally meaningful source notation here; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_1_34	703	94	1	འཆི	’chi	chi	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The leading apostrophe is structurally meaningful source notation here; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_1_34	703	113	1	འཆི	’chi	chi	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The leading apostrophe is structurally meaningful source notation here; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_1_34	926	1	3	བཞི	bäi	bźi	securely_correctable_latin	Base OCR has one isolated ä for ź in an otherwise exact token.	none	Exact རྟོན་པ་བཞི identity and independent clean bźi evidence establish the target.	alignment_damage_exact_review_20260806
wts_1_34	1003	182	2	ཚག	tsbag	tshag	unresolved	Base entry itself prints tsbag and cites tshags and tsbags variants.	none	The entry supplies direct competing source forms; root-ཚ convention remains unresolved.	alignment_damage_exact_review_20260806
wts_1_34	1048	82	2	སློག	sgrog	slog	securely_correctable_tibetan	Base Latin sgrog is internally coherent and independently clean.	none	The exact thos sgrog 'Hörer' entry and adjacent thos sgrags sibling establish Tibetan ཐོས་སྒྲོག.	alignment_damage_exact_review_20260806
wts_1_34	1138	45	3	འབྱོར	'byor	byor	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_1_34	1198	75	1	དྲེ	de	dre	securely_correctable_tibetan	Base Latin de is exact and locally coherent.	none	Continuous de lemma order and 'einzig, nur' establish Tibetan དེ; observed subjoined r is OCR damage.	alignment_damage_exact_review_20260806
wts_35_51	35	58	2	བཞི	bäi	bźi	securely_correctable_latin	Base OCR has one isolated ä for ź in an otherwise exact token.	none	Exact གདོང་བཞི identity and independent clean bźi evidence establish the target.	alignment_damage_exact_review_20260806
wts_35_51	607	23	2	འབྱོར	'byor	byor	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_35_51	855	38	2	གཞི	Grundlage	gźi	misaligned	Base line has fused/damaged elgi before the German word Grundlage.	none	Grundlage is German gloss, not the Tibetan syllable's Latin token; no text substitution is authorized.	alignment_damage_exact_review_20260806
wts_35_51	916	42	2	ཚར	tsbar	tshar	unresolved	Base witness prints tsbar and the entry later repeats kha tsbar.	none	Repeated source spelling is direct competition; root-ཚ convention remains unresolved.	alignment_damage_exact_review_20260806
wts_35_51	956	77	3	རི	mo	ri	misaligned	Base line fuses gi ri as giri and then prints mo.	none	Exact same-entry Lex. phyag gi ri mo establishes that mo aligns with Tibetan མོ, not རི.	alignment_damage_exact_review_20260806
wts_35_51	968	23	3	ལྡན	Beiname	ldan	misaligned	Base line omits a Latin token for the middle Tibetan member before German Beiname.	none	Beiname is German gloss; it cannot align to Tibetan ལྡན.	alignment_damage_exact_review_20260806
wts_35_51	991	44	2	རེས	res	ris	credible_source_variant	Base witness has res beside explicit Tibetan vowel ེ.	none	The exact phyi res entry supports the printed Latin; canonical ris does not authorize e-to-i correction here.	alignment_damage_exact_review_20260806
wts_8_b	102	16	2	ཚགས	tsbags	tshags	unresolved	Base witness prints tsbags.	none	Competing tsb/tsh realizations remain genuine for root ཚ; no exact side is independently decisive.	alignment_damage_exact_review_20260806
wts_8_b	363	51	2	འབྱོར	'byor	byor	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_8_b	457	27	1	འབོལ	'bol	bol	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_8_b	457	53	1	འབོལ	'bol	bol	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_8_b	458	1	1	འབོལ	'bol	bol	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_8_b	478	41	1	འབྱོར	'byor	byor	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_8_b	480	1	1	འབྱོར	'byor	byor	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_8_b	480	9	1	འབྱོར	'byor	byor	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_8_b	480	45	1	འབྱོར	'byor	byor	credible_source_variant	Base witness prints the apostrophe exactly at Tibetan འ.	none	The apostrophe is structurally meaningful source notation; deletion is not authorized.	alignment_damage_exact_review_20260806
wts_8_b	516	20	2	ཚུལ	tsbul	tshul	unresolved	Base witness prints tsbul.	none	Competing tsb/tsh realizations remain genuine for root ཚ; no exact side is independently decisive.	alignment_damage_exact_review_20260806
wts_9_m	168	33	2	སྤྲོ	spo	spro	securely_correctable_tibetan	Base Latin spo matches the lexical form.	none	Exact miṅ spo 'Namenswechsel' establishes Tibetan སྤོ; observed subjoined r is OCR damage.	alignment_damage_exact_review_20260806
