source_queue	volume	page	line	from_token	proposed_target	reason	applied	context_excerpt	confidence	suggested_action
review_queue	wts_9_m	39	14	dzā	dza	discover_medium_context	0	མ་མོ་ཨི་ཀ་ཛཱ་ཏེ་ ma mo e ka dzā ti npr. eine	review	review
review_queue	wts_9_m	10	56	Sanisära	Saṃsāra	sanskrit_promoted_context_allowlist	0	"— stonskyi bar du ""solange der Sanisära noch"	review	review
review_queue	wts_9_m	18	49	śinaväsika	śinavāsika	sanskrit_char_normalize	0	dha luden den edlen śinaväsika aus Śrāvastī	review	review
review_queue	wts_9_m	47	43	Sarnsära	Saṃsāra	sanskrit_promoted_context_allowlist	0	sich im Gefängnis des Sarnsära zu freu-	review	review
review_queue	wts_9_m	48	34	Sarnsära	Saṃsāra	sanskrit_promoted_context_allowlist	0	burten, Sarnsära.	review	review
review_queue	wts_9_m	121	55	Samisära	Saṃsāra	sanskrit_promoted_context_allowlist	0	dha, bei der er weder an den Samisära gebun-	review	review
review_queue	wts_9_m	171	43	Samisära	Saṃsāra	sanskrit_promoted_context_allowlist	0	"""man ist. den ganzen Samisära lang nicht dem"	review	review
review_queue	wts_9_m	233	60	Sanisära	Saṃsāra	sanskrit_promoted_context_allowlist	0	"des Sanisära"" (Nigu 47,2); gtsug lag (khani) ..."	review	review
review_queue	wts_9_m	268	39	Samisära	Saṃsāra	sanskrit_promoted_context_allowlist	0	"(metr.) ""der Samisära 157 bis hin zum Nir-"	review	review
review_queue	wts_9_m	271	51	Sanisära	Saṃsāra	sanskrit_promoted_context_allowlist	0	"der Wüste des unerträglichen Sanisära l.eid"""	review	review
review_queue	wts_9_m	271	54	Sarnsära	Saṃsāra	sanskrit_promoted_context_allowlist	0	ser großen Wildnis der Wüste des Sarnsära	review	review
corrected_text_scan	wts_9_m	5	5	Pändurä		residual_sanskrit_like_damage		"Göttin Pändurä"" (Hev 1.1.22c); ra ña na —"	low	review
corrected_text_scan	wts_9_m	6	35	Häriti		residual_sanskrit_like_damage		"daṅ bcas pa ""die Gottheit Häriti mit ihrem"	low	review
corrected_text_scan	wts_9_m	7	46	Blütenblättern		residual_sanskrit_like_damage		"ten Blütenblättern"" (ViśT' 76,20); sprin gyi"	low	review
corrected_text_scan	wts_9_m	7	89	erwähnten		residual_sanskrit_like_damage		"oben [erwähnten] ""lantras (skt. pārvatantra"	low	review
corrected_text_scan	wts_9_m	9	90	Mahäyäna		residual_sanskrit_like_damage		"vom Mahäyäna abgefallen sind"" (Mvy 796)."	low	review
corrected_text_scan	wts_9_m	10	85	quälte		residual_sanskrit_like_damage		"""er quälte nicht"" (Mvy 6598); — beins —"	low	review
corrected_text_scan	wts_9_m	14	41	Aktivitäten		residual_sanskrit_like_damage		"mdzad pa yin te ""die Aktivitäten von gŚen-"	low	review
corrected_text_scan	wts_9_m	14	89	Väter		residual_sanskrit_like_damage		"nicht, Väter gibt es nicht"" (K1 ña 261a7); de"	low	review
corrected_text_scan	wts_9_m	18	49	śinaväsika		residual_sanskrit_like_damage		dha luden den edlen śinaväsika aus Śrāvastī	low	review
corrected_text_scan	wts_9_m	19	52	hätte		residual_sanskrit_like_damage		"gezeigt hätte"" (ViśT' 262,4)."	low	review
corrected_text_scan	wts_9_m	20	82	beständigen		residual_sanskrit_like_damage		"beständigen"" (Mvy 1739, Abt. mya ran las"	low	review
corrected_text_scan	wts_9_m	22	47	aparipiirnakärt		residual_sanskrit_like_damage		Lex. aparipiirnakärt (Mvy 1612, Abt. dka'	low	review
corrected_text_scan	wts_9_m	23	29	beeinträchtigt		residual_sanskrit_like_damage		"beeinträchtigt ist"" (Mvy 338, Abt. dpe byad"	low	review
corrected_text_scan	wts_9_m	23	35	nägaräja		residual_sanskrit_like_damage		Lex. /0//// royal po — =acyuto nägaräja (Mvy	low	review
corrected_text_scan	wts_9_m	24	41	erklärt		residual_sanskrit_like_damage		"rigs par bśad de — pa'o ""wie zuweilen erklärt"	low	review
corrected_text_scan	wts_9_m	25	6	Tär		residual_sanskrit_like_damage		"Subhūti und Maticitra bekannt"" (Tär 71,5)."	low	review
corrected_text_scan	wts_9_m	25	9	möätulungam		residual_sanskrit_like_damage		Lex. möätulungam (Mvy 4517, Abt. tsbad ma	low	review
corrected_text_scan	wts_9_m	25	21	Mätaramgara-		residual_sanskrit_like_damage		schlungen hat; ma tram rū tra Mätaramgara-	low	review
corrected_text_scan	wts_9_m	26	37	ähnl		residual_sanskrit_like_damage		"""andernfalls"" (Mvy 5452, ähnl. 7074)."	low	review
corrected_text_scan	wts_9_m	28	10	Umä		residual_sanskrit_like_damage		Umä, der Feuergott, Gaṅgā, das Schilfrohr-	low	review
corrected_text_scan	wts_9_m	30	32	beschäf-		residual_sanskrit_like_damage		un den Bodhisattva Avalokitesvara beschäf-	low	review
corrected_text_scan	wts_9_m	34	76	gewährten		residual_sanskrit_like_damage		sung [an das Kloster] gewährten śe-bam[-	low	review
corrected_text_scan	wts_9_m	35	67	ähnl		residual_sanskrit_like_damage		"ist"" (Mvy 1688, ähnl. 8694)."	low	review
corrected_text_scan	wts_9_m	38	19	nädi		residual_sanskrit_like_damage		8. eine nädi im Körper, skt. inātart.	low	review
corrected_text_scan	wts_9_m	38	69	später		residual_sanskrit_like_damage		üger 1994: 116; später auch Abhidharma-	low	review
corrected_text_scan	wts_9_m	38	76	fähig		residual_sanskrit_like_damage		"du jugnus pa ste ""er ist fähig, Sūtras, Vinaya"	low	review
corrected_text_scan	wts_9_m	38	85	Tär		residual_sanskrit_like_damage		"Abhidharma-Gelehrte"" (Tär 100,18)."	low	review
corrected_text_scan	wts_9_m	40	2	aninditä		residual_sanskrit_like_damage		Lex. aninditä (Mvy 500); ma smad = mchog	low	review
corrected_text_scan	wts_9_m	41	53	Blä-		residual_sanskrit_like_damage		"sbos cham pa ma Zu daṅ (metr.) ""die an Blä-"	low	review
corrected_text_scan	wts_9_m	41	79	mäluduh		residual_sanskrit_like_damage		Lex. mäluduh) (Mvy 7901); mätnlab (Mvy	low	review
corrected_text_scan	wts_9_m	41	79	mätnlab		residual_sanskrit_like_damage		Lex. mäluduh) (Mvy 7901); mätnlab (Mvy	low	review
corrected_text_scan	wts_9_m	45	31	kiläst		residual_sanskrit_like_damage		kiläst (Mvy 8872).	low	review
corrected_text_scan	wts_9_m	46	5	$		residual_sanskrit_like_damage		"134,8); /$/)/// —s sdug bsṅal bar gyur ta re ""es"	low	review
corrected_text_scan	wts_9_m	48	51	Ländern		residual_sanskrit_like_damage		richtete in den Ländern Maru, Mālava, Me-	low	review
corrected_text_scan	wts_9_m	49	68	niederträchtig		residual_sanskrit_like_damage		"""niederträchtig"" (Mvy 7686, nur Ms. L); ma"	low	review
corrected_text_scan	wts_9_m	51	84	mallikä		residual_sanskrit_like_damage		Lex. mallikä (Mvy 6155, Abt. me tog sna	low	review
corrected_text_scan	wts_9_m	52	90	vollständig		residual_sanskrit_like_damage		"und Pfade des Vajrayāna vollständig"" (KTh"	low	review
corrected_text_scan	wts_9_m	53	23	dänam		residual_sanskrit_like_damage		"dänam gacchati ""es gelangt zum Ende"" (Mvy"	low	review
corrected_text_scan	wts_9_m	54	12	mäsakam		residual_sanskrit_like_damage		Lex. mäsakam (Mvy 9265); sion dus rin than	low	review
corrected_text_scan	wts_9_m	56	36	Mahäpälas		residual_sanskrit_like_damage		wa in der zweiten Lebenshālfte Mahäpälas	low	review
corrected_text_scan	wts_9_m	57	43	Säkya		residual_sanskrit_like_damage		pandi ta chen po Säkya śrī bha dra dan ... la	low	review
corrected_text_scan	wts_9_m	57	59	Viräcärya		residual_sanskrit_like_damage		"""Viräcärya, der König von Odiviśa, der mit"	low	review
corrected_text_scan	wts_9_m	57	65	Tär		residual_sanskrit_like_damage		"Kālacakratantra"" (Tär 175,7)."	low	review
corrected_text_scan	wts_9_m	58	58	Mähis-		residual_sanskrit_like_damage		sprach wie zuvor zu Sambhūta, der in Mähis-	low	review
corrected_text_scan	wts_9_m	60	71	ratä		residual_sanskrit_like_damage		"ratä ""Faltenreichtum, Runzeligkeit"" (Mvy"	low	review
corrected_text_scan	wts_9_m	63	54	erklärte		residual_sanskrit_like_damage		"rig pa — bśad cin yod ""insbesondere erklärte"	low	review
corrected_text_scan	wts_9_m	65	10	'unzählige		residual_sanskrit_like_damage		"'unzählige Lebewesen'"" (ViśT 124,7); skye"	low	review
corrected_text_scan	wts_9_m	65	60	kämpfte		residual_sanskrit_like_damage		"durch kämpfte"" (Tār 22,16); na lit ~s gnag"	low	review
corrected_text_scan	wts_9_m	65	89	pägah		residual_sanskrit_like_damage		"Lex. pägah ""Schar"" (Mvy 5078); geig yan"	low	review
corrected_text_scan	wts_9_m	66	6	häufung		residual_sanskrit_like_damage		"häufung"" (Mvy 5075); —r ur nas geig tu"	low	review
corrected_text_scan	wts_9_m	66	67	Mahäsammata		residual_sanskrit_like_damage		"König Mahäsammata an"" (ViśT 252,9); — da"	low	review
corrected_text_scan	wts_9_m	67	5	mahäsamimatab		residual_sanskrit_like_damage		Lex. mahäsamimatab (Mvy 3552, Abt. 'khor	low	review
corrected_text_scan	wts_9_m	67	34	Vätsiputriyas		residual_sanskrit_like_damage		"Vätsiputriyas und die Kaurukullakas"" (Tār"	low	review
corrected_text_scan	wts_9_m	67	38	Mahäsammatiyas		residual_sanskrit_like_damage		"die Mahäsammatiyas"" (Śambh 2955)."	low	review
corrected_text_scan	wts_9_m	68	12	bahulänam		residual_sanskrit_like_damage		bya'o = satam bahulänam nägabalam nāmo-	low	review
corrected_text_scan	wts_9_m	68	12	nägabalam		residual_sanskrit_like_damage		bya'o = satam bahulänam nägabalam nāmo-	low	review
corrected_text_scan	wts_9_m	70	28	Läu-		residual_sanskrit_like_damage		"mad ku ta yaṅ gźag par bya'o ""nicht nur Läu-"	low	review
corrected_text_scan	wts_9_m	70	63	Leseermächtigungen		residual_sanskrit_like_damage		le Leseermächtigungen von śāstras [zusam-	low	review
corrected_text_scan	wts_9_m	71	40	ämnayah		residual_sanskrit_like_damage		"Lex. ämnayah ""Überlieferung"" (Mvy 7570);"	low	review
corrected_text_scan	wts_9_m	73	73	dä		residual_sanskrit_like_damage		Lex. man dä ra ba (v.l. om. ba) = mandaā-	low	review
corrected_text_scan	wts_9_m	74	15	hämandäravali		residual_sanskrit_like_damage		hämandäravali (Mvy 6203, Abt. me tog sna	low	review
corrected_text_scan	wts_9_m	81	8	Hälfte		residual_sanskrit_like_damage		"Hälfte eines Monats"" (Mvy 8276, Abt. dus"	low	review
corrected_text_scan	wts_9_m	84	7	Nägas		residual_sanskrit_like_damage		Nāgārjuna aus dem Land der Nägas geholt	low	review
corrected_text_scan	wts_9_m	84	45	Pächter		residual_sanskrit_like_damage		der Pächter selbst mit den abhāngigen Bau-	low	review
corrected_text_scan	wts_9_m	87	53	Schlafstätte		residual_sanskrit_like_damage		"sanam ""Schlafstätte und Sitz"" (Mvy 5858)."	low	review
