source_queue	volume	page	line	from_token	proposed_target	reason	applied	context_excerpt	confidence	suggested_action
review_queue	wts_1_34	955	102	tshaṅs	tshans	discover_medium_context	0	ཏྟད་ལ་ཚངས་ stod la tshaṅs in säin rluṅ -	review	review
review_queue	wts_1_34	1203	75	rtiṅ	rtin	discover_medium_context	0	དེ་རྟིང་ de rtin Kurzf. für de’i rtiṅ la dann, da-	review	review
review_queue	wts_1_34	23	52	śrijhäna	śrijhāna	sanskrit_char_normalize	0	śrijhäna). 1. Teil: Einführung, Inhaltsverzeichnis, Namensglossar. 2. Teil: Textmaterialien.	review	review
review_queue	wts_1_34	47	132	Käśasena	Kāśasena	sanskrit_char_normalize	0	la wa se na’i bu — „Käśasena, der Sohn des Lavasena“ (Tär 191,12).	review	review
review_queue	wts_1_34	65	84	śrävakabhümi	śrāvakabhumi	sanskrit_char_normalize	0	„auch diejenigen, die die śrävakabhümi erlernen möchten, sollen eben diese Prajhäpära-	review	review
review_queue	wts_1_34	73	18	samvyavaharıkam	samvyavaharikam	sanskrit_char_normalize	0	Lex. samvyavaharıkam „im Verkehr üblich,	review	review
review_queue	wts_1_34	74	34	mädbhi	mādbhi	sanskrit_char_normalize	0	mädbhi). — skt. samantäloka.	review	review
review_queue	wts_1_34	116	133	Nägabuddhi	Nāgabuddhi	sanskrit_char_normalize	0	skt. Nägabuddhi.	review	review
review_queue	wts_1_34	148	114	adhyäsa	adhyāsa	sanskrit_char_normalize	0	7. [poet. t. t.] Übertragung. - skt. adhyäsa.	review	review
review_queue	wts_1_34	206	53	Hutäśana	Hutāśana	sanskrit_char_normalize	0	bdag (metr.) „Sarasvati, Hutäśana und Prajapati“ (Suv 125,13, skt. 161,3); — 77/ myur	review	review
review_queue	wts_1_34	229	144	Ha-śrı-har	Ha-śri-har	sanskrit_char_normalize	0	— ba „sie riefen das als Ha-śrı-har bekannte	review	review
review_queue	wts_1_34	312	43	saddhäatukausalya	saddhāatukausalya	sanskrit_char_normalize	0	handeln soll (für skt. saddhäatukausalya (!)	review	review
review_queue	wts_1_34	353	198	śäkyas	śākyas	sanskrit_char_normalize	0	vor dem König der śäkyas“ (Glr 1,6); zol	review	review
review_queue	wts_1_34	362	159	kusaläbhyäsayogyatva	kusalābhyāsayogyatva	sanskrit_char_normalize	0	Gutes zu tun (skt. kusaläbhyäsayogyatva)	review	review
review_queue	wts_1_34	383	113	icchatä	icchatā	sanskrit_char_normalize	0	beweisen möchte (skt. siddhim icchatä)“	review	review
review_queue	wts_1_34	409	40	Apramänaśubhas	Apramānaśubhas	sanskrit_char_normalize	0	Apramänaśubhas, der Akanisthas [usw.]“	review	review
review_queue	wts_1_34	487	124	śrotaäpanna	śrotaāpanna	sanskrit_char_normalize	0	Grad eines śrotaäpanna erlangte“ (Tär 7,9).	review	review
review_queue	wts_1_34	570	15	śyämävati	śyāmāvati	sanskrit_char_normalize	0	Bhiruka; ¬~ can npr. śyämävati, die Tochter	review	review
review_queue	wts_1_34	655	171	Kämeśvaras	Kāmeśvaras	sanskrit_char_normalize	0	1. Beiname Kämeśvaras, Kimadevas.	review	review
review_queue	wts_1_34	740	116	buddhabhattäraka	buddhabhattāraka	sanskrit_char_normalize	0	Ehrwürdigen (für skt. buddhabhattäraka)	review	review
review_queue	wts_1_34	757	107	Kämeśvaras	Kāmeśvaras	sanskrit_char_normalize	0	Kämeśvaras.	review	review
review_queue	wts_1_34	808	145	śänaväsika	śānavāsika	sanskrit_char_normalize	0	den edlen śänaväsika aus Srävasti ein“ (Tär	review	review
review_queue	wts_1_34	831	208	drädhya	drādhya	sanskrit_char_normalize	0	Teigopfer zur Annäherung (skt. drädhya)	review	review
review_queue	wts_1_34	833	99	khäditva	khāditva	sanskrit_char_normalize	0	ernährt wurde (skt. khäditva)“ (Bca 5.68c).	review	review
review_queue	wts_1_34	854	67	Prajnä-śataka	Prajñā-śataka	sanskrit_jn_cluster_contextual	0	— 1990: Hundert Strophen von der Lebensklugheit. Nägarjunas [!] Prajnä-śataka tibe-	review	review
review_queue	wts_1_34	997	62	sarvatragäminipratipajjnänabalam	sarvatragāminipratipajjñānabalam	sanskrit_jn_cluster_contextual	0	sarvatragäminipratipajjnänabalam (sGra	review	review
review_queue	wts_1_34	1015	111	adhigata-paramärtha	adhigata-paramārtha	sanskrit_char_normalize	0	heit erkannt (skt. adhigata-paramärtha)“	review	review
review_queue	wts_1_34	1059	67	śätaka	śātaka	sanskrit_char_normalize	0	sthülasätaka „grober śätaka|-Stoff]“ (Ak	review	review
review_queue	wts_1_34	1061	144	vrddhängustha	vrddhāngustha	sanskrit_char_normalize	0	gesegnete große Zehe (skt. vrddhängustha)	review	review
review_queue	wts_1_34	1063	158	Udbhatasiddhasvämin	Udbhatasiddhasvāmin	sanskrit_char_normalize	0	"Dichter, skt. ""Udbhatasiddhasvämin."	review	review
review_queue	wts_1_34	1096	28	śuddhä	śuddhā	sanskrit_char_normalize	0	pa „von Schmutz rein sein, Präsens und Perfekt“ (Dagy); — pa = śuddhä „reine [Stim-	review	review
review_queue	wts_1_34	1115	41	śraddhäbala	śraddhābala	sanskrit_char_normalize	0	śraddhäbala), gehört zu den !stobs Ina.	review	review
review_queue	wts_1_34	1115	79	śraddhä	śraddhā	sanskrit_char_normalize	0	mams mhon par dga’ ba = abhiratih śraddhä-	review	review
review_queue	wts_1_34	1140	54	śrijnäna	śrijñāna	sanskrit_jn_cluster_contextual	0	དཱ་པཾ་ཀ་ར་ཤྲི་དྷཱ་ན་ di pam ka ra śrijnäna auch di	review	review
review_queue	wts_1_34	1140	64	śrijnäna	śrijñāna	sanskrit_jn_cluster_contextual	0	„die von Atıśa Dipamkära[śrijnäna] tatsächlich erstellte [Abhandlung] zur Geomantie	review	review
review_queue	wts_1_34	1154	63	śankhapälas	śankhapālas	sanskrit_char_normalize	0	Sippe śankhapälas, die weiß wie ein Meeres-	review	review
review_queue	wts_1_34	1166	12	śmaSänasütra	śmaSānasutra	sanskrit_char_normalize	0	śmaSänasütra) zieht“ (Hev 1.2.20/9,8).	review	review
review_queue	wts_1_34	1227	73	tathätva	tathātva	sanskrit_char_normalize	0	Lex. tathätva (in Mvy 134).	review	review
review_queue	wts_1_34	1264	93	śäkyas	śākyas	sanskrit_char_normalize	0	(metr.) „auch der große König der śäkyas,	review	review
review_queue	wts_1_34	1272	43	krtärthah	krtārthah	sanskrit_char_normalize	0	Lex. krtärthah „Nutzen bewirkt habend“	review	review
review_queue	wts_1_34	1273	24	Amoghapäśahrdaya	Amoghapāśahrdaya	sanskrit_char_normalize	0	pa’i säin-po, skt. Amoghapäśahrdaya (Toh	review	review
corrected_text_scan	wts_1_34	10	81	Einträge		residual_sanskrit_like_damage		Einträge der Mahävyutpatti (Mvy) und der sGra-sbyor bam-po giüis-pa (sGra) werden	low	review
corrected_text_scan	wts_1_34	10	81	Mahävyutpatti		residual_sanskrit_like_damage		Einträge der Mahävyutpatti (Mvy) und der sGra-sbyor bam-po giüis-pa (sGra) werden	low	review
corrected_text_scan	wts_1_34	11	39	$		residual_sanskrit_like_damage		Zur Wiedergabe des Sanskrit $ srgsbs	low	review
corrected_text_scan	wts_1_34	11	48	Sanskrit-Einträgen		residual_sanskrit_like_damage		Bei den Sanskrit-Einträgen in Bilinguen (z.B. Tshe) werden die Buchstaben ts, tsh, dz und w au	low	review
corrected_text_scan	wts_1_34	19	178	Säkyaprabha		residual_sanskrit_like_damage		’grel pa ’od ldan / Säkyaprabha: ĀArya-mülasarvastivadi-sramanera-kārikā-vrtti-pra-	low	review
corrected_text_scan	wts_1_34	22	51	Mahävyutpatti		residual_sanskrit_like_damage		Bye brag tu rtogs par byed pa [d. i. Mahävyutpatti] | Isunaama/FuRupA 1989 [Mvy], ¦ Sakaki 1965	low	review
corrected_text_scan	wts_1_34	23	81	Nagärjunä		residual_sanskrit_like_damage		FILLIOZAT, Jean 1979: Yogasataka, texte medical attribue a Nagärjunä. Textes sanskrit et tibetain,	low	review
corrected_text_scan	wts_1_34	25	96	Mahävyutpatti		residual_sanskrit_like_damage		Mahävyutpatti ༈ IstuHAmA/FuRuDA 1989 [Mvy], ¦ Sakaki 1916 [Mvy-S]	low	review
corrected_text_scan	wts_1_34	27	16	Prajnävarman		residual_sanskrit_like_damage		Prajnävarman | SCHNEIDER 1993 [ViśT)	low	review
corrected_text_scan	wts_1_34	27	79	Säntideva		residual_sanskrit_like_damage		Säntideva: Bodhicaryavatāra | WELLER 1950 [Bca]	low	review
corrected_text_scan	wts_1_34	27	117	Prajnävarmans		residual_sanskrit_like_damage		Viśesastava mit Prajnävarmans Kommentar. Nach dem tibetischen Tanjur hg. und übers.	low	review
corrected_text_scan	wts_1_34	28	72	Prajiäparämita		residual_sanskrit_like_damage		Prajiäparämita|!]-Upadesa-Sästra. The work of Bodhisattva Maitreya. Fasc. I: Introduction,	low	review
corrected_text_scan	wts_1_34	28	72	-Upadesa-Sästra		residual_sanskrit_like_damage		Prajiäparämita|!]-Upadesa-Sästra. The work of Bodhisattva Maitreya. Fasc. I: Introduction,	low	review
corrected_text_scan	wts_1_34	28	85	Säntideva		residual_sanskrit_like_damage		STEINKELLNER, Ernst 1981: Säntideva: Eintritt in das Leben zur Erleuchtung (Bodhicaryavatāra).	low	review
corrected_text_scan	wts_1_34	29	117	Mahäparinirvanasütra		residual_sanskrit_like_damage		WALDSCHMIDT, Ernst 1949-1951: Das Mahäparinirvanasütra. Text in Sanskrit und Tibetisch, ver-	low	review
corrected_text_scan	wts_1_34	30	36	Prajha-päramitä-ratna-guna-samcaya-gäthä		residual_sanskrit_like_damage		Yuyama, Akira 1976: Prajha-päramitä-ratna-guna-samcaya-gäthä. Sanskrit recension A, edited	low	review
corrected_text_scan	wts_1_34	36	162	Gefäß		residual_sanskrit_like_damage		nannte Gefäß“ (Liś 36,1); ~ = ka to ra (Bon	low	review
corrected_text_scan	wts_1_34	37	17	mahäkätyayana		residual_sanskrit_like_damage		Śākyamuni. - für skt. mahäkätyayana.	low	review
corrected_text_scan	wts_1_34	37	23	mahäkätyayanah		residual_sanskrit_like_damage		Lex. mahäkätyayanah (Mvy 1034).	low	review
corrected_text_scan	wts_1_34	38	175	Kanäda		residual_sanskrit_like_damage		[Vaiśesika-] Lehre des Kanäda“ (Tär 137,9).	low	review
corrected_text_scan	wts_1_34	38	175	Tär		residual_sanskrit_like_damage		[Vaiśesika-] Lehre des Kanäda“ (Tär 137,9).	low	review
corrected_text_scan	wts_1_34	40	39	sthanä		residual_sanskrit_like_damage		Lex. sthanä (Mvy 5572); stambhab (Mvy	low	review
corrected_text_scan	wts_1_34	41	68	Nälan-		residual_sanskrit_like_damage		Upādhyāya des Klosters Nälan-	low	review
corrected_text_scan	wts_1_34	41	76	Tär		residual_sanskrit_like_damage		Upādhyāya“ (Tär 198,21).	low	review
corrected_text_scan	wts_1_34	41	140	Kämäśoka		residual_sanskrit_like_damage		hieß er Kämäśoka, [tib.] !’dod-pa’i mya ran	low	review
corrected_text_scan	wts_1_34	42	86	Nähe		residual_sanskrit_like_damage		bo gser ldan „Malladeśa ... ist das Land der Malla. Nordwestlich davon in der Nähe von	low	review
corrected_text_scan	wts_1_34	44	16	śäkya		residual_sanskrit_like_damage		[śäkya]muni mit Eifer“ (Tär 194,15).	low	review
corrected_text_scan	wts_1_34	44	16	Tär		residual_sanskrit_like_damage		[śäkya]muni mit Eifer“ (Tär 194,15).	low	review
corrected_text_scan	wts_1_34	44	114	Stätten		residual_sanskrit_like_damage		in die herrlichste aller Stätten, nach śti Kaläpa	low	review
corrected_text_scan	wts_1_34	44	114	Kaläpa		residual_sanskrit_like_damage		in die herrlichste aller Stätten, nach śti Kaläpa	low	review
corrected_text_scan	wts_1_34	44	173	kalavinkasvararutä		residual_sanskrit_like_damage		kalavinkasvararutä (Mvy 481).	low	review
corrected_text_scan	wts_1_34	44	187	männlichen		residual_sanskrit_like_damage		„Kalama-Reis ... vermehrt den männlichen śa-	low	review
corrected_text_scan	wts_1_34	46	128	Käśa		residual_sanskrit_like_damage		/ gein sri ba sel „das Kuśa-Gras und beide Arten von Käśa ... beseitigen [von] Störungen	low	review
corrected_text_scan	wts_1_34	46	194	Käśı		residual_sanskrit_like_damage		na „im Distrikt Käśı nahe der Stadt Benares“	low	review
corrected_text_scan	wts_1_34	46	206	käsıka		residual_sanskrit_like_damage		Lex. käsıka° (Mvy 9176); yul gyi min ste mdo	low	review
corrected_text_scan	wts_1_34	47	132	Käśasena		residual_sanskrit_like_damage		la wa se na’i bu — „Käśasena, der Sohn des Lavasena“ (Tär 191,12).	low	review
corrected_text_scan	wts_1_34	47	132	Tär		residual_sanskrit_like_damage		la wa se na’i bu — „Käśasena, der Sohn des Lavasena“ (Tär 191,12).	low	review
corrected_text_scan	wts_1_34	50	5	nägaräja		residual_sanskrit_like_damage		Lex. klu’irgyal po -~ =kambalo nägaräja (Mvy	low	review
