family_key	canonical	family_total	variant_count	non_canonical_total	confidence	top_variants	example_line
bodhisattva	Bodhisattva	51	3	2	high	Bodhisattva:49 | bodhisattvā:1 | bodhisattva:1	"""er sprach zum Bodhisattva Vimalakirti"""
madhyadesa	Madhyadesa	8	2	1	high	Madhyadesa:7 | Madhyadeśa:1	"pa ""Madhyadeśa ist reich an Rindern und"
madhya	madhya	6	2	1	high	madhya:5 | Madhya:1	Bauch wird hart [usw.]; mittel (skt. madhya)
madhyama	Madhyama	4	2	1	high	Madhyama:3 | madhyama:1	madhyama (Kurzf. ma).
snan	snaṅ	4	2	1	high	snaṅ:3 | sñan:1	Lex. snaṅ ba — (brDa); sna tsbogs pa'am dza
akarah	ākarah	3	2	1	high	ākarah:2 | ākārah:1	pa'am — nam tshul = ākārah (Mvy 6578);
pataka	patākā	3	2	1	high	patākā:2 | patāka:1	Schun 2012: 1478, Neb 17; von skt. patāka,
prajnaparamitasutra	Prajnāpāramitāsūtra	3	2	1	high	Prajnāpāramitāsūtra:2 | prajnāpāramitāsūtra:1	Prajnāpāramitāsūtra, das der Vater für Glin
mahasattva	Mahäsattva	3	2	1	medium	Mahäsattva:2 | mahäsattva:1	nes Mahäsattva, das Eingangstor zu den un-
aksobhya	aksobhya	2	2	1	low	aksobhya:1 | Aksobhya:1	linke Kanal trägt Aksobhya (skt. aksobhya-
bodhisattvastufe	Bodhisattvastufe	2	2	1	low	Bodhisattvastufe:1 | Bodhisattva-Stufe:1	"""Nägärjuna, der die erste Bodhisattva-Stufe,"
gtsan	gTsaṅ	2	2	1	low	gtsaṅ:1 | gTsaṅ:1	"Lex. mi'i ro gtsaṅ ma skyon med pa ""eii-"
sarvajnatapragbharab	sarvajnatāprāgbhārab	2	2	1	low	sarvajnatāprāgbhārab:1 | sarvajnatāpragbhārab:1	"'Dab ms. L) pa = sarvajnatāpragbhārab ""der"
bodhisattvas	Bodhisattvas	22	1	0	none	Bodhisattvas:22	"versammelte sich eine Million Bodhisattvas"""
gnis	gñis	16	1	0	none	gñis:16	mtshan sum cu rtsa gñis kyi min).
madhyamaka	Madhyamaka	8	1	0	none	Madhyamaka:8	Lehrsystem, skt. Madhyamaka, — lugs dass.
dnos	dṅos	7	1	0	none	dṅos:7	Lex. ba ku (v.|. kku) la'am dṅos su bZag (v..
