frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	context_excerpt
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	501	110	2	གསང	gsan	gsaṅ	positional	dominant_internal_consensus	none	གྒྨྲ་གསང་ sgra gsan
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	501	112	2	གསང	gsan	gsaṅ	positional	dominant_internal_consensus	none	སྒྲ་གསང་ sgra gsan Stimme, Geräusch.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	559	209	2	གསང	gsah	gsaṅ	positional	dominant_internal_consensus	none	རྔ་གསང་ rna gsah Trommelton.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	634	41	2	གསང	gsan	gsaṅ	positional	dominant_internal_consensus	none	ཆབ་གསང་ chab gsan Bez. für Urin.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	720	197	3	གསང	gsan	gsaṅ	positional	dominant_internal_consensus	none	འཇམ་དཔལ་གསང་གྒང་ Jam dpal gsan rgynd npr.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	157	78	4	ཐུང	thun	thuṅ	echo	uncertain	uncertain	རྐང་ཐུང་ rkaṅ thun Irkan 'thun.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	37	119	2	ཐུང	thun	thuṅ	positional	dominant_internal_consensus	none	ཀ་ཐུང་ ka thun (ka).
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	157	78	2	ཐུང	thun	thuṅ	positional	dominant_internal_consensus	none	རྐང་ཐུང་ rkaṅ thun Irkan 'thun.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	943	7	3	ཐུང	thun	thuṅ	positional	dominant_internal_consensus	none	སྟག་བུ་ཐུང་ stag bu thun npr. ein Dämon.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	955	38	2	ཐུང	thun	thuṅ	positional	dominant_internal_consensus	none	ཏྟད་ཐུང་ stod thun ein Kleidungsstück, Bluse;
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	1277	57	2	ཐུང	thun	thuṅ	positional	dominant_internal_consensus	none	དོར་ཐུང་ dor thun kurzer Unterrock, kurze
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_35_51	739	47	4	དཔུང	dpun	dpuṅ	echo	explicit_same_lemma_repetition	none	དཔུང་མགོ་ dpuṅ mgo auch dpun pa'i mgo
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_35_51	740	75	4	དཔུང	dpun	dpuṅ	echo	explicit_same_lemma_repetition	none	དཔུང་པ་ dpuṅ pa auch dpun Arm, Oberarm,
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	784	143	3	དཔུང	dpun	dpuṅ	positional	dominant_internal_consensus	none	ཉེ་བའི་དཔུང་པ་ fie ba’i dpun pa Ellbogen.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	1294	70	2	དཔུང	dpun	dpuṅ	positional	dominant_internal_consensus	none	དྲག་དཔུང་ drag dpun Armee.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_35_51	737	43	1	དཔུང	dpun	dpuṅ	positional	dominant_internal_consensus	none	དཔུང་ 'dpun.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_35_51	738	54	1	དཔུང	dpun	dpuṅ	positional	dominant_internal_consensus	none	"དཔུང་ ""dpun Ldpuṅ pa."
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_35_51	739	1	1	དཔུང	dpun	dpuṅ	positional	dominant_internal_consensus	none	"དཔུང་གི་ཆུང་གི་་ "" dpun gi chuṅ gi"
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	467	145	5	ཕྲེང	phren	phreṅ	echo	explicit_same_lemma_repetition	none	རྒྱན་ཕྲེང་ rgyan phreh auch rgyan ’phren Hals-
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_35_51	1074	47	5	ཕྲེང	phren	phreṅ	echo	explicit_same_lemma_repetition	none	ཕྲེང་བ་ཅན་ phreṅ ba can auch 'phren ba can.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	39	188	2	ཕྲེང	phren	phreṅ	positional	dominant_internal_consensus	none	ཀ་ཕྲེང་ ka phren ('ka) „ka-Kranz“, alphabetische
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	52	85	3	ཕྲེང	phren	phreṅ	positional	dominant_internal_consensus	none	ཀརྨ་ཐོད་ཕྲེང་རྩལ་ karma thod phren rtsal „Karma
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	54	191	3	ཕྲེང	phren	phreṅ	positional	dominant_internal_consensus	none	ཀླིམྨི་ལིའི་ཕྲེང་བ་ kimmi li phren ba eine Stadt in
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	401	80	2	ཕྲེང	phren	phreṅ	positional	dominant_internal_consensus	none	གློག་ཕྲེང་ཅན་ glog phren can (zw.) Bez. für den
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	424	158	2	ཕྲེང	phren	phreṅ	positional	dominant_internal_consensus	none	བགྲང་ཕྲེང་འཛིན་ beran phren ’dzin Beiname des
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	467	145	2	ཕྲེང	phreh	phreṅ	positional	dominant_internal_consensus	none	རྒྱན་ཕྲེང་ rgyan phreh auch rgyan ’phren Hals-
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_8_b	113	24	6	བོང	bon	boṅ	echo	cross_reference_probable	none	བོང་ང་ནག་པོ་ boṅ na nag po Kurzf. bon nag
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_8_b	113	38	6	བོང	bon	boṅ	echo	explicit_same_lemma_repetition	none	བོང་ང་དམར་པོ་ boṅ na dmar po auch bon ba
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	47	150	3	བོང	bon	boṅ	positional	dominant_internal_consensus	none	ཀག་ལ་བོང་ kag la bon
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	47	196	3	བོང	bon	boṅ	positional	dominant_internal_consensus	none	ཀག་ལ་བོང་ kag la bon der Nan-chao-Herrscher
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_8_b	112	45	1	བོང	bon	boṅ	positional	dominant_internal_consensus	none	"བོང་ར་ ""bon rgya"
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_8_b	115	52	1	བོང	bon	boṅ	positional	dominant_internal_consensus	none	བོང་བུ་ལན་ ° bon bu lan tshwa eine Heilpflan-
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_8_b	115	66	1	བོང	bon	boṅ	positional	dominant_internal_consensus	none	བོང་རྨེ * bon rmed Schweifriemen, Schwanz-
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_8_b	284	19	3	བྲེང	bren	breṅ	echo	explicit_same_lemma_repetition	none	བྲེང་ 'breṅ auch 'bren Brauch, Gepflogenheit,
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_8_b	263	45	2	བྲེང	bren	breṅ	positional	dominant_internal_consensus	none	"བྲང་བྲེང་ ""braṅ bren Tdran dreṅ."
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_8_b	284	23	1	བྲེང	bren	breṅ	positional	damaged_context	damage_before_latin_alignment	བྲེང་ ?bren npr. ein Ort.
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	1017	200	3	མོང	mon	moṅ	echo	uncertain	uncertain	"ཐུན་མོང་ EN"" thun mon chos."
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_9_m	254	15	5	མོང	mon	moṅ	echo	explicit_same_lemma_repetition	none	མོང་གོལ་གན་ moṅ gol gan auch mon gor
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_9_m	254	24	4	མོང	mon	moṅ	echo	explicit_same_lemma_repetition	none	མོང་རྟུལ་ moṅ rtul auch mon brtul dumm,
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	269	32	2	མོང	mon	moṅ	positional	dominant_internal_consensus	none	ཁུར་མོང་ khur mon auch khur man eine Pflan-
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	1017	56	2	མོང	mon	moṅ	positional	dominant_internal_consensus	none	བུན་མོང་ tbun mon
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	1017	118	2	མོང	mon	moṅ	positional	dominant_internal_consensus	none	བུན་མོང་ཆོས་ thun mon chos
c483a0c2c4a5a055dc90cd95d2eca630785d8d44	wts_1_34	1017	212	2	མོང	mon	moṅ	positional	dominant_internal_consensus	none	ཐུན་མོང་ཀུད་མེད་ tbun mon bud med Bez. für
