frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	context_excerpt
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	583	77	4	ཀྱང	kyan	kyaṅ	echo	uncertain	none	ཅིས་ཀྱང་ cis Ryan Tcinas kyan.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	929	151	5	ཀྱང	kyan	kyaṅ	echo	uncertain	none	5 AS ཀྱང་ཉི་ དགོས་ lta smos kyan ci dgos auch
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	104	89	1	ཀྱང	kyan	kyaṅ	positional	source_compatible_dominant_consensus	none	ཀྱང་ཀྱོང་ kyan kyon uneben, wellig.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	710	175	3	ཀྱང	kyan	kyaṅ	positional	source_compatible_dominant_consensus	none	ཇི་ནས་ཀྱང་ JE nas kyan unbedingt; vgl. །€/ nas
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	1087	1	3	ཀྱང	kyan	kyaṅ	positional	source_compatible_dominant_consensus	none	ད་དུང་ཀྱང་ da duṅ kyan
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	1087	34	3	ཀྱང	kyan	kyaṅ	positional	source_compatible_dominant_consensus	none	ད་དུང་ཀྱང་ da duṅ kyan Ida dun yan.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	248	15	2	གདང	gdan	gdaṅ	positional	source_compatible_dominant_consensus	none	།ཁ་གདང་ kha gdan den Mund öffnen.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	268	206	2	གདང	gdan	gdaṅ	positional	source_compatible_dominant_consensus	none	ཁུར་གདང་ khur gdan Holzgestell für Lasten.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	491	175	3	ཕང	phan	phaṅ	positional	source_compatible_dominant_consensus	none	སྒེག་མོའི་ཕང་ sgeg mo’i phan Bez. für Himmel.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	1338	33	5	ཕྱུང	phyun	phyuṅ	echo	explicit_same_lemma_repetition	none	དྲུངས་ཕྱུང་ druns phyun auch drun phyun pf. zu
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	1015	179	3	ཕྱུང	phyun	phyuṅ	positional	source_compatible_dominant_consensus	none	ཐུགས་ཧུར་ཕྱུང་ thugs hur phyun erschrocken.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	1152	1	2	ཕྱུང	phyun	phyuṅ	positional	source_compatible_dominant_consensus	none	དུག་ཕྱུང་ dug phyun
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	1338	33	2	ཕྱུང	phyun	phyuṅ	positional	source_compatible_dominant_consensus	none	དྲུངས་ཕྱུང་ druns phyun auch drun phyun pf. zu
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	36	79	3	བང	ban	baṅ	positional	source_compatible_dominant_consensus	none	ཀ་ཏ་བང་ཀ་ Ra ta ban ka eine Heilpflanze. - skt.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	89	167	2	བང	ban	baṅ	positional	source_compatible_dominant_consensus	none	ཀེ་བང་ ke ban, auch ke wan npr. eın chinesischer
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	198	137	7	བུང	bun	buṅ	echo	explicit_same_lemma_repetition	none	སྐྱི་བུང་ skyi bun auch skyi ’buns, skyi bun furcht-
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	198	137	2	བུང	bun	buṅ	positional	source_compatible_dominant_consensus	none	སྐྱི་བུང་ skyi bun auch skyi ’buns, skyi bun furcht-
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_35_51	428	8	4	ཚོང	tshon	tshoṅ	echo	uncertain	none	ནམ་ཚོང་ nam tshoṅ Inam 'tshon.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_8_b	433	23	2	ཚོང	tshon	tshoṅ	positional	source_compatible_dominant_consensus	none	"འབྲམ།་ཚོང་ ""bam tshon Zwangskauf."
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_35_51	1100	46	6	འཕོང	phon	phoṅ	echo	explicit_same_lemma_repetition	none	འཕོང་གི་དཔོང་ས་ 'phoṅ gi dpoṅ sa auch 'phon gi
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	489	61	2	འཕོང	phon	phoṅ	positional	source_compatible_dominant_consensus	none	སྒ་འཕོང་ sga ’phon hinterer Teil des Sattels.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_9_m	376	35	4	འཕྲང	phran	phraṅ	echo	uncertain	none	སྨག་ཤཤན་འཕྲང་གེ་གཡས་ smog Se siṅ 'phran go
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_35_51	1111	15	1	འཕྲང	phran	phraṅ	positional	source_compatible_dominant_consensus	none	འཕྲང་འཕྲེང་ /phran phreṅ Verlangen.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	597	84	5	རོང	ron	roṅ	echo	explicit_same_lemma_repetition	none	གཅོང་རོང་ gcon ron auch con ron Schlucht,
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	587	1	2	རོང	ron	roṅ	positional	source_compatible_dominant_consensus	none	ཅོང་རོང་ con ron
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	587	13	2	རོང	ron	roṅ	positional	source_compatible_dominant_consensus	none	ཅྲོང་རོང་ con ron \gcon roṅ.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	597	84	2	རོང	ron	roṅ	positional	source_compatible_dominant_consensus	none	གཅོང་རོང་ gcon ron auch con ron Schlucht,
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	943	182	2	རོང	ron	roṅ	positional	source_compatible_dominant_consensus	none	སྟག་རོང་ stag ron npr. cin Ort.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_35_51	498	28	5	ལུང	luh	luṅ	positional	source_compatible_dominant_consensus	none	གནམ་གྱི་བྱེ་མ་ལུང་པ་ gram gyi bye ma luh pa
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	99	16	2	ལུང	lun	luṅ	positional	source_compatible_dominant_consensus	none	ཀོང་ལུང་ koṅ lun ein bestimmtes Jahr.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	143	52	2	ལུང	lun	luṅ	positional	source_compatible_dominant_consensus	none	བཀའ་ལུང་ bka’ lun
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	143	78	2	ལུང	lun	luṅ	positional	source_compatible_dominant_consensus	none	བཀའ་ལུང་ ba’ lun.
e7ada80b5b44c271d4e4daabf035cfd00c62bbc1	wts_1_34	593	190	5	ལུང	lun	luṅ	positional	source_compatible_dominant_consensus	none	གཅིག་ལས་འཕྲོས་པའི་ལུང་ gcig las ’phros pa’i lun
