tibetan_syllable	source_variant	source_signature	supported_target	hypothetical_target	undotted_clean_row_count	base_ocr_dotted_anchor_count	reviewed_exact_dotted_anchor_count	google_adopted_anchor_count	other_postprocess_anchor_count	unknown_provenance_anchor_count	same_volume_raw_anchor_count	cross_volume_raw_anchor_count	explicit_same_entry_repeat_count	direct_repeated_tibetan_alignment_count	probable_cross_reference_count	google_unresolved_exact_target_count	google_candidate_exact_target_count	google_conflicting_reading_count	prior_reviewed_same_source_exact_count	prior_reviewed_same_tibetan_target_different_source_count	damaged_row_count	marker_row_count	tibetan_structure_status	entry_series_cluster_count	alignment_plausibility	target_evidence_channels	lemma_identity_channels	recurrence_context_channels	circular_reviewed_anchor_count	suggested_review_tier	volumes	sample_contexts
གླེང	glen	gle<FINAL_NASAL>	gleṅ		11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor		undotted_rows:11	0	anchor_provenance_or_identity_review	wts_1_34	གྲོས་གླེང་ gros glen Gespräch, Beratung, Dis- || གླེང་ glen sprechen, berichten, erklären. || གླེང་མོ་ glen mo
ལྟོང	lton	lto<FINAL_NASAL>	ltoṅ		3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	1	plausible_requires_review			undotted_rows:3;entry_series_clusters:1	0	anchor_provenance_or_identity_review	wts_1_34	ལྟོང་ lton Kerbe, Vertiefung, Nocke; mda’ ~ || ལྟོང་གོམས་པ་ lton goms pa mit Pfeilen vertraut, || ལྟོང་ཅན་ lton can Bez. für Pfeil.
ང	khan	kha<FINAL_NASAL>	khaṅ		2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor		undotted_rows:2	0	anchor_provenance_or_identity_review	wts_1_34	མགོན་།ང་ mgon khan Tempel, Gebetsraum, || རྔ་།ང་ rna khan 1,677¢ khan. Tungkuh.
བབཟུང	bzun	bzu<FINAL_NASAL>	bzuṅ		1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	བཏང་བབཟུང་ཆེན་པོ་ btaṅ bzun chen po
བསྐྱེང	bskyen	bskye<FINAL_NASAL>	bskyeṅ		1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	བསྐྱེང་ bskyen beschämt sein; vgl. Iskyens.
བསླང	bslan	bsla<FINAL_NASAL>	bslaṅ		1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	ཁུར་བསླང་ངོ་ khur bslan no verbale Verstöße
རྐྱོང	rkyon	rkyo<FINAL_NASAL>	rkyoṅ		1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	རྐྱོང་ rkyon pf. Ibrkyans bzw. lbrkyan fut.
སྡེང	sden	sde<FINAL_NASAL>	sdeṅ		1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	google_adopted_anchor		undotted_rows:1	0	anchor_provenance_or_identity_review	wts_1_34	ཀློ མི་སྐྱ་སྡེང་ klo mi skya sden npr. ein Volk.
སློང	slon	slo<FINAL_NASAL>	sloṅ		15	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	plausible_requires_review	base_ocr_dotted_anchor	probable_cross_reference_requires_review	undotted_rows:15	0	base_anchor_identity_review	wts_1_34	ཀུན་ནས་སློང་བ་ kun nas slon ba, Kurzf. \kun slon. || ཀུན་ནས་སློང་བ་པོ་ kun nas slon ba po „der Erhe- || ཀུན་སློང་ kun slon
གཏང	gtan	gta<FINAL_NASAL>	gtaṅ		9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	1	plausible_requires_review	base_ocr_dotted_anchor		undotted_rows:9;entry_series_clusters:1	0	base_anchor_identity_review	wts_1_34	ངེས་པར་གཏང་བར་བྱཀྱི་ nes par gtan bar bgyi fut. || ཆགས་གསུམ་གཏང་བ་ chags gsum gtan ba ein || གཏང་ gtan fur. zu Igton.
