volume	page	line	token_index	tibetan_syllable	source	canonical_target	current_alignment_status	rescue_category	line_zone	tibetan_token_ordinal	latin_token_ordinal	token_start	token_end	boundary_status	damage_scope	marker_attached	layout_signature	positive_layout_support	negative_layout_collisions	upgrade_authorized	blocker	context_excerpt
wts_1_34	49	124	1	ཀམ	Ram	kam	probable_transcription_outlier	probable_headword_span	tibetan_only	unavailable	1	5	8	token_boundary_secure	none	no	tibetan_only|missing_transliteration|token_index=1|preceding=other|following=other	0	1	no	layout_pattern_not_zero_collision_high_support	"ཀམ་ ""Ram"
wts_1_34	43	86	1	ཀར	ka	kar	probable_transcription_outlier	probable_headword_span	headword_line	unavailable	1	9	11	token_boundary_secure	none	no	headword_line|probable_span|token_index=1|preceding=space|following=space	140	2	no	layout_pattern_not_zero_collision_high_support	ཀར་ཝི་ར་ ka 7 wira !ka ra bi ra.
wts_1_34	53	46	1	ཀི	'ki	ki	probable_transcription_outlier	probable_headword_span	tibetan_only	unavailable	1	7	10	token_boundary_secure	none	no	tibetan_only|missing_transliteration|token_index=1|preceding=space|following=space	88	0	no	layout_pattern_not_zero_collision_high_support	ཀི་ཀང་ 'ki kan
wts_1_34	53	70	1	ཀི	'ki	ki	probable_transcription_outlier	probable_headword_span	tibetan_only	unavailable	1	4	7	token_boundary_secure	later_gloss_or_commentary	no	tibetan_only|missing_transliteration|token_index=1|preceding=space|following=space	88	0	no	layout_pattern_not_zero_collision_high_support	ཀི་ 'ki für Ziffer 31.
wts_1_34	53	87	1	ཀི	'ki	ki	probable_transcription_outlier	probable_headword_span	tibetan_only	unavailable	1	7	10	token_boundary_secure	none	no	tibetan_only|missing_transliteration|token_index=1|preceding=space|following=space	88	0	no	layout_pattern_not_zero_collision_high_support	ཀི་ཀང་ 'ki kan Beiname des Rähu. -- vgl. chın.
wts_35_51	759	20	1	ཀི	dpyid	ki	probable_transcription_outlier	probable_headword_span	headword_line	unavailable	1	13	18	token_boundary_secure	none	no	headword_line|probable_span|token_index=1|preceding=space|following=space	140	2	no	layout_pattern_not_zero_collision_high_support	་ཀི་དབངས་ལན་ dpyid kyi dbyans dan Bez.
wts_1_34	53	72	1	ཀི	ei	ki	probable_transcription_outlier	probable_headword_span	tibetan_only	unavailable	1	5	7	token_boundary_secure	none	no	tibetan_only|missing_transliteration|token_index=1|preceding=other|following=space	1	1	no	layout_pattern_not_zero_collision_high_support	ཀི་ °ei interj. bei Aufbruch, „auf“, „los“, „vor-
wts_1_34	92	50	1	ཀི	kai	ki	probable_transcription_outlier	probable_headword_span	headword_line	unavailable	1	9	12	token_boundary_secure	none	no	headword_line|probable_span|token_index=1|preceding=space|following=space	140	2	no	layout_pattern_not_zero_collision_high_support	ཀི་རི་མ་ kai ri ma, auch kai ri ma, ke’u ri, ke’u ri
wts_1_34	92	54	1	ཀི	kai	ki	probable_transcription_outlier	probable_headword_span	headword_line	unavailable	1	8	11	token_boundary_secure	none	no	headword_line|probable_span|token_index=1|preceding=space|following=space	140	2	no	layout_pattern_not_zero_collision_high_support	ཀི་ལ་ཤ་ kai la sa
wts_1_34	92	95	1	ཀི	kai	ki	probable_transcription_outlier	probable_headword_span	headword_line	unavailable	1	8	11	token_boundary_secure	none	no	headword_line|probable_span|token_index=1|preceding=space|following=space	140	2	no	layout_pattern_not_zero_collision_high_support	ཀི་ལ་ཤ་ kai la Sa, auch ke la 5a.
wts_35_51	368	77	1	ཀི	narikila	ki	probable_transcription_outlier	probable_headword_span	tibetan_only	unavailable	1	7	15	token_boundary_secure	none	no	tibetan_only|missing_transliteration|token_index=1|preceding=space|following=space	88	0	no	layout_pattern_not_zero_collision_high_support	་ཀི་ལ་ narikila Inalikera.
wts_1_34	41	102	4	ཀི	raksi	ki	probable_transcription_outlier	probable_headword_span	headword_line	unavailable	4	23	28	token_boundary_secure	none	no	headword_line|probable_span|token_index=4|preceding=space|following=space	20	1	no	layout_pattern_not_zero_collision_high_support	་མ་ལ་རྭ་ཀི་ཏ་ ka ma la raksi ta npr., ein Äcärya. —
wts_35_51	1040	66	3	ཀི	uw	ki	probable_transcription_outlier	probable_headword_span	tibetan_only	unavailable	3	14	16	token_boundary_secure	none	no	tibetan_only|missing_transliteration|token_index=3|preceding=space|following=space	15	0	no	layout_pattern_not_zero_collision_high_support	"Mr ་ཀི་ "" , 7 uw 2 U h-"
wts_1_34	354	29	1	ཀི	’ge	ki	probable_transcription_outlier	probable_headword_span	tibetan_only	unavailable	1	4	7	token_boundary_secure	none	no	tibetan_only|missing_transliteration|token_index=1|preceding=space|following=space	88	0	no	layout_pattern_not_zero_collision_high_support	ཀི” ’ge |°.
