source_queue	volume	page	line	token_index	source_token	proposed_canon	work_title	intro_line_ref	status	context_excerpt	suggested_action
corrected_text_scan	wts_35_51	14	49		gs	Gs	rGyud sde kun btus	abbr_lit_1	active	"gs — zin pa'am gnaṅ ba lta bu ""wie: ein Rat-"	siglum_policy_review
corrected_text_scan	wts_35_51	19	50		lis	Liś	Li shi source siglum	abbr_lit_3	active	Zig sion rgyal po ... gyi btsun mor byas pa lis	siglum_policy_review
corrected_text_scan	wts_35_51	27	58		ps	Ps	Peking source	abbr_lit_2	active	"skyabs nid (metr.) ""du bist die zu དཿ ps"	siglum_policy_review
corrected_text_scan	wts_35_51	28	68		ins	Ins	Inscription sources	abbr_lit_2	active	"den ins Dorf geführt"" (Ppu 610)."	siglum_policy_review
corrected_text_scan	wts_35_51	29	58		Lsdz	Lśdz	Li shi gur khang / Lśdz family	abbr_lit_3	active	Lsdz 119,1). he	siglum_policy_review
corrected_text_scan	wts_35_51	32	24		ins	Ins	Inscription sources	abbr_lit_2	active	"ins Gesicht zu schauen"" (Prav 18,8); skye bo"	siglum_policy_review
corrected_text_scan	wts_35_51	41	39		rol	Rol	Rol siglum	abbr_lit_4	active	"rol fies la rtog byed pa (metr.) ""die eigenen"	siglum_policy_review
corrected_text_scan	wts_35_51	61	59		rol	Rol	Rol siglum	abbr_lit_4	active	55,27); — dpuṅ gäom phyir stobs kyi pha rol	siglum_policy_review
corrected_text_scan	wts_35_51	75	54		rol	Rol	Rol siglum	abbr_lit_4	active	"$// ... kun nas rol bar byed (metr.) ""indem cs"	siglum_policy_review
corrected_text_scan	wts_35_51	76	60		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"Hilfe einer angemessenen Methode"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	81	54		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"Samvara, Värähi und Pramäna usw."" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	96	65		gzi	gZi	gZi siglum	abbr_lit_4	active	"cu' min); — sam gzi brjid = ojah ""Glanz"""	siglum_policy_review
corrected_text_scan	wts_35_51	97	28		gzi	gZi	gZi siglum	abbr_lit_4	active	Lex. gzi od daṅ ldan pa (Dagy).	siglum_policy_review
corrected_text_scan	wts_35_51	104	7		ins	Ins	Inscription sources	abbr_lit_2	active	"einen Speer ins Herz und tötete ihn"" (Nel"	siglum_policy_review
corrected_text_scan	wts_35_51	109	29		Lis	Liś	Li shi source siglum	abbr_lit_3	active	"bdar ba: vor sich selbst ausgebreitet"" (Lis"	siglum_policy_review
corrected_text_scan	wts_35_51	120	74		gzi	gZi	gZi siglum	abbr_lit_4	active	"Lex. gzi brjid rgyas pa ""großer Glanz (?)"""	siglum_policy_review
corrected_text_scan	wts_35_51	123	37		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"der Nägas plätteten sie [den Boden]"" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	124	15		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	"die Auslegung des Abhidharmakosa"" (Bu-Sz"	siglum_policy_review
corrected_text_scan	wts_35_51	140	34		ins	Ins	Inscription sources	abbr_lit_2	active	"ins Dasein"" (gZi-Sn 66,24); de Itar 'gyur nas"	siglum_policy_review
corrected_text_scan	wts_35_51	141	9		rol	Rol	Rol siglum	abbr_lit_4	active	"rol du yan bder mi 'gyur (metr.) ""er wird"	siglum_policy_review
corrected_text_scan	wts_35_51	141	11		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"er in der jenseitigen Welt glücklich"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	141	12		rol	Rol	Rol siglum	abbr_lit_4	active	224,26); ~r bde don gñer pha rol yal bar	siglum_policy_review
corrected_text_scan	wts_35_51	141	20		rol	Rol	Rol siglum	abbr_lit_4	active	"pha rol dn'an (metr.) ""in dieser und auch"	siglum_policy_review
corrected_text_scan	wts_35_51	167	71		rol	Rol	Rol siglum	abbr_lit_4	active	"cin slad rol tu mchi bar ci gnaṅ ""erlaubst du,"	siglum_policy_review
corrected_text_scan	wts_35_51	171	37		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"zurechtmachen, d.h. disziplinieren"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	176	30		rol	Rol	Rol siglum	abbr_lit_4	active	"pa'i rol sgeg (metr.) ""mit Macht verbunde-"	siglum_policy_review
corrected_text_scan	wts_35_51	184	19		ins	Ins	Inscription sources	abbr_lit_2	active	thugs la — ins Herz schließen; sdig la — zum	siglum_policy_review
corrected_text_scan	wts_35_51	184	38		ins	Ins	Inscription sources	abbr_lit_2	active	"nicht ins Herz schließt"" (Mil 63,4); pha ma"	siglum_policy_review
corrected_text_scan	wts_35_51	184	82		lis	Liś	Li shi source siglum	abbr_lit_3	active	"schienen sind"" (In12 W40); 'dir ni lis kyani"	siglum_policy_review
corrected_text_scan	wts_35_51	185	48		rol	Rol	Rol siglum	abbr_lit_4	active	"kha 247b1); — pa dag la ma rol te ""er ver-"	siglum_policy_review
corrected_text_scan	wts_35_51	186	65		rol	Rol	Rol siglum	abbr_lit_4	active	[Lehrjmeinung, phyi rol po'! — pa gegneri-	siglum_policy_review
corrected_text_scan	wts_35_51	187	2		rol	Rol	Rol siglum	abbr_lit_4	active	9.40); des pha rol po'i — pa'i don grub pa	siglum_policy_review
corrected_text_scan	wts_35_51	198	3		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"kuh, die dem Jamadagni gehörte"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	208	43		lis	Liś	Li shi source siglum	abbr_lit_3	active	"ke angeht"" (In5 W56); lis kyani gcags pa myi"	siglum_policy_review
corrected_text_scan	wts_35_51	208	65		gs	Gs	rGyud sde kun btus	abbr_lit_1	active	"liche Samādhi-Stufen"" (Tär 87,11); gs kyis"	siglum_policy_review
corrected_text_scan	wts_35_51	214	65		Lsdz-K	Lśdz-K	Lśdz-K variant	abbr_lit_3	active	"mit 'dre[-Dämonen] debattieren"" (Lsdz-K"	siglum_policy_review
corrected_text_scan	wts_35_51	223	14		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. ma thogs pa'am pha rol tu thal mar byas	siglum_policy_review
corrected_text_scan	wts_35_51	227	32		rol	Rol	Rol siglum	abbr_lit_4	active	7987, Abt. 'phags pa rgya cher rol pa'i nani nas	siglum_policy_review
corrected_text_scan	wts_35_51	229	63		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. — pa = rol mo ... brdabs pa'i byed	siglum_policy_review
corrected_text_scan	wts_35_51	246	7		ins	Ins	Inscription sources	abbr_lit_2	active	"'Phan-kon [ins Amt] ein"" (5750 111)."	siglum_policy_review
corrected_text_scan	wts_35_51	246	46		ins	Ins	Inscription sources	abbr_lit_2	active	ins Wasser steckt und kocht, wird er wie Jo-	siglum_policy_review
corrected_text_scan	wts_35_51	249	64		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. rol mo sogs brdabs pa'i bskul tshig ""ein"	siglum_policy_review
corrected_text_scan	wts_35_51	252	33		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	"ich dir eine Nachricht gesandt habe?"" (VisT"	siglum_policy_review
corrected_text_scan	wts_35_51	254	61		Viś	Vis	Vis source	abbr_lit_2	active	"bunden sei"" (Viś 500); khan pa brtsegs pa /"	siglum_policy_review
corrected_text_scan	wts_35_51	264	21		Lsdz-K	Lśdz-K	Lśdz-K variant	abbr_lit_3	active	"des Königs der Vögel, gesteckt"" (Lsdz-K"	siglum_policy_review
corrected_text_scan	wts_35_51	269	37		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. pha rol po ""Feind"" (brDa); bstan pa dan"	siglum_policy_review
corrected_text_scan	wts_35_51	272	34		Viś	Vis	Vis source	abbr_lit_2	active	"Schaden zufügt"" (Viś 176); tshul khrims chal"	siglum_policy_review
corrected_text_scan	wts_35_51	298	10		Gs-H	Gś-H	rGyud sde kun btus (Derge/H) variant	abbr_lit_1	active	"ben von morgen heute [erledigen]"" (Gs-H"	siglum_policy_review
corrected_text_scan	wts_35_51	303	23		g$	Gs	rGyud sde kun btus	abbr_lit_1	active	"50g$ ""Butter und Fleisch usw. als Suppenein-"	siglum_policy_review
