tibetan_syllable	canonical_forms	canonical_status	canonical_confidence_tier	evidence_class	full_target_reviewed	supporting_forms	supporting_volumes	observed_other_forms	credible_competing_transcriptions	competing_forms	competing_support	independent_teaching_occurrences	derived_occurrences	historical_occurrences	domain_breakdown	feature_coverage	feature_dependency_rule_ids	feature_dependency_evidence_ids	feature_leave_one_out_status	rationale
ཀ	ka;kam;ku	ambiguous	ambiguous	credible_competing_forms	no	'ka:1;Anfechtung:0;Baumart:0;Bär:1;HT:0;Ikan:0;Klu:0;Ne:0;Ra:1;Türkis:0;Vphal:1;al:0;ba:0;beide:0;bzo:0;cine:1;cog:0;des:1;g.yen:1;ga:0;ka:122;kam:2;ki:1;klu:0;ko:0;kon:0;kra:0;ku:3;kumu:0;kyu:1;kä:1;la:0;li:0;ma:0;no:0;pa:0;ri:0;skt:0;sug:0;’ka:0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	'ka;Anfechtung;Baumart;Bär;HT;Ikan;Klu;Ne;Ra;Türkis;Vphal;al;ba;beide;bzo;cine;cog;des;g.yen;ga;ki;klu;ko;kon;kra;kumu;kyu;kä;la;li;ma;no;pa;ri;skt;sug;’ka				119	8	446	ordinary_tibetan_lexical_or_compound:376;sanskrit_or_indic_transcription:48;tibetan_proper_name:15;unclear:1 || ordinary_tibetan_lexical_or_compound:2 || ordinary_tibetan_lexical_or_compound:4	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཀ		provisional	provisional	historically_supported_candidate	no	Merken:0;in:0		Merken;in				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཀཱ		provisional	provisional	historically_supported_candidate	no	kukku:1		kukku				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀག		provisional	provisional	historically_supported_candidate	no	'kag:0;Strauß:0;kag:0		'kag;Strauß;kag				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀགྲང		provisional	provisional	historically_supported_candidate	no	glan:0		glan				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀགྲོལ		provisional	provisional	historically_supported_candidate	no	grol:1		grol				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀགླག		provisional	provisional	historically_supported_candidate	no	klag:0		klag				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀགླས		provisional	provisional	historically_supported_candidate	no	klas:1		klas				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀང		provisional	provisional	historically_supported_candidate	no	kan:5;kani:1;kaṅ:1		kan;kani;kaṅ				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཏོལ		provisional	provisional	historically_supported_candidate	no	spyi:0		spyi				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀད		provisional	provisional	historically_supported_candidate	no	'kad:0;kad:0;’kad:0		'kad;kad;’kad				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀན	kan	canonical	canonical_independent_strong	independent_multi_context_canonical	no	kan:5;kun:1;rje:1	wts_1_34;wts_35_51	kun;rje				5	0	16	ordinary_tibetan_lexical_or_compound:13;sanskrit_or_indic_transcription:1;tibetan_proper_name:1;unclear:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀནྡྲ		provisional	provisional	historically_supported_candidate	no	kanda:0		kanda				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀནྡྷ		provisional	provisional	historically_supported_candidate	no	kandha:2		kandha	kandha	kandha	kandha:independent=2,derived=0,historical=2,domains=ordinary_tibetan_lexical_or_compound:2	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀབ		provisional	provisional	historically_supported_candidate	no	kab:2		kab	kab	kab	kab:independent=2,derived=0,historical=4,domains=ordinary_tibetan_lexical_or_compound:4	0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀབེི		provisional	provisional	historically_supported_candidate	no	gi:1		gi				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀམ	kam	provisional	canonical_independent_moderate	independent_moderate_evidence	no	Ram:0;kam:5	wts_1_34	Ram				5	0	23	ordinary_tibetan_lexical_or_compound:22;sanskrit_or_indic_transcription:1	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀམས		provisional	provisional	historically_supported_candidate	no	kams:0		kams				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀམསྨ		provisional	provisional	historically_supported_candidate	no	kasma:0		kasma				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀམྨི		provisional	provisional	historically_supported_candidate	no	kasmi:0		kasmi				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀམློ		provisional	provisional	historically_supported_candidate	no	kambo:1		kambo				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀཙོ		provisional	provisional	historically_supported_candidate	no	gtso:1		gtso				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀའ		provisional	provisional	historically_supported_candidate	no	dka’:2		dka’				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀའི	ka’i	provisional	canonical_independent_moderate	independent_moderate_evidence	no	bya:0;ka’i:5;kra'i:1;mchu:0	wts_1_34	bya;kra'i;mchu				5	0	7	ordinary_tibetan_lexical_or_compound:7	exact_canonical_route				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
ཀའུ		provisional	provisional	historically_supported_candidate	no	'ka’u:1;hi:1;ka’n:1;ka’u:1		'ka’u;hi;ka’n;ka’u				0	0	0		unresolved				Canonical selection uses exact non-circular teaching identities, domain-safe multi-volume/entry support, and quantitative competitor thresholds; corrected current frequency never votes.
