source_queue	volume	page	line	token_index	source_token	proposed_target	candidate_family	context_excerpt	evidence	confidence	suggested_action	block_reason	score	score_explanation
corrected_text_scan	wts_1_34	8	44	11	$	ś	guarded_dollar_to_sacute	ben (min-gZi) mit den super- bzw. subskribierten Buchstaben ist unten $. xxi gegeben.	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
corrected_text_scan	wts_1_34	11	39	5	$	ś	guarded_dollar_to_sacute	Zur Wiedergabe des Sanskrit $ srgsbs	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
corrected_text_scan	wts_1_34	11	40	1	$	ś	guarded_dollar_to_sacute	$ srslgs bs bsr bsl	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
corrected_text_scan	wts_1_34	12	42	3	709$	709ś	guarded_dollar_to_sacute	Akhri 7 709$ ldan nams brgyud kyi rnam thar rin chen phrin |[!] ba. Ed.: A-tri thun-tsham 1967,	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
corrected_text_scan	wts_1_34	14	83	16	7$	7ś	guarded_dollar_to_sacute	3: 563-619] dGe ldan plmyag rgya chen po’i khrid kyi zin bris Zal lun bdud ?7$/”/ thigs	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
corrected_text_scan	wts_1_34	17	34	5	$	ś	guarded_dollar_to_sacute	ist, wird der Kürzelzusatz $ gebraucht. Exzp.: F.-R. Hamm, M. Hahn.	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
corrected_text_scan	wts_1_34	18	78	3	$750	ś750	guarded_dollar_to_sacute	Fortsetzung hierzu: | $750. Exzp.: H. Uebach.	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
corrected_text_scan	wts_1_34	18	106	1	$Sambh	śSambh	guarded_dollar_to_sacute	$Sambh	sigla_registry_or_shape	policy	defer_to_sigla_policy	registered_or_possible_siglum	0	Dollar token has registered or likely siglum shape; handle in the sigla policy queue.
corrected_text_scan	wts_1_34	18	152	4	$750	ś750	guarded_dollar_to_sacute	592-595; Fortsetzung von ༈ $750. Exzp.: H. Uebach.	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
corrected_text_scan	wts_1_34	27	93	10	$	ś	guarded_dollar_to_sacute	kovanie na nego Nyäyabindutikä, sotinenie Darmottary. Tibetskij perevod izdal $ vvedeniem	guarded_dollar_scan	low	defer	artifact_or_numeric_noise	0	Dollar token lacks a clean alphabetic Tibetan-transliteration shape.
