source_token	suggested_token	source_count	suggested_count	edit_distance	confidence	ambiguous	example
debñ	dbaṅ	1	720	2	medium	1	"gion dBus zu gehen"" (Debñ 227,3); ~ kbar"
skiañ	sbraṅ	1	235	2	medium	1	"Lex. ~ sprul skiañ zer ""es heißt auch geist-"
lā	la	2	175	0	medium	0	Lex. bya ku lā la'i min (brDa); bya Zig gi min
phie	pa'i	2	165	2	medium	1	phie studiert hatte. Die traditionell hierfür auswendig gelernten Texte bildeten einen
phri	pa'i	2	165	2	medium	1	"men, Futur"" (Dagy); — ba, — bya = phri"
daf$	dbus	2	141	2	medium	1	"die Gefahr, daf$ Hindernisse auftreten"" (Mil"
$a	sa	22	127	0	medium	0	"ein reines Rinderopfer"" (Tär 19,11); — gi $a"
ys$	yul	4	116	2	medium	1	"gasataka zusammenfügen"" (YS$ 1d); ran dan"
dbrog	dbyig	2	105	2	medium	1	དབྲོག་ dbrog
$in	siṅ	6	97	0	medium	0	skad nas byun yari lha'i $in nam Sin tog dan
rggas	rgyal	2	86	2	medium	1	la / saris rggas Sag kya thub pa ... mchis pa las
tiñ	thaṅ	2	75	2	medium	1	"~ tiñ ne dzin kyis ñam drod zin nas ""nach-"
rgur	rgod	2	74	2	medium	1	ba lan nag rgur ein schwarzes
$u	su	2	68	0	medium	0	rta $u bo Zur po rtin kar / dan — gcig gis bskyed
phros	phyogs	2	68	2	medium	1	"ran la — dan bu mo'i phros yod na ""wenn"
tsbar	tshad	2	64	2	medium	1	"—tsbar bdun beu tsam ""ungefähr siebzig Ex-"
tshbe	tshad	2	64	2	medium	1	nam Zig — bder 'yur la ... de tshbe rin bsrel
$o	so	4	58	0	medium	0	བོ་ཤོ་ཐོ་ bo $o tho npr. ein Ort in der Mongolei.
mkbar	mkhan	2	51	2	medium	1	"mkbar nan du phyin te ""ein klu bdud verwan\"
$on	soṅ	1	45	0	medium	0	"mitsam Son ba dan ""har ba mi $on ba: dazwi-"
btsem	btsan	2	40	2	medium	0	"nas ma yi khed ma la btsem mo ""es ist mit ci-"
bandha	buddha	2	39	2	medium	0	བྷ་ཏ་ཧོར་ bha ta hor auch 'bandha hor npr. ein
tspy	tsha	2	39	2	medium	1	sbyi 'ur Verführer, Liebhaber, vgl. Tspy:
g$og	gcig	1	32	2	medium	1	sgro g$og sna tshogs mdzes pa yid du 'on Zin
khyug	khrag	2	25	2	medium	1	དབྱིངས་ཁྱུག་ནོར་འཛིན་་ dbyiṅs khyug nor dzin
tsbub	tshul	2	25	2	medium	1	(brDa); rlun 'tsbub dan 'dres pa'i kha ba
tspub	tshul	2	25	2	medium	0	Naseliegen; vgl. Tspub, Isbub.
tspur	tshul	2	25	2	medium	1	173), vgl. Tspur len, Isbur lon.
gtsar	gtsug	2	23	2	medium	1	dBus und gTsar, nach anderer Auffassung
gtser	gtsug	2	23	2	medium	1	"kly]i bsriad gtser mari tsam by[u]n bar ""zwi-"
bsgos	bskor	2	22	2	medium	1	142); gZan nas bsgos pa'i mya ran sdug bsrial
tsā	tsa	2	21	0	medium	0	ChagNth Säkya'i dge bsñen Chos dpal dar dpyan (ca. 13. Jh.): Chag lo tsā ba
rduns	rdzas	2	21	2	medium	1	'bri ma thub pas soyug mos rduns 'tshogs byas
rdzem	rdzas	2	21	2	medium	1	dan / sdzem (r. rdzem) gi gnas dar / than
gźol	gtoṅ	2	20	2	medium	1	"lam la gźol bar sog (metr.) ""man möge sich"
mtheb	mtha'	2	20	2	medium	1	(Kdsg 27,2); skyes bu'i mtheb mos rtsol phod
bhanga	bhadra	2	15	2	medium	0	"(Vdk-M 128,17); bhanga la nas ~ du ""dab"
kots	kyis	2	13	2	medium	1	"gyur pa ""vom Hervorkommen [des Kots]"
