volume	page	line	token_index	tibetan_syllable	source	canonical_target	source_alignment_status	boundary_status	domain	damage_or_marker	operation_signature	source_edit_start	source_edit_end	target_edit_start	target_edit_end	source_structural_location	target_structural_role	tibetan_role	tibetan_feature	parent_structural_unit	target_component_rule_id	crosses_role_boundaries	extra_source_material	edit_specific_domain_condition	attribution_status
wts_1_34	48	15	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	17	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	sanskrit_or_indic_transcription	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	sanskrit_or_indic_transcription	structurally_attributed
wts_1_34	48	30	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	35	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	46	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	53	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	58	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	61	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	71	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	sanskrit_or_indic_transcription	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	sanskrit_or_indic_transcription	structurally_attributed
wts_1_34	48	77	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	84	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	91	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	unclear	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	unclear	structurally_attributed
wts_1_34	48	99	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	101	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	107	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	48	112	1	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	53	46	2	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	53	87	2	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	53	97	2	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	53	116	2	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	54	18	2	ཀང	kan	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:1;marker:0	SUB n→ṅ	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_35_51	235	1	4	ཀང	kani	kaṅ	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	REPLACE ni→ṅ	2	4	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ང	role_span	SUFFIX_NG_TO_NDOT	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	70	183	1	ཀན	kun	kan	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	SUB u→a	1	2	1	2	canonical_corresponding_span:vowel	vowel	vowel	a	role_span	CORPUS_01025FAF5D30	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_35_51	235	57	2	ཀན	rje	kan	secure_transcription_outlier	token_boundary_secure	tibetan_proper_name	damage:0;marker:0	SUB r→k	0	1	0	1	canonical_corresponding_span:root_consonant	root_consonant	root_consonant	ཀ	role_span	RESIDUAL_16C7C1641787	no	no	tibetan_proper_name	structurally_attributed
wts_35_51	235	57	2	ཀན	rje	kan	secure_transcription_outlier	token_boundary_secure	tibetan_proper_name	damage:0;marker:0	SUB j→a	1	2	1	2	canonical_corresponding_span:vowel	vowel	vowel	a	role_span	CORPUS_01025FAF5D30	no	no	tibetan_proper_name	structurally_attributed
wts_35_51	235	57	2	ཀན	rje	kan	secure_transcription_outlier	token_boundary_secure	tibetan_proper_name	damage:0;marker:0	SUB e→n	2	3	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ན	role_span	CORPUS_76CFA3FCFF21	no	no	tibetan_proper_name	structurally_attributed
wts_1_34	49	124	1	ཀམ	Ram	kam	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	SUB R→k	0	1	0	1	canonical_corresponding_span:root_consonant	root_consonant	root_consonant	ཀ	role_span	RESIDUAL_16C7C1641787	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	262	80	3	ཀར	Sperma	kar	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	REPLACE Spe→ka	0	3	0	2	canonical_corresponding_span:root_consonant,vowel	root_consonant;vowel	root_consonant;vowel	a;ཀ	between_or_multi_role	CORPUS_01025FAF5D30;RESIDUAL_16C7C1641787	yes	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	262	80	3	ཀར	Sperma	kar	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	DEL ma	4	6	3	3	extra_source_material:token_final	none	none	none	extra_source_material	none	no	yes	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	43	86	1	ཀར	ka	kar	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	INS r	2	2	2	3	canonical_corresponding_span:suffix_coda	suffix_coda	suffix_coda	ར	role_span	CORPUS_6783C3DA00D4	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	53	46	1	ཀི	'ki	ki	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	DEL '	0	1	0	0	extra_source_material:token_initial	none	none	none	extra_source_material	none	no	yes	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	53	70	1	ཀི	'ki	ki	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	DEL '	0	1	0	0	extra_source_material:token_initial	none	none	none	extra_source_material	none	no	yes	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	53	87	1	ཀི	'ki	ki	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	DEL '	0	1	0	0	extra_source_material:token_initial	none	none	none	extra_source_material	none	no	yes	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	1200	24	4	ཀི	dbaṅ	ki	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	REPLACE dbaṅ→ki	0	4	0	2	canonical_corresponding_span:root_consonant,vowel	root_consonant;vowel	root_consonant;vowel	i;ཀ	between_or_multi_role	CORPUS_63EB474B7A3F;RESIDUAL_16C7C1641787	yes	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_35_51	759	20	1	ཀི	dpyid	ki	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	REPLACE dpy→k	0	3	0	1	canonical_corresponding_span:root_consonant	root_consonant	root_consonant	ཀ	role_span	RESIDUAL_16C7C1641787	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_35_51	759	20	1	ཀི	dpyid	ki	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	DEL d	4	5	2	2	extra_source_material:token_final	none	none	none	extra_source_material	none	no	yes	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	53	72	1	ཀི	ei	ki	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	SUB e→k	0	1	0	1	canonical_corresponding_span:root_consonant	root_consonant	root_consonant	ཀ	role_span	RESIDUAL_16C7C1641787	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	49	95	2	ཀི	ka	ki	secure_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	SUB a→i	1	2	1	2	canonical_corresponding_span:vowel	vowel	vowel	i	role_span	CORPUS_63EB474B7A3F	no	no	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	92	50	1	ཀི	kai	ki	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	DEL a	1	2	1	1	extra_source_material:internal	none	none	none	extra_source_material	none	no	yes	ordinary_tibetan_lexical_or_compound	structurally_attributed
wts_1_34	92	54	1	ཀི	kai	ki	probable_transcription_outlier	token_boundary_secure	ordinary_tibetan_lexical_or_compound	damage:0;marker:0	DEL a	1	2	1	1	extra_source_material:internal	none	none	none	extra_source_material	none	no	yes	ordinary_tibetan_lexical_or_compound	structurally_attributed
