page	line	entry_id	zone	from_token	to_token	tier	reason	applied	line_excerpt
6	25	0	german_prose_with_translit	tibeti-/schen	tibetischen	tier_a	structural_german_quote_hyphen_wrap_direct	1	Wegen des Ausscheidens von F. Wilhelm hatte das Projekt „Wörterbuch der tibetischen Schriftsprache“ der Kommission die im Fünfjahresplan für 1965 vorgesehene
27	54	4	german_prose	Tibe-/tan	Tibetan	tier_a	structural_german_quote_hyphen_wrap_direct	1	— 1988: „Sanskrit-Tibetan and Tibetan-Sanskrit dictionaries and some problems in Indo-Tibetan philosophical lexicography.“ In: OGus£nıne 1998, pp. 115-142.
29	55	4	german_prose_with_translit	Mumifi-/zierung	Mumifizierung	tier_a	structural_german_quote_hyphen_wrap_direct	1	UesachH, Helga 1972: „Eine kurze Abhandlung des Pha-bon-kha-pa (1878-1941) über Mumifizierung“. In: The Journal ofthe Tibet Society 1, pp. 69-78. [PhB]
33	5	5	german_prose_with_translit	Buch-/staben	Buchstaben	tier_a	structural_german_quote_hyphen_wrap_direct	1	mun pa sans „auch wenn man nur einen Buchstaben wıe ka kennt, ist die Dunkelheit hin-
34	7	14	german_prose_with_translit	Wert-/maß	Wertmaß	tier_a	structural_german_quote_hyphen_wrap_direct	1	ba’i tshad de „Käkanı, das bedeutet das Wertmaß von zwanzig Kauri“ (T4116 240b2).
34	120	26	german_prose_with_translit	Mond-/pulver	Mondpulver	tier_a	structural_german_quote_hyphen_wrap_direct	1	gam zla ba’i plrye ma „eine Arznei oder ‚Mondpulver‘ (für skt. candrabala)“ (brDa).
34	133	27	german_prose_with_translit	pflan-/ze	pflanze	tier_a	structural_german_quote_hyphen_wrap_direct	1	rog gi yan lag ’dra ba’i dug „ein[e] Gift[pflanze] ähnlich einem Krähenfuß“ (brDa).
34	150	29	german_prose_with_translit	Umge-/hung	Umgehung	tier_a	structural_german_quote_hyphen_wrap_direct	1	Rückbildung von !ka re ko re; „Umgehung“, „Hin und Her“; es kann alle Arten
34	167	30	german_prose_with_translit	Aus-/flüchten	Ausflüchten	tier_a	structural_german_quote_hyphen_wrap_direct	1	„es ist so, daß [der Pächter] nicht mit Ausflüchten bezüglich der Wirtschaftlichkeit
34	178	30	german_prose	Ver-/ständnis	Verständnis	tier_a	structural_german_quote_hyphen_wrap_direct	1	„aber die [Leute von] ’Bum-pa, ... die kein Verständnis haben, beschuldigten uns böse und
34	184	30	german_prose_with_translit	Amts-/träger	Amtsträger	tier_a	structural_german_quote_hyphen_wrap_direct	1	977/5 gnas dbyuns „als die Äbte und die Amtsträger mitsamt der Mönchsgemeinde der zwei
