tibetan_syllable	observed_forms	current_canonical_tier	role_parse_status	composition_status	feature_composed_target	component_rule_ids	supporting_evidence_ids	leave_one_out_status	domain_compatibility	correction_authority	blocker
ཀ	'ka;Anfechtung;Baumart;Bär;HT;Ikan;Klu;Ne;Ra;Türkis;Vphal;al;ba;beide;bzo;cine;cog;des;g.yen;ga;ka;kam;ki;klu;ko;kon;kra;ku;kumu;kyu;kä;la;li;ma;no;pa;ri;skt;sug;’ka	ambiguous	fully_resolved	feature_complete_unique	ka	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀཀ	Merken;in	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
ཀཀཱ	kukku	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀག	'kag;Strauß;kag	provisional	fully_resolved	feature_complete_target_support_insufficient	kag	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀགྲང	glan	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀགྲོལ	grol	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀགླག	klag	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀགླས	klas	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀང	kan;kani;kaṅ	canonical_feature_composed	fully_resolved	feature_complete_unique	kaṅ	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀཏོལ	spyi	provisional	unusual_stack	role_parse_unresolved				insufficient	unresolved	no	unusual_stack
ཀད	'kad;kad;’kad	provisional	fully_resolved	feature_complete_target_support_insufficient	kad	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀན	kan;kun;rje	canonical_independent_strong	fully_resolved	feature_complete_unique	kan	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀནྡྲ	kanda	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀནྡྷ	kandha	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀབ	kab	canonical_feature_composed	fully_resolved	feature_complete_unique	kab	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀབེི	gi	provisional	unsupported_orthographic_sign	role_parse_unresolved				insufficient	unresolved	no	unsupported_orthographic_sign
ཀམ	Ram;kam	canonical_feature_composed	fully_resolved	feature_complete_unique	kam	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	passed	ordinary_tibetan_lexical_or_compound	yes	none
ཀམས	kams	provisional	fully_resolved	feature_complete_target_support_insufficient	kams	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	passed	unresolved	no	nonadmissible_observation
ཀམསྨ	kasma	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
ཀམྨི	kasmi	provisional	partially_resolved	role_parse_unresolved				insufficient	unresolved	no	partially_resolved
