tibetan_syllable	previous_canonical_forms	previous_tier	current_canonical_forms	current_tier	migration_reason	migration_direction	audit_disposition
གཏའ	gta	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
གདའ	gda	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
གཟའ	gza	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
གཡའ	g.ya	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
དཀའ	dka	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
དཔའ	dpa	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
དཱ	den;dwa	ambiguous	dwa	canonical_independent_strong	tokenizer_boundary_evidence_changed_or_identity_removed	gained_authority	retain_gain_subject_to_gate0_rebuild
བཅའ	bca	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
བདའ	bda	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
བཟའ	bza	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
བསྲལ		provisional	bsral	canonical_independent_strong	tokenizer_boundary_evidence_changed_or_identity_removed	gained_authority	retain_gain_subject_to_gate0_rebuild
མཐའ	mtha	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
མནའ	mna	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
མོ	mo;pho	ambiguous	mo	canonical_independent_strong	tokenizer_boundary_evidence_changed_or_identity_removed	gained_authority	retain_gain_subject_to_gate0_rebuild
ཚིམ	tshim	canonical_independent_moderate	tshim	canonical_independent_strong	tokenizer_boundary_evidence_changed_or_identity_removed	gained_authority	retain_gain_subject_to_gate0_rebuild
འགའ	ga	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
འདའ	da	canonical_independent_strong		provisional	tokenizer_boundary_evidence_changed_or_identity_removed	lost_authority	retain_downgrade_pending_positive_evidence
སྟོབས	in;stobs	ambiguous	stobs	canonical_independent_strong	tokenizer_boundary_evidence_changed_or_identity_removed	gained_authority	retain_gain_subject_to_gate0_rebuild
སྤྱོད	is;spyod	ambiguous	spyod	canonical_independent_strong	tokenizer_boundary_evidence_changed_or_identity_removed	gained_authority	retain_gain_subject_to_gate0_rebuild
སྨོད	as;smod	ambiguous	smod	canonical_independent_strong	tokenizer_boundary_evidence_changed_or_identity_removed	gained_authority	retain_gain_subject_to_gate0_rebuild
