candidate_family	suspected_marker_source	suspected_marker_target	suspected_direction	attached_token	normalized_attached_token_candidate	context_type	suggested_action	confidence	count	volume_count	sample_refs	sample_contexts	notes
standalone_marker_candidate	/	↑/↓	direction_needs_review	dan	dan	transliteration	exact_review_candidate	medium	56	1	wts_35_51:2:9;wts_35_51:86:59;wts_35_51:104:53;wts_35_51:190:86;wts_35_51:218:87;wts_35_51:225:70;wts_35_51:225:75;wts_35_51:235:64	nas skyes pa dan / — dan ni rdzus skyes || u ma dan bcas dragpo dan / — dan bcas jugsel || gnod sbyin gtum mo dan / — dan ni so brtsegs	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	rgyal	rgyal	transliteration	exact_review_candidate	medium	31	1	wts_35_51:4:79;wts_35_51:53:54;wts_35_51:69:8;wts_35_51:83:64;wts_35_51:100:30;wts_35_51:115:37;wts_35_51:126:88;wts_35_51:127:68	bdag gis thog mar gdugs kyis ni / rgyal ba'i || — ni / pbyug po' nor / rgyal po'i mdzod / || phu bo la bu bäi ste / rgyal po zas gtsan /	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	dan	dan	cross_reference+transliteration	exact_review_candidate	medium	24	1	wts_35_51:23:72;wts_35_51:34:66;wts_35_51:167:19;wts_35_51:237:54;wts_35_51:252:82;wts_35_51:278:17;wts_35_51:404:73;wts_35_51:405:45	"(Gar 207,16); groṅs pa'i tshe na / — dan / || lehrt"" (Tär 60,11); drag po dan / — dan ... || thams cad la / ~ dan ñon moñs las rgyal daṅ"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	lha	lha	transliteration	exact_review_candidate	medium	21	1	wts_35_51:4:3;wts_35_51:49:19;wts_35_51:141:87;wts_35_51:145:24;wts_35_51:229:32;wts_35_51:231:27;wts_35_51:246:70;wts_35_51:247:54	"mchod pa bgyis te / lha khan bskor — || kun ran bźin / lha yi sku yi — (metr.) ""der || gendes hervor"" (Nel 2b4); — du / lha mo"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	gan	gan	transliteration	exact_review_candidate	medium	20	1	wts_35_51:28:85;wts_35_51:71:48;wts_35_51:93:53;wts_35_51:143:81;wts_35_51:274:7;wts_35_51:301:67;wts_35_51:368:27;wts_35_51:399:66	med semis can — ba / gan gis 'dul bar 'gyur || ni / gan gis mthon bar ma gyur de (metr.) || — dan ni thags bzan ris / gan ri la sogs pa'i	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	chos	chos	transliteration	exact_review_candidate	medium	15	1	wts_35_51:14:16;wts_35_51:21:55;wts_35_51:176:31;wts_35_51:274:9;wts_35_51:398:2;wts_35_51:490:35;wts_35_51:494:40;wts_35_51:526:51	"pa daṅ / chos man po gnaṅ ste ""er gewährte || 'ur 'don gyis / chos skor bya ba grad du || ne Anmut"" (Vmst 117b); sin /// — chos bnas"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	rgya	rgya	transliteration	exact_review_candidate	medium	14	1	wts_35_51:10:32;wts_35_51:24:12;wts_35_51:300:67;wts_35_51:439:84;wts_35_51:465:62;wts_35_51:468:40;wts_35_51:503:28;wts_35_51:540:77	sba gsal snani / rgya gar du mkhan po bo dhi sa || smad — dan / rgya Isha / sdom mkhar / || chu smad gdun dan / rgya tsha / — / dur dan /	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	bka'	bka'	transliteration	exact_review_candidate	medium	13	1	wts_35_51:50:7;wts_35_51:213:65;wts_35_51:366:76;wts_35_51:448:8;wts_35_51:471:40;wts_35_51:471:45;wts_35_51:489:22;wts_35_51:495:26	"dei / bka' drin rjes se dran pa (metr.) ""die || pho ña gces pa las / bka' phrin sñan pa dan || btsan po ?/ bka' byuṅ — / na Zes bya ste ""so-"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	gnas	gnas	transliteration	exact_review_candidate	medium	13	1	wts_35_51:161:36;wts_35_51:275:61;wts_35_51:285:20;wts_35_51:365:51;wts_35_51:388:11;wts_35_51:520:55;wts_35_51:523:29;wts_35_51:526:50	"ya na ... don 07// gnas na — pa na ""als sich || kyi skyes bu tsho / gnas skabs gsod gcod — || pa yod kyi sten du / gnas ma'i bu dan / ku"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	dge	dge	transliteration	exact_review_candidate	medium	12	1	wts_35_51:65:26;wts_35_51:273:29;wts_35_51:445:12;wts_35_51:457:35;wts_35_51:522:64;wts_35_51:522:75;wts_35_51:526:24;wts_35_51:591:48	"— di sñam du sems te / dge sbyoṅ gau ta ma'i || (Mvy 2464, 913; sdig = gzir ba / dge ba ma yin || — / dge ba beu po rten bgyis te (metr.) ""nach-"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	nas	nas	transliteration	exact_review_candidate	medium	12	1	wts_35_51:12:59;wts_35_51:37:17;wts_35_51:107:53;wts_35_51:445:40;wts_35_51:445:41;wts_35_51:553:76;wts_35_51:662:58;wts_35_51:793:6	"sa bas / nas dri'am lan — ""ich war der er- || ma (Dagy); — nas = 92/ nas dan po nas ""von || nas / — nas tho le 'debs ""sie hatten erfreuliche"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	rgyal	rgyal	cross_reference+transliteration	exact_review_candidate	medium	12	1	wts_35_51:16:38;wts_35_51:19:67;wts_35_51:20:26;wts_35_51:286:14;wts_35_51:492:53;wts_35_51:500:2;wts_35_51:570:11;wts_35_51:579:22	"gangen"" (Suv 162,20); /ha / rgyal po de ni || 77,4); kha cig ni ~ daṅ / rgyal mtshan daṅ / || aufzuspannen"" (dPe 25,18); gar / rgyal po"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	gzugs	gzugs	transliteration	exact_review_candidate	medium	10	1	wts_35_51:46:71;wts_35_51:188:50;wts_35_51:188:50;wts_35_51:358:26;wts_35_51:580:66;wts_35_51:633:32;wts_35_51:636:60;wts_35_51:680:43	kyis ni byas pa yi / gzugs sgra la sogs rmons || dan / gzugs kyi khams dan / gzugs med pa'i || dan / gzugs kyi khams dan / gzugs med pa'i	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
