decision	volume	unresolved_hits	validator_hits	applied_hits	score	rewrite_class	has_translit_cue	german_risk	from_token	to_token
hold	wts_9_m	9	9	0	1	other_char_map	1	0	Y$	YŚ
hold	wts_9_m	7	7	0	1	other_char_map	1	0	P$	PŚ
hold	wts_9_m	4	4	0	3	safe_char_map	1	0	Vi$	Viś
hold	wts_9_m	2	2	0	2	safe_char_map	0	0	Io	lo
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	$ambh	śambh
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	Bu-$	Bu-ś
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	Iśvaras	lśvaras
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	Mu-Ihu	Mu-lhu
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	Siddha-I'rauen	Siddha-l'rauen
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	Yar-Iha	Yar-lha
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	añ	aṅ
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	bCom-Ih	bCom-lh
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	bCom-Iha	bCom-lha
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	dGra-Iha'i	dGra-lha'i
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	dera-Iha	dera-lha
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	hoñ	hoṅ
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	hrañ	hraṅ
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	lTag-gñx	lTag-gṅx
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	laañ	laaṅ
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	moñs	moṅs
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	sMan-Iha	sMan-lha
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	sNan-Iha	sNan-lha
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	sTag-Iha	sTag-lha
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	sunañ	sunaṅ
hold	wts_9_m	1	1	0	3	safe_char_map	1	0	ñd	ṅd
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	Bimba-I'rucht	Bimba-l'rucht
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	EvERDING	EvERDlNG
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	Ia	la
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	Ia'an	la'an
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	Ichs'	lchs'
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	LIdina'	Lldina'
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	TIshe-spon-bza'	Tlshe-spon-bza'
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	b'Isan-sfia	b'lsan-sfia
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	mMYIg	mMYlg
hold	wts_9_m	1	1	0	2	safe_char_map	0	0	pa'I	pa'l
hold	wts_9_m	1	1	0	0	other_char_map	1	0	G$-H	GŚ-H
hold	wts_9_m	1	1	0	0	length_change	1	0	G$S-H	GŚ-H
hold	wts_9_m	1	1	0	0	length_change	1	0	MS$	MŚ
