candidate_family	suspected_marker_source	suspected_marker_target	suspected_direction	attached_token	normalized_attached_token_candidate	context_type	suggested_action	confidence	count	volume_count	sample_refs	sample_contexts	notes
standalone_marker_candidate	/	↑/↓	direction_needs_review	dan	dan	transliteration	exact_review_candidate	medium	35	1	wts_8_b:12:42;wts_8_b:19:68;wts_8_b:26:10;wts_8_b:50:88;wts_8_b:69:47;wts_8_b:70:2;wts_8_b:73:60;wts_8_b:90:15	rta śu bo Zur po rtin kar / dan — gcig gis bskyed || skyu ru ra dai /arura dan / — dan... || 15b); gari zig chos 'dul'di la ni / — dan ldan	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	chos	chos	transliteration	exact_review_candidate	medium	14	1	wts_8_b:58:37;wts_8_b:94:49;wts_8_b:160:61;wts_8_b:213:32;wts_8_b:236:92;wts_8_b:301:8;wts_8_b:308:18;wts_8_b:388:79	"4/ — chos phyogs su prad prad byed dgos ""er || me tog sbraṅ rtsi bZin / chos kyi don tsam blans || pa / chos rgyal dpal 'khor btsan gyis bzens"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	dan	dan	cross_reference+transliteration	exact_review_candidate	medium	14	1	wts_8_b:12:47;wts_8_b:20:2;wts_8_b:24:2;wts_8_b:59:72;wts_8_b:63:51;wts_8_b:90:60;wts_8_b:105:70;wts_8_b:111:7	"yun dari / ~ dan / ñeu Sin gi rtsa ba dari || bhitakam (Mvy 5797), aruradan / ~ dan / || mkhan sug dan / ~ dan ba sñug dan ""Wermut"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	rgyal	rgyal	transliteration	exact_review_candidate	medium	13	1	wts_8_b:14:45;wts_8_b:98:29;wts_8_b:146:6;wts_8_b:176:32;wts_8_b:282:57;wts_8_b:293:54;wts_8_b:304:70;wts_8_b:307:84	"kha cig ni gdugs dan / rgyal mtshan dan / || no tsbon dan / 'bun bskyed dan / rgyal srid || 77 / rgyal po bya rgod kyi phuri po de la ""auf"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	lha	lha	transliteration	exact_review_candidate	medium	12	1	wts_8_b:78:39;wts_8_b:142:33;wts_8_b:150:51;wts_8_b:172:64;wts_8_b:233:8;wts_8_b:234:92;wts_8_b:237:44;wts_8_b:276:4	my ini myi — ste / lha ?¡ ni sras po bäugs || gyu 'brug dan / sen ge dan / lha — mo dan / || lha khan phug ron 'dzin / lha khan nari du	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	rgya	rgya	transliteration	exact_review_candidate	medium	12	1	wts_8_b:43:51;wts_8_b:117:33;wts_8_b:121:59;wts_8_b:231:30;wts_8_b:280:79;wts_8_b:329:70;wts_8_b:333:76;wts_8_b:392:5	"klun rnas / rgya mtsho cher bab ro gcig 'gyur || bzlog nas / rgya man po btwis pas ""die Ti- || bod kyi blon pos / rgya rjelarin dan skyes phul"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	dge	dge	transliteration	exact_review_candidate	medium	8	1	wts_8_b:40:32;wts_8_b:76:16;wts_8_b:174:16;wts_8_b:344:32;wts_8_b:485:21;wts_8_b:526:43;wts_8_b:553:54;wts_8_b:566:38	"kyi lugs dan / dge slori gi tshul 'dzin cin ""der || royal po be Sara ma ni dan / dge slon Sarii || par brtsams pa yi / dge ba (metr.) ""das Gu-"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	ran	ran	transliteration	exact_review_candidate	medium	8	1	wts_8_b:172:63;wts_8_b:194:48;wts_8_b:194:53;wts_8_b:314:7;wts_8_b:315:84;wts_8_b:368:24;wts_8_b:409:58;wts_8_b:440:75	bde bar gsegs pa dan / ran rgyal dan / rien || pa rtogs pa can gi sa dan / ran saris royas kyi || dan / ran sans rgyas kyi sa ste brgyad yod pa	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	gan	gan	transliteration	exact_review_candidate	medium	7	1	wts_8_b:147:72;wts_8_b:172:51;wts_8_b:186:34;wts_8_b:269:29;wts_8_b:419:38;wts_8_b:483:69;wts_8_b:555:66	"byan sen / gan pa da re la sogs pa ""die || la / — gan dag gnas / de 'dir phyir mi Idog || Lex. ? / /?// gan po = pūrnamaitrāyaniputrah"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	de'i	de'i	transliteration	exact_review_candidate	medium	6	1	wts_8_b:49:59;wts_8_b:56:42;wts_8_b:56:42;wts_8_b:56:45;wts_8_b:351:5;wts_8_b:520:12	"sras — / de'i sras dum bi na' khan ""Ga'i-thu- || ga bu la gan / de'i bu — / de'i bu yephur gan || ga bu la gan / de'i bu — / de'i bu yephur gan"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
