bucket	token	count
wts_9_m:dollar_artifact	$	207
wts_9_m:dollar_artifact	MS$	1
wts_9_m:dollar_artifact	$$	1
wts_9_m:initial_confusable_I	Itar	39
wts_9_m:initial_confusable_I	Indien	20
wts_9_m:initial_confusable_I	Ina	19
wts_9_m:initial_confusable_I	Irma	13
wts_9_m:initial_confusable_I	Ima	12
wts_9_m:initial_confusable_I	Ins	11
wts_9_m:initial_confusable_I	Ice	10
wts_9_m:initial_confusable_I	Indras	10
wts_9_m:initial_confusable_I	Inhalt	10
wts_9_m:initial_confusable_I	Ich	9
wts_9_m:initial_confusable_I	Ismin	7
wts_9_m:initial_confusable_I	Iba	7
wts_9_m:initial_confusable_I	ITJ	7
wts_9_m:initial_confusable_I	Ide	7
wts_9_m:initial_confusable_I	Isa	7
wts_9_m:initial_confusable_I	Imya	7
wts_9_m:initial_confusable_I	Ira	6
wts_9_m:initial_confusable_I	Ime	6
wts_9_m:initial_confusable_I	Ingwer	6
wts_9_m:initial_confusable_I	Imig	6
wts_9_m:initial_confusable_I	Insekt	6
wts_9_m:initial_confusable_I	Indiens	5
wts_9_m:initial_confusable_I	Isme	5
wts_9_m:initial_confusable_I	Imin	5
wts_9_m:initial_confusable_I	Ite	5
wts_9_m:initial_confusable_I	ITC	5
wts_9_m:initial_confusable_I	Ikugs	5
wts_9_m:initial_confusable_I	Imperativ	5
wts_9_m:initial_confusable_I	Imon	5
wts_9_m:initial_confusable_I	Isman	5
wts_9_m:initial_confusable_I	Irrlehrer	4
wts_9_m:initial_confusable_I	Ind	4
wts_9_m:initial_confusable_I	Inl	4
wts_9_m:initial_confusable_I	Indra	4
wts_9_m:initial_confusable_I	Ini	4
wts_9_m:initial_confusable_I	Imun	4
wts_9_m:initial_confusable_I	Imand	4
wts_9_m:initial_confusable_I	Ismra	4
wts_9_m:initial_confusable_I	IPL	3
wts_9_m:initial_confusable_I	Imar	3
wts_9_m:initial_confusable_I	Isvaras	3
wts_9_m:initial_confusable_I	Imandal	3
wts_9_m:initial_confusable_I	Irrlehrern	3
wts_9_m:initial_confusable_I	Innern	3
wts_9_m:initial_confusable_I	Iman	3
wts_9_m:initial_confusable_I	Ian	3
wts_9_m:initial_confusable_I	Innere	3
wts_9_m:initial_confusable_I	Itas	3
wts_9_m:initial_confusable_I	Ipags	3
wts_9_m:initial_confusable_I	Itabu	3
wts_9_m:initial_confusable_I	Inneren	3
wts_9_m:initial_confusable_I	Insckt	3
wts_9_m:initial_confusable_I	Itun	3
wts_9_m:initial_confusable_I	Idmag	3
wts_9_m:initial_confusable_I	Irrtum	3
wts_9_m:initial_confusable_I	Irmugs	3
wts_9_m:initial_confusable_I	Irmons	3
wts_9_m:initial_confusable_I	Iga	3
wts_9_m:initial_confusable_I	Interesse	2
wts_9_m:initial_confusable_I	Ites	2
wts_9_m:initial_confusable_I	Indus	2
wts_9_m:initial_confusable_I	Iinde	2
wts_9_m:initial_confusable_I	Inula	2
wts_9_m:initial_confusable_I	ITN	2
wts_9_m:initial_confusable_I	Insekten	2
wts_9_m:initial_confusable_I	Irus	2
wts_9_m:initial_confusable_I	Idon	2
wts_9_m:initial_confusable_I	Illusionen	2
wts_9_m:initial_confusable_I	Imer	2
wts_9_m:initial_confusable_I	Isam	2
wts_9_m:initial_confusable_I	Idog	2
wts_9_m:initial_confusable_I	Ihr	2
wts_9_m:initial_confusable_I	Ings	2
wts_9_m:initial_confusable_I	Ibsan	2
wts_9_m:initial_confusable_I	Inneres	2
wts_9_m:initial_confusable_I	Intelligenz	2
wts_9_m:initial_confusable_I	Ihm	2
wts_9_m:initial_confusable_I	IsonNth	2
wts_9_m:initial_confusable_I	Inne-	2
wts_9_m:initial_confusable_I	Itor	2
wts_9_m:initial_confusable_I	Illusion	2
wts_9_m:initial_confusable_I	Imu	2
wts_9_m:initial_confusable_I	Inzest	2
wts_9_m:initial_confusable_I	Ito	2
wts_9_m:initial_confusable_I	Imes	2
wts_9_m:initial_confusable_I	Imos	2
wts_9_m:initial_confusable_I	Imyon	2
wts_9_m:initial_confusable_I	Imyogs	2
wts_9_m:initial_confusable_I	Imur	2
wts_9_m:initial_confusable_I	Irmas	2
wts_9_m:initial_confusable_I	Idem	2
wts_9_m:initial_confusable_I	Iraum	2
wts_9_m:initial_confusable_I	Irmyan	2
wts_9_m:initial_confusable_I	Ismos	2
wts_9_m:initial_confusable_I	Ismyan	2
wts_9_m:initial_confusable_I	ISBN	1
wts_9_m:initial_confusable_I	Isabella	1
wts_9_m:initial_confusable_I	Indologie	1
wts_9_m:initial_confusable_I	Iranistik	1
wts_9_m:initial_confusable_I	Institut	1
wts_9_m:initial_confusable_I	Institute	1
wts_9_m:initial_confusable_I	Ichs'	1
wts_9_m:initial_confusable_I	IRugs	1
wts_9_m:initial_confusable_I	Imperativstanim	1
wts_9_m:initial_confusable_I	Idani	1
wts_9_m:initial_confusable_I	IRog	1
wts_9_m:initial_confusable_I	Imä	1
wts_9_m:initial_confusable_I	Irigs	1
wts_9_m:initial_confusable_I	ICam-srin	1
wts_9_m:initial_confusable_I	Iśvaras	1
wts_9_m:initial_confusable_I	Imanu	1
wts_9_m:initial_confusable_I	Impotenz	1
wts_9_m:initial_confusable_I	Impo-	1
wts_9_m:initial_confusable_I	Imapham	1
wts_9_m:initial_confusable_I	Iehre	1
wts_9_m:initial_confusable_I	Islams	1
wts_9_m:initial_confusable_I	Imdun	1
wts_9_m:initial_confusable_I	Itur	1
wts_9_m:initial_confusable_I	Imalya	1
wts_9_m:initial_confusable_I	Imalayar	1
wts_9_m:initial_confusable_I	Insel	1
wts_9_m:initial_confusable_I	Inseln	1
wts_9_m:initial_confusable_I	Indi-	1
wts_9_m:initial_confusable_I	Iiia	1
wts_9_m:initial_confusable_I	INK	1
wts_9_m:initial_confusable_I	ITS	1
wts_9_m:initial_confusable_I	Irrag	1
wts_9_m:initial_confusable_I	Imtsho	1
wts_9_m:initial_confusable_I	Indii-	1
wts_9_m:initial_confusable_I	Iantriker	1
wts_9_m:initial_confusable_I	Imans	1
wts_9_m:initial_confusable_I	Imari	1
wts_9_m:initial_confusable_I	Imani	1
wts_9_m:initial_confusable_I	Imam	1
wts_9_m:initial_confusable_I	Imyad	1
wts_9_m:initial_confusable_I	Instruk-	1
wts_9_m:initial_confusable_I	Instruktionen	1
wts_9_m:initial_confusable_I	Irirab	1
wts_9_m:initial_confusable_I	Inas	1
wts_9_m:initial_confusable_I	Iröschen	1
wts_9_m:initial_confusable_I	Ihn	1
wts_9_m:initial_confusable_I	Itarstems	1
wts_9_m:initial_confusable_I	Iampen	1
wts_9_m:initial_confusable_I	Isug	1
wts_9_m:initial_confusable_I	Itan	1
wts_9_m:initial_confusable_I	Iya	1
wts_9_m:initial_confusable_I	Iriar	1
wts_9_m:initial_confusable_I	Int	1
wts_9_m:initial_confusable_I	Imperativ-	1
wts_9_m:initial_confusable_I	Irre	1
wts_9_m:initial_confusable_I	Iehrten	1
wts_9_m:initial_confusable_I	Imibskyod	1
wts_9_m:initial_confusable_I	IEs-	1
wts_9_m:initial_confusable_I	Iphyag	1
wts_9_m:initial_confusable_I	Imipham	1
wts_9_m:initial_confusable_I	Inzi	1
wts_9_m:initial_confusable_I	Imimani	1
wts_9_m:initial_confusable_I	Ihrer	1
wts_9_m:initial_confusable_I	Igani	1
wts_9_m:initial_confusable_I	ISvara	1
wts_9_m:initial_confusable_I	Imri	1
wts_9_m:initial_confusable_I	Initationsname	1
wts_9_m:initial_confusable_I	Iyäna	1
wts_9_m:initial_confusable_I	Iyan	1
wts_9_m:initial_confusable_I	Iangeneines	1
wts_9_m:initial_confusable_I	Iskye	1
wts_9_m:initial_confusable_I	Idonis	1
wts_9_m:initial_confusable_I	Idons	1
wts_9_m:initial_confusable_I	ION	1
wts_9_m:initial_confusable_I	Iri	1
wts_9_m:initial_confusable_I	Iue	1
wts_9_m:initial_confusable_I	Inaugenscheinnahme	1
wts_9_m:initial_confusable_I	Inkarnationen	1
wts_9_m:initial_confusable_I	Inre	1
wts_9_m:initial_confusable_I	Idmigs	1
wts_9_m:initial_confusable_I	IaERs	1
wts_9_m:initial_confusable_I	ITaR	1
wts_9_m:initial_confusable_I	Isvara	1
wts_9_m:initial_confusable_I	IDeKh-B	1
wts_9_m:initial_confusable_I	Inagpazlaba	1
wts_9_m:initial_confusable_I	Itabn	1
wts_9_m:initial_confusable_I	Ikbri	1
wts_9_m:initial_confusable_I	Idem-drug	1
wts_9_m:initial_confusable_I	Irrleh-	1
wts_9_m:initial_confusable_I	Irr-	1
wts_9_m:initial_confusable_I	Inps	1
wts_9_m:initial_confusable_I	IDeKh-b	1
wts_9_m:initial_confusable_I	IbrDa	1
wts_9_m:initial_confusable_I	Ishori	1
wts_9_m:initial_confusable_I	Imurt	1
wts_9_m:initial_confusable_I	Ismu	1
wts_9_m:initial_confusable_I	Inu	1
wts_9_m:initial_confusable_I	Iyi	1
wts_9_m:initial_confusable_I	Iud-Dimonen	1
wts_9_m:initial_confusable_I	Inn	1
wts_9_m:initial_confusable_I	ISvaras	1
wts_9_m:initial_confusable_I	Idman	1
wts_9_m:initial_confusable_I	Ivaras	1
wts_9_m:initial_confusable_I	Imus	1
wts_9_m:initial_confusable_I	Isnrubs	1
wts_9_m:umlaut_translit_candidate	Bewußtsein	10
wts_9_m:umlaut_translit_candidate	mütterlicherseits	8
wts_9_m:umlaut_translit_candidate	Entschluß	8
wts_9_m:umlaut_translit_candidate	tatsächlich	7
wts_9_m:umlaut_translit_candidate	abwärts	7
wts_9_m:umlaut_translit_candidate	väterlicherseits	5
wts_9_m:umlaut_translit_candidate	Gerätschaften	4
wts_9_m:umlaut_translit_candidate	Bewußtseins	4
wts_9_m:umlaut_translit_candidate	lo-tsä-ba	3
wts_9_m:umlaut_translit_candidate	Hauptschützer	2
wts_9_m:umlaut_translit_candidate	Hauptstück	2
wts_9_m:umlaut_translit_candidate	wärts	2
wts_9_m:umlaut_translit_candidate	Ratschläge	2
wts_9_m:umlaut_translit_candidate	Zehnerschaftsführer	2
wts_9_m:umlaut_translit_candidate	btsan-Dämon	2
wts_9_m:umlaut_translit_candidate	tsä	2
wts_9_m:umlaut_translit_candidate	Lo-tsä-ba	2
wts_9_m:umlaut_translit_candidate	rücksichtslos	2
wts_9_m:umlaut_translit_candidate	tatsächliche	1
wts_9_m:umlaut_translit_candidate	selbstsüch-	1
wts_9_m:umlaut_translit_candidate	Schriftstücken	1
wts_9_m:umlaut_translit_candidate	Gleithörnchen	1
wts_9_m:umlaut_translit_candidate	śinaväsika	1
wts_9_m:umlaut_translit_candidate	Quadratstück	1
wts_9_m:umlaut_translit_candidate	Öthug	1
wts_9_m:umlaut_translit_candidate	Dharma-Körper	1
wts_9_m:umlaut_translit_candidate	miüttterlicherseits	1
wts_9_m:umlaut_translit_candidate	ügtsbul	1
