frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	context_excerpt
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_35_51	242	1	4	ཁྱུང	khyun	khyuṅ	echo	uncertain	uncertain	རྡོརྗེ་བྱ་ཁྱུང་ rdo rje bya khyun
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_8_b	143	8	2	ཁྱུང	khyun	khyuṅ	echo	uncertain	uncertain	ཁྱུང་ bya khyun cin myth. Vogel, skt. garuda.
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_1_34	113	66	3	ཁྱུང	khyun	khyuṅ	positional	dominant_internal_consensus	none	ཀླུ་འདུལ་ཁྱུང་ཆེན་ཕུག་ klu ’dul khyun chen phug N.
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_1_34	113	134	4	ཁྱུང	khyun	khyuṅ	positional	dominant_internal_consensus	none	ཀླུ་ཕྲུག་འོད་ཁྱུང་ klu phrug ’od khyun \klu sbrul ’od
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_1_34	337	101	1	གང	gah	gaṅ	positional	dominant_internal_consensus	none	གང་ག་ཆུང་ gah ga chuṅ eine Heilpflanze,
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_8_b	486	7	2	གང	gah	gaṅ	positional	dominant_internal_consensus	none	འབྲས་གང་ 'bras gah eine Pflanze, Zypergras;
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_35_51	24	46	4	གདུང	gdun	gduṅ	echo	explicit_same_lemma_repetition	none	གདུང་བརྒྱུད་ gduṅ breynd auch gdun rgynd.
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_1_34	80	28	3	གདུང	gdun	gduṅ	positional	dominant_internal_consensus	none	ཀུན་ནས་གདུང་བ་ kun nas gdun ba
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_1_34	80	130	3	གདུང	gdun	gduṅ	positional	dominant_internal_consensus	none	ཀུན་ནས་གདུང་བ་ kun nas gdun ba gepeinigt wer- s. v. paryutthäna), rising all about, overwhel- hen.
0b1ed02fc6b27e5af1ed879fd3fa0d596c0f8662	wts_35_51	30	68	4	གདེང	gden	gdeṅ	echo	explicit_same_lemma_repetition	none	གདེང་ཚད་ gdeṅ tshad auch gden tsbod Zuver-
