volume	page	line	token_index	tibetan_syllable	source_token	target	comparison_stage	before_or_after	migration_class	context_excerpt
wts_1_34	80	48	3	རྙིང	räin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	ཀུན་ནས་རྙིང་བ་ kun nas räin ba verwelken, ver-
wts_1_34	112	114	3	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	ཀླུ་སྒྲབ་སྙིང་པོ་ klu sgrub säin po
wts_1_34	306	72	3	སྣང	Glühwürmchen		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	མ།བའ་སྣང་ mkha’ snarn Glühwürmchen.
wts_1_34	399	136	2	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	གློ་སྙིང་ལྡེག་ glo säin ldeg Herzklopfen.
wts_1_34	407	144	2	སྙིང	sh		baseline_530_to_pre_gate0_555	before	resolved_or_no_longer_candidate	དགང་སྙིང་ dgun shäin Bez. der chin. Tierkreis-
wts_1_34	407	144	2	སྙིང	shäin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	དགང་སྙིང་ dgun shäin Bez. der chin. Tierkreis-
wts_1_34	412	101	3	སྙིང	säih		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	དགེ་བའི་སྙིང་པོ་ dge ba’i säih po ein myth.
wts_1_34	441	56	2	སྟངས	n		baseline_530_to_pre_gate0_555	before	resolved_or_no_longer_candidate	འགྱིང་སྟངས་ ’oyın stans Hochmut.
wts_1_34	452	46	2	ལྡིང	Idın		baseline_530_to_pre_gate0_555	after	newly_visible_complete_token	འགྲོ་ལྡིང་ gro Idın.
wts_1_34	507	23	3	གླེང	Gespräch		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སློག་གླེང་ sgrog £/67? Gespräch, Unterhaltung.
wts_1_34	571	102	5	བཏང	vergegenwärtigen		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྔོན་ད་བཏང་ $?7077 du btaṅ vergegenwärtigen.
wts_1_34	582	161	1	ཅིང	cın		baseline_530_to_pre_gate0_555	after	newly_visible_complete_token	ཅིང་ cın
wts_1_34	804	213	4	གསུང	gsun	gsuṅ	baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	གཉིས་སུ་མི་གསུང་བ་ gäls su mi gsun ba ein-
wts_1_34	811	181	2	ཐང	than	thaṅ	baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	མཉེས་ཐང་ möes than npr. eine Gegend.
wts_1_34	817	219	4	ལྟོང	h		baseline_530_to_pre_gate0_555	before	resolved_or_no_longer_candidate	སྙན་ལྟོང་ san //90/7 hören, erfahren.
wts_1_34	817	219	4	ལྟོང	hören		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙན་ལྟོང་ san //90/7 hören, erfahren.
wts_1_34	819	155	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་ཁམས་ཅན་ säin khams can.
wts_1_34	821	1	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་རྗེ་བ་ säin rje ba
wts_1_34	821	25	2	སྙང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙང་2 säin fie treu, loyal sein, nahestehen.
wts_1_34	821	43	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་ཏིག་ säin tıg Essenz, etwas Essentielles;
wts_1_34	821	51	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་གཏམ་ säin gtam Ratschlag, vertrauliches,
wts_1_34	821	61	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་སྟོབས་ säin stobs
wts_1_34	821	118	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་སྟོབས་ཅན་ säin stobs can Beiname Brah-
wts_1_34	822	162	1	སྙིང	säin		baseline_530_to_pre_gate0_555	after	new_or_reclassified_candidate	སྙིང་ཕུར་ säin phur
