signature	parent_signature	tibetan_role	tibetan_feature	source_position_type	source_position_value	target_position_type	target_position_value	source_context_pattern	target_context_pattern	domain_condition	source_structural_location	target_structural_role	parent_structural_unit	crosses_role_boundaries	extra_source_material	forbidden_tibetan_roles	forbidden_tibetan_features	forbidden_tibetan_role_features	canonical_target_required	aligned_tibetan_required	exact_tibetan_identities	decision	evidence_summary	supporting_identities	control_identities	review_provenance	date_batch
SUB n→ṅ		suffix_coda	ང	token_final		token_final				ordinary_tibetan_lexical_or_compound;tibetan_proper_name									yes	yes		A	Explicit feature-specific final-nasal reviews establish this operation; exact Tibetan and canonical-target gating remains mandatory. Proper-name use is independently attested by strong exact canonical final-ṅ forms across 37 Tibetan syllables.	reviewed_tibetan_exact_final_ng*;proper_name_final_ng_canonical_support	genuine_final_n_collision_controls	repository_reviewed_feature_evidence	signature_engine_20260728
SUB h→ṅ		suffix_coda	ང	token_final		token_final				ordinary_tibetan_lexical_or_compound									yes	yes		A	Explicit feature-specific final-nasal reviews establish this OCR variant; no general h replacement is authorized.	reviewed_final_ng_h_sources	unrelated_h_controls	repository_reviewed_feature_evidence	signature_engine_20260728
SUB ń→ṅ		suffix_coda	ང	token_final		token_final				ordinary_tibetan_lexical_or_compound									yes	yes		A	Explicit feature-specific final-nasal reviews establish this OCR variant; no general nasal normalization is authorized.	reviewed_final_ng_acute_n_sources	genuine_acute_n_controls	repository_reviewed_feature_evidence	signature_engine_20260728
SUB I→l				token_initial		token_initial				ordinary_tibetan_lexical_or_compound									yes	yes		A	Reviewed exact initial-I/l corrections establish this conditioned OCR confusion; Latin I remains legitimate elsewhere.	reviewed_tibetan_exact_initial_i_l_family	unrelated_Latin_I_controls	repository_reviewed_feature_evidence	signature_engine_20260728
SUB Z→ź		root_consonant	ཞ			within_target_role_span				ordinary_tibetan_lexical_or_compound									yes	yes		A	Reviewed root-ཞ repairs establish capital Z as an OCR substitute for canonical ź at exact aligned Tibetan identities.	reviewed_root_zha_families	unrelated_Latin_Z_controls	repository_reviewed_feature_evidence	signature_engine_20260728
SUB z→ź		root_consonant	ཞ			within_target_role_span				ordinary_tibetan_lexical_or_compound									yes	yes		A	Reviewed root-ཞ repairs establish plain z as an OCR substitute for canonical ź at exact aligned Tibetan identities.	reviewed_root_zha_families	unrelated_Latin_z_controls	repository_reviewed_feature_evidence	signature_engine_20260728
SUB ñ→ṅ		suffix_coda	ང	token_final		token_final				ordinary_tibetan_lexical_or_compound									yes	yes		A	Feature-specific reviewed final-nasal decisions establish ñ→ṅ at exact Tibetan coda identities; foreign and unaligned material remains excluded.	reviewed_final_ng_tilde_n_sources	genuine_ñ_transcription_controls	repository_reviewed_feature_evidence	signature_engine_20260728
SUB r→ṅ										ordinary_tibetan_lexical_or_compound									yes	yes		D	No reviewed atomic evidence; high control count and alternate-witness recurrence cannot establish this cross-character operation.	signature_review_packet	legitimate_r_forms	repository_evidence_review	signature_engine_20260728
REPLACE ni→ṅ										ordinary_tibetan_lexical_or_compound									yes	yes		D	Existing rows are composed or family-specific evidence and do not establish deletion-plus-substitution as one reusable atomic OCR signature.	signature_review_packet	unaltered_ni_sequences	repository_evidence_review	signature_engine_20260728
SUB b→h										ordinary_tibetan_lexical_or_compound									yes	yes		D	No reviewed atomic Tibetan-transcription evidence and abundant legitimate b controls; frequency cannot distinguish OCR from alignment or transcription variation.	signature_review_packet	legitimate_b_forms	repository_evidence_review	signature_engine_20260728
