tibetan_syllable	latin_form	volume	page	line	token_index	provenance_class	canonical_teaching_status	correction_evidence_scope	domain_context	alignment_confidence	headword_transliteration_span_status	context_excerpt
ཀ	'ka	wts_1_34	33	1	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ།་ 'ka 1. erster Buchstabe des tibetischen Al-
ཀ	'ka	wts_1_34	34	52	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཀོ་ལ་ 'ka ko la
ཀ	'ka	wts_1_34	34	93	1	unknown	not_teaching_evidence	other	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཀོ་ལ་ 'ka ko la eine Heilpflanze. - skt. 57560/
ཀ	'ka	wts_1_34	36	115	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཏན་ 'ka tan Baumwollstoff. — Es ist nicht be-
ཀ	'ka	wts_1_34	39	148	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་པོ་ཏ་ 'ka po ta.
ཀ	'ka	wts_1_34	41	160	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་མེད་ 'ka med
ཀ	'ka	wts_1_34	41	206	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་མེད་ 'ka med (dka’ ?) „unvermeidbar“, „un-
ཀ	'ka	wts_1_34	43	193	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་རུ་ 'ka ru (dkar); vgl. ke ru.
ཀ	'ka	wts_1_34	44	45	1	unknown	not_teaching_evidence	other	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ལ་ 'ka la schwarz. - skt. kala.
ཀ	'ka	wts_1_34	44	175	1	unknown	not_teaching_evidence	other	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ལ་མ་ 'ka la ma eine Heilpflanze. -- skt. kala-
ཀ	'ka	wts_1_34	45	158	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ལི་ 'ka li Hirnschale, Schädelknochen, Bez.
ཀ	'ka	wts_1_34	45	184	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ལི་ 'ka li Ika li ya ka.
ཀ	'ka	wts_1_34	46	171	1	unknown	not_teaching_evidence	other	ordinary_tibetan_lexical_or_compound	secure_positional_alignment	secure_complete_span	ཀ་ཤ་ 'ka śa Bed. unsicher (T.N.).
ཀ	Anfechtung	wts_1_34	815	3	3	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	unclear	marker_or_damage	gloss_intrusion	སྙད་ཀ་ 5777 ka Anfechtung, Tadel, Vorwand.
ཀ	Baumart	wts_9_m	202	55	5	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	མྱའི་ཧ་རི་ཏ་ཀ་ musti barita ka cine Baumart,
ཀ	Bär	wts_8_b	337	77	3	historical_pre_campaign_unattributed	foreign_domain	full_token_independent_canonical	sanskrit_or_indic_transcription	secure_positional_alignment	secure_complete_span	བྷ་ལ་ཀ་ bhala ka Bär, skt. bhalluka.
ཀ	HT	wts_1_34	38	82	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་དམ་ ་བའི་མེ HT ka dam ba’i me tog, auch ka dam
ཀ	Ikan	wts_1_34	99	133	3	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	marker_or_damage	secure_complete_span	ཀོའུ་ཤི་ཀ་ ko’u Sika Ikan Si ka.
ཀ	Klu	wts_35_51	934	67	2	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	missing_transliteration	པོ་ཀ་བདད་ཐོད་ངདཀའར་ pbo Klu bind tod dkar
ཀ	Ne	wts_1_34	34	46	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཀཱ་ Ne ka ku ta sinha npr., Minister. — skt.
ཀ	Ra	wts_1_34	34	194	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་བཀྱག་ Ra bkeyag (74) Säulenbasis.
ཀ	Ra	wts_1_34	36	79	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	sanskrit_or_indic_transcription	probable_alignment	probable_span	ཀ་ཏ་བང་ཀ་ Ra ta baṅ ka eine Heilpflanze. - skt.
ཀ	Ra	wts_1_34	39	1	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ནས་དག་པ་ Ra nas dag pa
ཀ	Ra	wts_1_34	39	80	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་པད་ Ra pad \ka ped.
ཀ	Ra	wts_1_34	42	26	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་སྨད་ Ra smad Tka mad.
ཀ	Ra	wts_1_34	46	124	1	historical_pre_campaign_unattributed	not_teaching_evidence	full_token_independent_canonical	ordinary_tibetan_lexical_or_compound	probable_alignment	probable_span	ཀ་ཤ་ Ra Sa
