tibetan_syllable	source_token	status	exception_scope	reviewed_canonical_target	evidence_type	rationale
གཞུང	gzun	known_multi_error_source	source_form_only	gźuṅ	explicit_user_review	The aligned source has both a non-final OCR defect and a final-nasal defect; this is not a final-ng-only inference.
ལྗང	Dan	known_multi_error_source	source_form_only	ldaṅ	explicit_user_review	The aligned source has both initial OCR damage and a final-nasal defect; this is not a final-ng-only inference.
ཆུང	run	source_variant_requires_manual_review	source_form_only		manual_diagnostic_review	The source may be aligned to the lemma but cannot be resolved by final-nasal-only evidence.
གླིང	elin	source_variant_requires_manual_review	source_form_only		manual_diagnostic_review	The source may contain additional non-final OCR damage.
ལྗང	lan	source_variant_requires_manual_review	source_form_only		manual_diagnostic_review	The source requires separate review and must not be inferred from ldan or Dan.
ཁོང	kbon	source_variant_requires_manual_review	source_form_only		manual_diagnostic_review	The source may contain additional non-final OCR damage.
ངང	han	source_variant_requires_manual_review	family_block		manual_diagnostic_review	The root/stem transcription is unresolved; final-coda evidence alone cannot authorize haṅ.
ཞེང	Zen	source_variant_requires_manual_review	family_block		manual_diagnostic_review	The reviewed root feature indicates a non-final defect, but the full canonical target requires exact review.
ཤང	San	source_variant_requires_manual_review	family_block		manual_diagnostic_review	The corpus transcription convention for Tibetan root ཤ remains ambiguous.
ཤིང	Sin	source_variant_requires_manual_review	family_block		manual_diagnostic_review	The corpus transcription convention for Tibetan root ཤ remains ambiguous.
ཤིང	sin	source_variant_requires_manual_review	family_block		manual_diagnostic_review	The corpus transcription convention for Tibetan root ཤ remains ambiguous.
ཀང	kani	foreign_or_alternate_transcription	source_form_only		manual_domain_review	The family contains Sanskrit/foreign-transcription material and remains domain-risk pending a lexical audit; signature readiness is not final-action readiness.
