reason	base_token	alternate_token	count	volume_count	sample_refs	sample_contexts
alternate_witness_google_loc_nasal_upgrade	dan	daṅ	871	1	wts_1_34:23:30; wts_1_34:25:24; wts_1_34:85:138; wts_1_34:85:158; wts_1_34:87:95	"Dun DKAR, Blo bzan ’phrin las mchog 1981: Deb ther dmar po rmams kyı dan po hu lan deb ther. || |Dan ma blo bzanı rdo rje 1981: Rigs dan dyil ""khor rgya mtsho’i khyab bdag he ru kah dpal nur || kun gäi yan / geun dan ’dzin pa spans pa’i"
alternate_witness_initial_i_to_l_translit	Ita	lta	636	1	wts_1_34:85:19; wts_1_34:85:43; wts_1_34:90:93; wts_1_34:93:151; wts_1_34:100:20	tha 5777 pa’i tshad ma Ita bu „ein Fürwahrhalten, z. B. die konventionelle Beurteilung“ || (brDa); kun rdzob kyi blo Ita bu „wie ein in || Lex. me tog gi skra Ita bu’am me tog gi ze’u
alternate_witness_initial_i_to_l_translit	Iha	lha	196	1	wts_1_34:30:49; wts_1_34:85:7; wts_1_34:85:188; wts_1_34:87:78; wts_1_34:87:78	Zi ba Iha [d. i. Säntideva]: Byan chub sems dpa’i spyod pa la jug pa ! Weiter 1950 [Bca] || Wirklichkeit“ (Bu 774,3); — gzugs kyi Iha la || Lex. me dan me Iha la’an (brDa).
alternate_witness_google_loc_nasal_upgrade	nid	ñid	149	1	wts_1_34:66:73; wts_1_34:85:29; wts_1_34:85:139; wts_1_34:85:173; wts_1_34:90:168	ba bstan pa’i de nid snan ba (Bd. ka, Text 2, 1a-131a3). || zag dan chos kyi no bo nid dan khyad par —'i || phyir / de bZin nid du nas bsad do (metr.) „das
alternate_witness_google_loc_nasal_upgrade	bzan	bzaṅ	108	1	wts_1_34:23:30; wts_1_34:23:114; wts_1_34:25:17; wts_1_34:25:24; wts_1_34:26:116	Dun DKAR, Blo bzan ’phrin las mchog 1981: Deb ther dmar po rmams kyı dan po hu lan deb ther. || von bKra 475 Ihun po bLo bzan dPal ldan Ye ses. Aus dem tibetischen Original übersetzt und || ICan skya Nag dban blo bzan chos Idan } Suzukı 1955-1961 [2CK]
alternate_witness_citation_siglum	Lis	Liś	106	1	wts_1_34:28:29; wts_1_34:28:43; wts_1_34:100:12; wts_1_34:109:219; wts_1_34:125:210	sKyogs ston lo tsä ba Nag dbanı rin chen bkra 615 | Sonam anGpu 1973 [Lis] || cripts from Ladakh. Leh: Basgo Tongspon. [Lis] || Lex. kos thag = ram thag „be-, getroffen, erschöpft sein“ (Lis 18,6); —, dkos thag pa =
alternate_witness_google_loc_fricative_upgrade	bsad	bśad	87	1	wts_1_34:28:118; wts_1_34:28:119; wts_1_34:29:21; wts_1_34:66:107; wts_1_34:85:119	TAsHI TSERING 1980: ’Dzam glin rgyas par bsad pa thagrin gsal bar mthon byed durba na. Or: ’Dzam || glin chen po’irgyas bsad snod bcud kun gsal me lo. The rare 1830 redaction of the monumental || — 1977: Legs bsad rin po che’i mdzod. A Tibetan analytical history and study of the doctrines of
alternate_witness_initial_i_to_l_translit	Idan	ldan	81	1	wts_1_34:26:55; wts_1_34:26:120; wts_1_34:66:68; wts_1_34:87:144; wts_1_34:100:88	— 1970: Three Karchacks. Lha Idan sprul pa’i gtsug lag khang gi dkar chag shel dkar me long || Panchen Lama 3, Blo bzan dpal Idan ye $es GrÜünweeL 1915 [$Sambh] || spyod pa’i mtho ris kyi rgyal blon gtso bor brjod pa’i deb ther rdzogs Idan gZon nu’i dga’
alternate_witness_google_loc_nasal_upgrade	kyan	kyaṅ	79	1	wts_1_34:131:106; wts_1_34:146:137; wts_1_34:155:121; wts_1_34:156:104; wts_1_34:177:142	ion mons ston phrag du mas — nas kyan || sman kyinnan na — nırun ba rüed kyan „auch || rus pa dan — gis kyan sems can ltogs pa rnams
alternate_witness_google_loc_nasal_upgrade	snan	snaṅ	75	1	wts_1_34:66:73; wts_1_34:89:135; wts_1_34:155:99; wts_1_34:177:153; wts_1_34:193:198	ba bstan pa’i de nid snan ba (Bd. ka, Text 2, 1a-131a3). || Lex. nor bu ke ta ka’an zer snan (brDa); nor || yur ba ka chu Zes pa’an snan „über das Feld
