source_token	suggested_token	source_count	suggested_count	edit_distance	confidence	ambiguous	example
cañ	can	1	444	0	medium	0	phrag na ~ cañ ses pa cig gnas pa Sin tu gus pas
phā	pha	2	309	0	medium	0	"sras — dharma phā la raksi ta ""der Sohn der"
$a	sa	45	282	0	medium	0	dir gan $a sar pa dan khrag — yod na de ni ...
phañ	phan	2	241	0	medium	0	"~ phañ ba = isuksepah ""Pfeilschießen"" (Mvy"
mikhar	mkha'i	2	185	2	medium	1	"her drückt"" (Hipp 239,14); mikhar khra mo'i"
mkhrig	mkha'i	2	185	2	medium	0	Lex. lag pa'i mkhrig pa (brDa); lag pa'i
mkhur	mkha'i	2	185	2	medium	1	~~ mkhur bkan dor / dud pa so rtsi bsten
mkhyid	mkha'i	2	185	2	medium	0	"lam — mkhyid cin bäugste ""der Leichnam be-"
g$og	gdoṅ	3	174	2	medium	1	khwa yi g$og pa Zag nim pa | — yi 'bru mar
g$ol	gdoṅ	1	174	2	medium	1	broya byin ... g$ol med ma dan ... mon par
g$or	gdoṅ	1	174	2	medium	1	"~ la'an bar lam me g$or dan ""da zwischen-"
g$os	gdoṅ	1	174	2	medium	1	Lex. — pa = chu g$os pa'am dbo bar byas pa
gźol	gdoṅ	2	174	2	medium	1	tu gźol gyur na / thub bstan ku mud dga' tshal
dzer	dzin	2	144	2	medium	1	"180,20); Ipag(s) nad 'dzer pa bcos pa ""die"
$in	siṅ	25	139	0	medium	0	"tshan (r. ya mtshan) ni $in tu che bar —o ""was"
brku	brda	2	138	2	medium	1	"'tshe dan brku dan — spyod (metr.) ""Gewalt-"
gźug	gduṅ	2	135	2	medium	1	"hüm phat kyi rnam pa ni ~ gźug go ""man"
mduñ	mdun	1	124	0	medium	0	mduñ gis brdeg pa ni / 'dzug tu ma btug par /
phyiñ	phyin	1	119	0	medium	1	phyin stag rtse, phyiñ na stag rise, 'phyin par
$u	su	7	116	0	medium	0	777 ... chu thags (r. $u dag) sdon (r. ldon) ros
$ū	su	1	116	0	medium	0	(Mvy 506); tin ne 'dzin dan Idan pa = $ū-
śu	su	2	116	0	medium	0	"ben Tiere"" (VisT 248,18); znam pa /7/ śu ~"
rgyañ	rgyan	3	95	0	medium	0	brgya rgyañ grags = dhanuhpanicasatāni krosah
dgwi	dgra	2	83	2	medium	1	"— rim dgwi '09 khan du ""im Erdgeschoß ei-"
maghā	mtha'	2	79	2	medium	1	"häuser] Maghā, Müla und Asvini"" (PhB 6:"
g$am	gnaṅ	1	61	2	medium	1	"khuns g$am gsal nas ""deren Namen und au-"
$o	so	5	58	0	medium	0	"pa las / kä ma a $o ka ste — ces ""als er eini-"
ys$	yul	1	54	2	medium	1	"gdosa), Fieber, Tumoren [usw.]"" (Ys$ 596);"
tashi	tshig	2	49	2	medium	1	nams. Reproduced from a rare print [=Derge blockprint] by Tashi Dorji. Delhi:
mñes	mdzes	2	47	2	medium	1	ña 214b2); gal te Iha'i thugs mñes ~ de Ita na
khres	khams	2	45	2	medium	1	སྤོས་ཁྲེས་ spos khres eine Ladung Weihrauch,
brtib	brtan	2	43	2	medium	1	ne'u gsiñ mmanis ni glogs / — dag m brtib bo
gtsah	gtsug	2	43	2	medium	1	po gtsah pa dbaṅ phyug grag —r bskos
gtsai	gtsug	2	43	2	medium	1	gtsai chn mig rin mo Zes pa ... den san gron
źwa	ziṅ	2	36	2	medium	1	"źwa ~ / dge bses chen po ...i dbu la gsol ""er"
mtshañ	mtshan	1	35	0	medium	0	(brDa); — ba = skyon mtshañ dan sa sogs drus
bstir	bstod	2	35	2	medium	0	"""die achte heiße Hölle"" (brDa, Dagy); bstir"
tshañ	tshan	1	33	0	medium	0	brgyad dan / ñar mi breya rtsa brgyad tshañ
mñed	mdud	2	25	2	medium	1	"reiben"" (Dagy); ~ ba = pags pa mñed pa'am"
lha’i	lha'i	2	21	0	medium	0	"de dag —""i lha’i ris bdun po de dag tu ... gźal"
brtsibs	brtsegs	2	21	2	medium	1	(Gesar 218,33); — thog phub 'khor lo brtsibs
mṅa'	mna'	2	20	0	medium	0	"1:428,1); —rsku skyer mṅa' gsol phyin ""nach-"
$a'i	sa'i	1	16	0	medium	0	(Liyl 182b3); $a'i gon bu lcags kyi tho ba
dits	daṅs	2	16	2	medium	1	"(Mvup 4,203); ""dits) de bZin du beom Idan"
brūes	brduṅs	2	15	2	medium	1	བདེ་བ་བརྙེས་པ་ bde ba brūes pa Bez. für Bud-
iphor	iphyir	2	15	2	medium	1	མོར་ phor in cp. für Iphor pa bzw. Iphor bu
iphyag	iphyir	2	15	2	medium	1	ཕྱག་ Pyag Iphyag.
iphywa	iphyir	2	15	2	medium	1	ཕྱ་གཡང་ phyagyan Iphywa gyan.
ishod	ishal	2	15	2	medium	0	གདུགས་ཚོད་ gdugs ishod Mittagessen, Mittags-
mkbos	mkhas	2	15	2	medium	1	"mkbos su phab ste ""nachdem er nach dem Es-"
