page	line	token_index	base_token	alternate_token	reason	base_key	alternate_key	base_line	alternate_line	alignment_method	alignment_attribution	resynchronization_attribution	resynchronization_source	base_to_alternate_page_delta	alternate_page	page_match_score	canonical_overlap	shared_canonical_tokens	base_nonempty_count	alternate_nonempty_count	line_count_ratio
5	4	2	Iha	lha	alternate_witness_initial_i_to_l_translit	iha	lha	"— ni Iha mo gos dkar mo (metr.) ""ma ist die"	"— ni lha mo gos dkar mo (metr.) ""ma ist die"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	5	0.960	0.877	285	69	69	1.000
5	5	6	na	ña	alternate_witness_google_loc_nasal_upgrade	na	na	"Göttin Pändurä"" (Hev 1.1.22c); ra na na —"	"Göttin Pändurä"" (Hev 1.1.22c); ra ña na —"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	5	0.960	0.877	285	69	69	1.000
5	31	6	lon	loṅ	alternate_witness_google_loc_nasal_upgrade	lon	lon	(K1 kha 23356); nie — pho lon bZin pa'i bud	(K1 kha 23356); nie — pho loṅ bZin pa'i bud	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	5	0.960	0.877	285	69	69	1.000
5	33	5	Ihan	lhan	alternate_witness_initial_i_to_l_translit	ihan	lhan	(K6 da 21747); rig — Ihan cig goms byas pas	(K6 da 21747); rig — lhan cig goms byas pas	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	5	0.960	0.877	285	69	69	1.000
5	42	2	btan	btaṅ	alternate_witness_google_loc_nasal_upgrade	btan	btan	"khar btan ""das Teigopfer werfe man an die"	"khar btaṅ ""das Teigopfer werfe man an die"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	5	0.960	0.877	285	69	69	1.000
5	53	6	gsed	gśed	alternate_witness_google_loc_fricative_upgrade	gsed	gsed	(PT1283 570); khyod la bdag ... gsed — pa ...	(PT1283 570); khyod la bdag ... gśed — pa ...	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	5	0.960	0.877	285	69	69	1.000
6	19	2	gron	groṅ	alternate_witness_google_loc_nasal_upgrade	gron	gron	1); gron pa'i bu mo dga' mo dan dea' stobs	1); groṅ pa'i bu mo dga' mo dan dea' stobs	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	6	0.831	0.887	391	93	85	1.094
6	34	5	Iha	lha	alternate_witness_initial_i_to_l_translit	iha	lha	"boren"" (Dzl 273,6); Iha mo 'phrog — 'khor"	"boren"" (Dzl 273,6); lha mo 'phrog — 'khor"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	6	0.831	0.887	391	93	85	1.094
6	43	4	dan	daṅ	alternate_witness_google_loc_nasal_upgrade	dan	dan	ba' srun ma dan / byad — de bZin srin po	ba' srun ma daṅ / byad — de bZin srin po	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	6	0.831	0.887	391	93	85	1.094
6	54	7	Idan	ldan	alternate_witness_initial_i_to_l_translit	idan	ldan	"ten Lächeln"" (Nägn 49,5); brtse Idan — yi"	"ten Lächeln"" (Nägn 49,5); brtse ldan — yi"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	6	0.831	0.887	391	93	85	1.094
