page	line	entry_id	zone	from_token	to_token	tier	reason	applied	line_excerpt
5	35	0	german_prose	cinen	einen	A	german_dotless_i_safe_map	1	"(metr.) ""wenn man einmal über cinen Man-"
6	19	1	latin_other	dga'	dga’	A	explicit_user_allowlist	1	1); groṅ pa'i bu mo dga' mo dan dea' stobs
6	32	1	german_prose_with_translit	chañ	chaṅ	A	confusable_nya_coda_safe	1	"nes"" (K6 da 53a2); chañ tshon ~ de la bu pho"
6	35	1	german_prose_with_translit	dan bcas pa	daṅ bcas pa	A	tibetan_translit_phrase_allowlist	1	"dan bcas pa ""die Gottheit Häriti mit ihrem"
6	52	1	latin_other	dañ	daṅ	A	explicit_user_allowlist	1	skyens pa'i 'dzum dañ bcas par de ltar byed
6	85	1	german_prose_with_translit	mDzes-Idan-ma	mDzes-ldan-ma	A	confusable_hyphenated_I_to_l_translit	1	"mDzes-Idan-ma"" (Gesar 215,9)."
7	12	2	german_prose	111	in	A	german_numeric_function_word_confusion	1	der älteste der drei Söhne, starb 111] männ-
7	82	2	german_prose	cine	eine	A	german_dotless_i_safe_map	1	ausschen wie cine Gürtelschnalle, die man
8	36	2	german_prose_with_translit	lañs	laṅs	A	explicit_user_allowlist	1	(Liy1 17622); ro lañs ma ni chu lag ~ (metr.)
8	66	2	german_prose_with_translit	rmams	rnams	A	explicit_user_allowlist	1	"len"" (Vdk-M 124,18); ka spuns rmams la khe"
8	70	2	german_prose_with_translit	gtsañ	gtsaṅ	A	explicit_user_allowlist	1	"angeordnet"" (GTh 4 472,3); dkar gtor gtsañ"
9	59	3	latin_other	Ita	lta	A	explicit_case_sensitive_allowlist	1	"rgyas pa nani Ita ba — mthun nas ""nachdem"
9	68	3	latin_other	Ita	lta	A	explicit_case_sensitive_allowlist	1	"Ita bu — dgos {r}tsarn gyis ""damit so etwas"
9	69	3	german_prose_with_translit	$o	śo	A	confusable_dollar_to_sacute_shape_safe	1	"nicht erforderlich ist"" (M'TTH3/3/34 39); $o"
9	77	3	german_prose_with_translit	dga'	dga’	A	explicit_user_allowlist	1	"bstan pa la — dga' (metr.) ""die Lehre von"
9	83	3	german_prose_with_translit	dga'	dga’	A	explicit_user_allowlist	1	"bisun mo ... 0?7/$ — dga' nas ""seine beiden Ge-"
10	34	3	german_prose_with_translit	gañ	gaṅ	A	explicit_user_allowlist	1	"nicht beigefügt sind"" (Scp 25.5); char gañ dus"
10	92	3	german_prose_with_translit	Iha	lha	A	explicit_case_sensitive_allowlist	1	kar du / Iha gsegs ni Zal — 'tshol (metr.)
11	91	3	german_prose_with_translit	dga'	dga’	A	explicit_user_allowlist	1	"kum dga' bo dub par — byed cig ""o Änan-"
12	28	3	latin_other	bsnal	bsṅal	A	explicit_user_allowlist	1	"758,3); khyod sdug bsnal bar — byed cig ""sei"
13	5	3	german_prose_with_translit	$ih	śih	A	confusable_dollar_to_sacute_shape_safe	1	"rtswa $ih la yani dban — bskur te ""der jünge-"
13	63	3	german_prose_with_translit	rmams	rnams	A	explicit_user_allowlist	1	"— riins pa rmams ""nicht verwelkte Blüten-"
14	17	3	latin_other	dañ	daṅ	A	explicit_user_allowlist	1	"~ byed par loris dañ ""mach keinen Quatsch,"
14	44	4	german_prose_with_translit	broyud	brgyud	A	explicit_user_allowlist	1	"Zal dkar gyi gdun broyud bar — chad pa ""die"
14	69	5	german_prose_with_translit	$i	śi	A	confusable_dollar_to_sacute_shape_safe	1	"na Si — $i med par 'on ""wenn ein Marder"
14	75	5	german_prose_with_translit	$SākNth	śākNth	A	confusable_dollar_to_sacute_shape_safe	1	"Bote kam"" ($SākNth 28,7); — ni bar gi gsal"
15	19	5	german_prose	bsnal	bsṅal	A	explicit_user_allowlist	1	"dani / sdug bsnal (metr.) ""Schmerz und Leid"
15	28	5	german_prose	1111	im	A	german_numeric_function_word_confusion	1	"1111] als Mutter abstammen"" (Glr 45,4); —""i"
15	34	5	german_prose_with_translit	rañ	raṅ	A	confusable_nya_coda_safe	1	"sgrol mas rañ gi ~i tshul bzur nas ""die er-"
15	82	5	german_prose_with_translit	gañ	gaṅ	A	explicit_user_allowlist	1	118,29); Reg gśin tshe rtsis la sogs pa / gañ
17	18	13	latin_other	giiis	gñis	A	explicit_user_allowlist	1	dan po nisa ben pa'i mdo lta bu'o / giiis pa ni
17	19	13	german_prose_with_translit	Ita	lta	A	explicit_case_sensitive_allowlist	1	"— Ita bu'o ""das erste ist wie das Dasabhimi-"
17	24	13	latin_other	miñ	miṅ	A	confusable_nya_coda_safe	1	pa'i chos kyi miñ).
17	61	19	latin_other	Ihub	lhub	A	confusable_initial_I_to_l_marked_context	1	Ihub dka' dan / chos ldan rab 'byor dan / ma ti
17	62	19	latin_other	rmams	rnams	A	explicit_user_allowlist	1	tsitra rmams mishan gyi rnam graris su grags pa
18	13	23	latin_other	nañ	naṅ	A	explicit_user_allowlist	1	phyogs bzir dpag tshad drug cu drug cwi nañ
18	43	24	german_prose_with_translit	rmams	rnams	A	explicit_user_allowlist	1	"rgal po dari — rmams 'joms par gyur cig ""der"
18	49	25	german_prose_with_translit	$inaväsika	śinaväsika	A	confusable_dollar_to_sacute_shape_safe	1	dha luden den edlen $inaväsika aus Śrāvastī
18	50	25	german_prose_with_translit	dga'	dga’	A	explicit_user_allowlist	1	"ein"" (Tär 8,14); slob dpon kun dga' 5/7//? po"
19	4	27	latin_other	Ita	lta	A	explicit_case_sensitive_allowlist	1	di yin te / bla ma da Ita 'dinami bängs ...
