family_id	category	from_pattern_or_token	to_pattern_or_token	scope	status	volumes_applied	reason_codes	implementation_location	evidence_doc	applied_count_current_release	residual_count_current_release	negative_controls	notes
google_vision_alternate_witness_policy	google_witness	Google Vision token witness	safe token-level adoptions only	policy	applied	all	alternate_witness_adoptions	scripts/postprocess_entry_map.py;release/current/qa/*/*_alternate_witness_adoptions.tsv	docs/STATUS.md;release/current/qa	7483	7195	no raw line replacement;no loosened adoption gates	Base OCR remains authoritative; Google Vision is an alternate witness only.
dotless_i_to_i_translit_and_names	dotless_i	ı	i	guarded_token_context	applied	all	confusable_dotless_i_to_i_translit_shape;confusable_dotless_i_to_i_lexicon;confusable_dotless_i_to_i_safe_char_map;confusable_dotless_i_to_i_citation_name;confusable_dotless_i_to_i_allowlist;confusable_dotless_i_to_i_context;confusable_dotless_i_to_i_headword;confusable_dotless_i_to_i_entry_memory	scripts/postprocess_entry_map.py	release/current/qa	5183	464	Tibetan transliteration context required where applicable	Guarded dotless-i repairs are active; residual dotless-i artifacts remain review evidence, not proof of a global rule.
german_prose_dotless_i	dotless_i	ı	i	german_prose_context	applied	all	german_dotless_i_safe_map;confusable_dotless_i_to_i_german_core	scripts/postprocess_entry_map.py	release/current/qa	1035	464	Tibetan/Sanskrit transliteration tokens	German prose dotless-i repairs are separate from transliteration repairs.
guarded_dollar_to_sacute	dollar_to_sacute	$	ś	exact_or_context_guarded	partially_applied	all	confusable_dollar_to_sacute_shape_safe;confusable_dollar_to_sacute_lexicon;confusable_dollar_to_sacute_name_anchor;orphan_safe_dollar_to_sacute;citation_isv_dollar_abbrev_map	scripts/postprocess_entry_map.py;data/reviewed_tibetan_exact_overrides.tsv	release/current/qa;docs/tibetan_sigla_registry_cleanup_2026-06-27.md	1978	2229	generic $ token;currency/noise;unreviewed sigla	Exact/guarded $ to ś repairs are active, but the broad character rule is forbidden and residual $ buckets remain.
final_ng_mark_variants	final_ng	ñ/ń/ň	ṅ	exact_token_or_witness_guarded	partially_applied	all	confusable_nya_coda_safe;confusable_nya_coda_safe_strong_context;reviewed_tibetan_exact_final_ng;reviewed_tibetan_exact_script_ng_witness;reviewed_tibetan_exact_residual_ng;reviewed_tibetan_exact_residual_spacing_ng	scripts/postprocess_entry_map.py;data/reviewed_tibetan_exact_overrides.tsv	docs/tibetan_script_ng_witness_sweep_2026-06-28.md;release/current/qa	813	3	broad ń->ṅ;broad n->ṅ	Many exact final-ṅ repairs are applied; remaining nasal-looking tokens still require context or Tibetan-script witness support.
final_ng_deferred_source_review	final_ng	source-sensitive final-ng candidates	source-checked Tibetan forms	source_review_queue	deferred	none	none	none	docs/tibetan_initial_i_ng_cleanup_2026-06-28.md;release/current/qa/*/tibetan_cleanup_diagnostics	0	3	broad ń->ṅ;broad n->ṅ;abbreviation/noisy contexts	Deferred final-ng source-review rows remain separate from the script-ng witness diagnostic queue.
final_ng_script_witness_diagnostic_queue	final_ng	script-ng witness diagnostic candidates	source-checked Tibetan-script evidence	diagnostic_queue	diagnostic_only	none	none	none	release/current/qa/*/tibetan_cleanup_diagnostics/tibetan_script_ng_witness_candidates.tsv	0	1	broad ń->ṅ;broad n->ṅ;broad T/I/\->↑ marker rule;unverified witness-only contexts	Current script-ng witness diagnostic rows are separate from the final-ng deferred source-review residual; marker-attached rows remain in this queue after reference-marker separation.
reference_marker_diagnostics	reference_marker	T/I/slash/backslash/actual arrows near Tibetan transliteration context	↑/↓ reference markers	page_line_token;diagnostic_queue	partially_applied	reviewed_tibetan_exact_reference_marker	data/reviewed_tibetan_exact_overrides.tsv;scripts/postprocess_entry_map.py	exact reviewed rows only; no broad marker rule	release/current/qa/*/*_changes.tsv;release/current/qa/*/tibetan_cleanup_diagnostics/reference_marker_candidates.tsv	92	2795	broad T->↑/↓;broad I->↑/↓;broad /->↑/↓;broad \->↑/↓;broad n->ṅ	Reviewed reference-marker rows are exact page-line-token corrections; direction is determined from lemma-order comparison where possible; ambiguous lemma identity is accepted only when all possible matches point the same direction; slash is not bulk-promoted; remaining rows are diagnostic only; superscripted marker numbers are not inferred automatically.
dngos_exact_dnos_to_dngos	final_ng	dnos	dṅos	page_line_token	partially_applied	wts_1_34;wts_35_51;wts_8_b;wts_9_m	reviewed_tibetan_exact_dngos;blocked_alternate_witness_wrong_nasal_dnos	data/reviewed_tibetan_exact_overrides.tsv;scripts/postprocess_entry_map.py	release/current/qa/*/*_changes.tsv;release/current/qa/*/tibetan_cleanup_diagnostics	271	46	broad dnos->dṅos;broad nasal rule;dnos->dños witness	Reviewed exact dnos->dṅos rows are applied by page/line/token; exact orthography diagnostic residual rows=0; remaining witness diagnostics=46 (44 blocked dnos->dños, 2 context diagnostics). No broad dnos->dṅos rule exists.
final_ng_yang	final_ng	yañ	yaṅ	exact_token	applied	wts_1_34;wts_35_51;wts_8_b;wts_9_m	explicit_user_allowlist;reviewed_tibetan_exact_yang	scripts/postprocess_entry_map.py;data/reviewed_tibetan_exact_overrides.tsv	docs/tibetan_initial_i_ng_cleanup_2026-06-28.md	351	0	yani unless separately reviewed;German prose	Applied where token/context gates permit.
final_ng_dang	final_ng	dañ	daṅ	exact_token	applied	wts_1_34;wts_35_51;wts_8_b;wts_9_m	explicit_user_allowlist;tibetan_dang_phrase_override;tibetan_dang_witness_rewrite	scripts/postprocess_entry_map.py;data/reviewed_tibetan_exact_overrides.tsv	docs/tibetan_dan_dang_phrase_batch_2026-06-25.md;docs/tibetan_initial_i_ng_cleanup_2026-06-28.md	422	0	German dan;unreviewed n->ṅ	Exact daṅ-family repairs are applied; this is not a broad n-to-ṅ rule.
final_ng_nang	final_ng	nañ	naṅ	exact_token	applied	wts_1_34;wts_35_51;wts_8_b;wts_9_m	explicit_user_allowlist	scripts/postprocess_entry_map.py	docs/tibetan_initial_i_ng_cleanup_2026-06-28.md	155	0	German/non-Tibetan contexts	Exact token correction only.
initial_I_Ita_lta	I_to_l	Ita	lta	exact_token	applied	all	explicit_case_sensitive_allowlist	scripts/postprocess_entry_map.py	release/current/qa	3520	0	Inhalt;Indien;Ich;Ingwer	Explicit case-sensitive allowlist token, not a generic I-to-l rule.
initial_I_Iha_lha	I_to_l	Iha	lha	exact_token	applied	all	explicit_case_sensitive_allowlist	scripts/postprocess_entry_map.py	release/current/qa	1094	0	Inhalt;Indien;Ich;Ingwer	Explicit case-sensitive allowlist token.
initial_I_Ihan_lhan	I_to_l	Ihan	lhan	exact_token	applied	all	explicit_case_sensitive_allowlist	scripts/postprocess_entry_map.py	release/current/qa	185	0	Inhalt;Indien;Ich;Ingwer	Explicit case-sensitive allowlist token.
initial_I_Iho_lho	I_to_l	Iho	lho	exact_token	applied	all	explicit_case_sensitive_allowlist	scripts/postprocess_entry_map.py	release/current/qa	84	0	Inhalt;Indien;Ich;Ingwer	Explicit case-sensitive allowlist token.
initial_I_Itos_ltos	I_to_l	Itos	ltos	exact_token	applied	all	explicit_case_sensitive_allowlist	scripts/postprocess_entry_map.py	release/current/qa	46	0	Inhalt;Indien;Ich;Ingwer	Explicit case-sensitive allowlist token.
initial_I_exact_residual_diagnostic	I_to_l	reviewed Initial-I/l residual diagnostic	no remaining exact candidate rows	diagnostic_queue	diagnostic_only	none	none	none	release/current/qa/*/tibetan_cleanup_diagnostics/tibetan_initial_i_residual_candidates.tsv	0	0	initial_confusable_I artifact bucket;German/prose controls	Exact Initial-I/l residual diagnostics are exhausted in all four volumes; this is not the broader initial_confusable_I artifact bucket.
initial_I_context_gated_ldan_family	I_to_l	Idan and related marked-context initial-I tokens	ldan and related l-forms	lexicon_or_marked_context	partially_applied	all	confusable_initial_I_to_l_marked_context;confusable_initial_I_to_l_lexicon;confusable_initial_I_to_l_strong_context;confusable_initial_I_to_l_headword;reviewed_tibetan_exact_initial_i_l_family;confusable_hyphenated_I_to_l_translit	scripts/postprocess_entry_map.py;data/reviewed_tibetan_exact_overrides.tsv	release/current/qa;docs/tibetan_initial_i_ng_cleanup_2026-06-28.md	3835	5774	Inhalt;Indien;Ich;Ingwer;International	Exact Initial-I/l residual diagnostics are exhausted in all four volumes; this is not the broader initial_confusable_I artifact bucket. Reviewed rows such as Ina->lṅa, Itar->ltar, Ipags->lpags, Ius->lus, and Ikog->lkog are applied; the broader initial_confusable_I diagnostic bucket remains.
initial_I_Itar_ltar	I_to_l	Itar	ltar	mixed	partially_applied	wts_1_34;wts_35_51;wts_8_b;wts_9_m	reviewed_tibetan_exact;initial_I_context_rules	data/reviewed_tibetan_exact_overrides.tsv;release/current/qa	docs/tibetan_initial_i_ng_cleanup_2026-06-28.md	680	491	Inhalt;Indien;Ich;Ingwer	Reviewed exact Itar->ltar rows are applied, but residual Itar remains; no global unconstrained Itar->ltar rule exists.
sanskrit_normalisations	sanskrit	damaged Sanskrit title/name/term tokens	reviewed Sanskrit forms	exact_token_context_gate	partially_applied	all	sanskrit_high_freq_allowlist;sanskrit_promoted_context_gate;sanskrit_char_normalize;sanskrit_singleton_context_gate;sanskrit_jn_cluster_contextual;sanskrit_jn_cluster_context_gate;sanskrit_family_canonicalize;sanskrit_promoted_context_allowlist	scripts/postprocess_entry_map.py;data/sanskrit_promote_overrides.tsv	docs/sanskrit_large_batch_cleanup_2026-05-28.md;release/current/qa	978	88	German prose;Tibetan transliteration;unreviewed broad jn->jñ or ä->ā	Sanskrit cleanups are exact/context-gated; remaining Sanskrit review suggestions need source/context checking.
sanskrit_source_check_queue	sanskrit	Sanskrit review suggestions	source-checked Sanskrit forms	source_review_queue	needs_source_check	none	none	release/current/qa/*/*_sanskrit_report.tsv	release/current/qa	0	88	German prose;Tibetan transliteration;unreviewed broad jn->jñ or ä->ā	Residual Sanskrit suggestions are a source-check queue, not applied correction evidence.
