page	line	entry_id	zone	headword_tibetan	headword_latin	headword_latin_confidence	translit_token_count	german_token_count	audit_candidates	audit_replaced	line_text
1	1	0	german_prose			none	0	1	0	0	Wörterbuch
1	2	0	german_prose_with_translit			none	1	2	0	0	der tibetischen Schriftsprache
1	3	0	german_prose			none	0	3	0	0	Im Auftrag der
1	4	0	german_prose			none	0	4	0	0	Bayerischen Akademie der Wissenschaften
1	5	0	german_prose			none	0	1	0	0	herausgegeben von
1	6	0	german_prose			none	0	2	0	0	Jens-Uwe Hartmann
1	7	0	german_prose_with_translit			none	1	1	0	0	Thomas ©. Höllmann
1	8	0	german_prose			none	0	1	0	0	9. Band
1	9	0	latin_other			none	1	0	0	0	(Lieferungen 61 bis 66)
1	10	0	latin_other			none	1	0	0	0	ma smros
1	11	0	german_prose			none	0	2	0	0	Bearbeitet von
1	12	0	german_prose			none	0	2	0	0	Petra Maurer
1	13	0	german_prose			none	0	2	0	0	Alexander Schiller
1	14	0	german_prose			none	0	2	0	0	Johannes Schneider
1	15	0	german_prose_with_translit			none	1	1	0	0	unter Mitwirkung von
1	16	0	german_prose_with_translit			none	1	1	0	0	Jinkyoung Choi
1	17	0	german_prose			none	0	2	0	0	Nima Repper
1	18	0	german_prose			none	0	1	0	0	MÜNCHEN
1	19	0	german_prose			none	0	3	0	0	VERLAG DER BAYERISCHEN AKADEMIE DER WISSENSCHAFTEN
1	20	0	german_prose			none	0	3	0	0	IN KOMMISSION BEIM VERLAG C.H.BECK
1	21	0	other			none	0	0	0	0	2024
2	1	0	german_prose			none	0	1	0	0	Das
2	2	0	german_prose_with_translit			none	1	3	0	0	Wörterbuch der tibetischen Schriftsprache
2	3	0	german_prose			none	0	7	0	0	wird als Vorhaben der Bayerischen Akademie der Wissenschaften
2	4	0	german_prose			none	0	3	0	0	(Zentral- und ostasiatische Studien)
2	5	0	german_prose			none	0	4	0	0	im Rahmen des Akademienprogramms
2	6	0	german_prose_with_translit			none	1	3	0	0	von der Bundesrepublik Deutschland
2	7	0	german_prose			none	0	5	0	0	und dem Freistaat Bayern gefördert
2	8	0	tibetan_only			none	0	0	0	0	7༠༣ 192402.
2	9	0	german_prose			none	0	6	0	0	Copyright 2024 by Bayerische Akademie der Wissenschaften, München
2	10	0	german_prose			none	0	7	0	0	in Kommission beim Verlag C.H.Beck, München
2	11	0	other			none	0	0	0	0	ISBN 978-3-7696-2230-0
2	12	0	german_prose			none	0	3	0	0	Satz: Tibetisches Wörterbuch
2	13	0	german_prose_with_translit			none	1	4	0	0	Gedruckt auf säurefreiem und alterungsbeständigem Papier
2	14	0	german_prose_with_translit			none	1	6	0	0	Druck und Bindung: AZ Druck und Datentechnik, Kempten
3	1	0	latin_other			none	1	0	0	0	Danksagungen
3	2	0	german_prose			none	0	8	0	0	Die Herausgeber und Bearbeiter des Wörterbuchs danken allen Kolleginnen und
3	3	0	german_prose_with_translit			none	1	10	0	0	Kollegen, die sich bei der Bearbeitung des achten Bandes der Mühe des Korrekturle-
3	4	0	german_prose_with_translit			none	1	5	0	0	sens unterzogen (Phillip Muntcanu) und Hinweise in Einzelfragen gegeben haben
3	5	0	german_prose_with_translit			none	3	7	0	0	(Joanna Bialek, Christoph Cüppers, Franz-Karl Ehrhard, Zhen Liu, Dan Martin,
3	6	0	german_prose_with_translit			none	2	8	0	0	Gudrun Melzer, Charles Ramble, Veronika Ronge, Roland Steiner, Isabella Wūrth-
3	7	0	other			none	0	0	0	0	ner).
4	1	0	german_prose_with_translit			none	1	2	0	0	Mit Band 9 (Lieferungen 61-66)
4	2	0	german_prose			none	0	3	0	0	neu hinzugekommene Quellentexte und Literatur
4	3	0	german_prose_with_translit			none	9	2	0	0	K343 Gan po la sogs pa'i rtogs pa brjod pa brgya pa / Pūrnapramukhāva-
4	4	0	german_prose_with_translit			none	2	4	0	0	dänasataka. Abt. mDo sde, am 1b1-286b7. Skt.: Vainya 2000.
4	5	0	german_prose_with_translit			none	5	3	0	0	K'Th Kah thog rig 'dzin Tshe dban nor bu (1698-1755). Ed.: Damchoe
4	6	0	latin_other			none	1	0	0	0	Sangpo 1976-77.
4	7	0	german_prose_with_translit			none	7	3	0	0	1: 377-391] dPalrig 'dzin Kab thog pa chen po Tshe dban nor bu'i Zabs
4	8	0	german_prose_with_translit			none	6	2	0	0	kyi nam thar mdor bsdus dad pa'i sa bon (1a-8a). Exzp.: J. Panglung.
4	9	0	german_prose_with_translit			none	10	1	0	0	PTs dPa' bo glsug lag 'phren ba, Mi pham chos kyi rgya mtsho (1504-
4	10	0	german_prose_with_translit			none	6	2	0	0	1564/66): Chos 'byun mkhas pa'i dga' ston. Andere Ed.: rDo nyi
4	11	0	german_prose			none	0	2	0	0	RGYAL. PO 1986 (Kürzelzusatz D).
4	12	0	german_prose_with_translit			none	2	8	0	0	Bexzer, Henk 1997. Kar glin Zi khro. A Tantric Buddhist concept. Leiden: Rescarch
4	13	0	german_prose			none	0	1	0	0	School CNWS (CNWS publications 56).
4	14	0	german_prose_with_translit			none	1	9	0	0	"von Hinüger, Oskar 1994. ""Vinaya und Abhidhamma."" In: Studien zur Indologie und"
4	15	0	german_prose			none	0	1	0	0	Iranistik 19, $. 109-122.
4	16	0	german_prose_with_translit			none	2	4	0	0	Ororino, Giacomella 1990. Sacred Tibetan teachings ofdeath and liberation. Texts from
4	17	0	german_prose_with_translit			none	1	4	0	0	the most ancient traditions of Tibet. Bridport: Prism Press [u.a.].
4	18	0	german_prose_with_translit			none	4	2	0	0	RDO RJE RGYAL TO 1986. Chos byun mkhas pa'i dga' ston. [Pe cin:] Mi rigs dpe skrun
4	19	0	latin_other			none	2	0	0	0	khan. [PTs-D].
4	20	0	german_prose_with_translit			none	2	5	0	0	Rosin, Valentina 1959. Der Vinayavibhanga zum Bhiksupratimoksa der Sarvastiva-
4	21	0	german_prose_with_translit			none	1	6	0	0	dins. Sanskritfragmente nebst einer Analyse der chinesischen Übersetzung Berlin:
4	22	0	german_prose_with_translit			none	1	8	0	0	Akademie-Verlag. (Deutsche Akademie der Wissenschaften zu Berlin, Institut für
4	23	0	german_prose_with_translit			none	2	4	0	0	Orientforschung, Veröffentlichung Nr. 27 = Sanskrittexte aus den Jurfanfunden
4	24	0	other			none	0	0	0	0	11).
4	25	0	german_prose_with_translit			none	1	8	0	0	"Schneider, Johannes 2022. ""Synonyme in der Mahävyutpatti. Zum Verständnis der"
4	26	0	german_prose_with_translit			none	2	6	0	0	"mit (ma) 'dom na gebildeten Einträge."" In: Acta Astatica Varsoviensia 35, 6. 233_"
4	27	0	other			none	0	0	0	0	202.
4	28	0	german_prose_with_translit			none	2	4	0	0	SORENSEN, Per [( , / Hazon, Guntram, in cooperation with TseringGyalbo, 2005. Thun-
4	29	0	german_prose_with_translit			none	5	3	0	0	"dering Falcon. An inguiry into the history and cult of Khra-""brug, Tiber's first Bud-"
4	30	0	german_prose_with_translit			none	1	8	0	0	dhist temple. Wien: Verlag der ÖAW (Beiträge zur Kultur- und Geistesgeschichte
4	31	0	german_prose_with_translit			none	1	4	0	0	Asiens 46 / Denkschriften der philosophisch-historischen Klasse 333).
4	32	0	german_prose_with_translit			none	2	5	0	0	Vaimya, PL. 2000. Avadäna-staka [!]. Darbhanga: Mithila Institute (Buddhist Sans-
4	33	0	german_prose_with_translit			none	1	1	0	0	krit Texts 19). [K343]
5	1	0	latin_other			none	1	0	0	0	'ma.
5	2	0	german_prose			none	0	3	0	0	1. sechzehnter Buchstabe des tibetischen
5	3	0	latin_other			none	1	0	0	0	Alphabets.
5	4	0	german_prose_with_translit			none	3	2	0	0	"— ni lha mo gos dkar mo (metr.) ""ma ist die"
5	5	0	german_prose_with_translit			none	3	3	0	0	"Göttin Pändurä"" (Hev 1.1.22c); ra ña na —"
5	6	0	german_prose_with_translit			none	4	3	0	0	"Sin tu mo (metr.) ""na, fa, na und ma sind"
5	7	0	german_prose_with_translit			none	2	1	0	0	"sehr weiblich"" (rTjBy 2, 14); ña — ""a gsum mo"
5	8	0	german_prose_with_translit			none	3	3	0	0	"yin cin (metr.) ""[die Suffixe] na, ma und 'a,"
5	9	0	german_prose_with_translit			none	1	3	0	0	"die drei, sind weiblich"" (rTjBy 6,105); ga da"
5	10	0	german_prose_with_translit			none	3	1	0	0	"ba — a sion 'ug (metr.) ""ga, da, ba, ma und"
5	11	0	german_prose_with_translit			none	2	3	0	0	"¢ sind Präfixe"" (ScpBy 12); sbyor tshul na"
5	12	0	german_prose_with_translit			none	4	1	0	0	"— ra la gyi (metr.) ""die Anhängeregel [lau-"
5	13	0	german_prose			none	0	3	0	0	"tet]: [bei] "", """", r und / [steht] or"" (ScpBy"
5	14	0	german_prose_with_translit			none	3	4	0	0	"63); ka bstod / — bstod ""das an der Abfolge"
