page	line	token_index	base_token	alternate_token	reason	base_key	alternate_key	base_line	alternate_line	alignment_method	alignment_attribution	resynchronization_attribution	resynchronization_source	base_to_alternate_page_delta	alternate_page	page_match_score	canonical_overlap	shared_canonical_tokens	base_nonempty_count	alternate_nonempty_count	line_count_ratio
5	33	3	rNin-ma-Schule	rÑin-ma-Schule	alternate_witness_google_loc_nasal_upgrade	rninmaschule	rninmaschule	Gelehrter der rNin-ma-Schule des Buddhismus, Chime Rigdzin Lama, Shantiniketan	Gelehrter der rÑin-ma-Schule des Buddhismus, Chime Rigdzin Lama, Shantiniketan	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	5	1.042	0.996	242	37	37	1.000
6	8	1	dGe-bses	dGe-bśes	alternate_witness_google_loc_fricative_upgrade	dgebses	dgebses	dGe-bses Iha-ram-pa-Prüfung in Tibet abgelegt hatten, vom Dalai Lama ausgewählt und	dGe-bśes lha-ram-pa-Prüfung in Tibet abgelegt hatten, vom Dalai Lama ausgewählt und	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	6	1.042	0.987	443	81	84	0.964
6	8	2	Iha-ram-pa-Prüfung	lha-ram-pa-Prüfung	alternate_witness_hyphenated_initial_i_to_l_translit	iharampaprufung	lharampaprufung	dGe-bses Iha-ram-pa-Prüfung in Tibet abgelegt hatten, vom Dalai Lama ausgewählt und	dGe-bśes lha-ram-pa-Prüfung in Tibet abgelegt hatten, vom Dalai Lama ausgewählt und	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	6	1.042	0.987	443	81	84	0.964
8	58	14	gron	groṅ	alternate_witness_google_loc_nasal_upgrade	gron	gron	ist Grundlage für die Anordnung (z.B.: auf ku $a la folgt ku sa’ gron khyer).	ist Grundlage für die Anordnung (z.B.: auf ku $a la folgt ku sa’ groṅ khyer).	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	8	0.566	0.989	270	56	57	0.982
12	21	4	L$dz	Lśdz	alternate_witness_citation_siglum	lsdz	lsdz	zu halten (Glu, L$dz, Tise usw.).	zu halten (Glu, Lśdz, Tise usw.).	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	12	0.987	0.922	238	36	41	0.878
12	32	17	mnon	mṅon	alternate_witness_google_loc_nasal_upgrade	mnon	mnon	AA Byams pa: Ses rab kyi pha rol tu phyin pa’i man nag gi bstan bcos mnon par rtogs pa’i	Ahs Byams pa: Ses rab kyi pha rol tu phyin pa'i man nag gi bstan bcos mṅon par rtogs pa'i	rewrapped_page_alignment	rewrapped_page_alignment	direct_page_alignment		0	12	0.987	0.922	238	36	41	0.878
23	30	4	bzan	bzaṅ	alternate_witness_google_loc_nasal_upgrade	bzan	bzan	Dun DKAR, Blo bzan ’phrin las mchog 1981: Deb ther dmar po rmams kyı dan po hu lan deb ther.	Dun DKAR, Blo bzaṅ ’phrin las mchog 1981: Deb ther dmar po rmams kyı daṅ po hu lan deb ther.	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	23	0.683	0.890	543	90	94	0.957
23	30	15	dan	daṅ	alternate_witness_google_loc_nasal_upgrade	dan	dan	Dun DKAR, Blo bzan ’phrin las mchog 1981: Deb ther dmar po rmams kyı dan po hu lan deb ther.	Dun DKAR, Blo bzaṅ ’phrin las mchog 1981: Deb ther dmar po rmams kyı daṅ po hu lan deb ther.	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	23	0.683	0.890	543	90	94	0.957
23	34	3	ses	śes	alternate_witness_google_loc_fricative_upgrade	ses	ses	chen mo ses bya rab gsal (Außentitel: Dun dkar tshigmdzod chen mo). Pe cin: Krun go’ibod rig	chen mo śes bya rab gsal (Außentitel: Dun dkar tshigmdzod chen mo). Pe cin: Krun go’ibod rig	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	23	0.683	0.890	543	90	94	0.957
23	105	6	sgrun	sgruṅ	alternate_witness_google_loc_nasal_upgrade	sgrun	sgrun	Glin ge sar rgyal po’i sgrun ] STEIN 1956 [Gesar]	Glin ge sar rgyal po’i sgruṅ ] STEIN 1956 [Gesar]	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	23	0.683	0.890	543	90	94	0.957
23	111	5	gZon	gŹon	alternate_witness_google_loc_fricative_upgrade	gzon	gzon	’Gos lo tsä ba gZon nu dpal ! LokesH CHanpra 1976 [Debn]	’Gos lo tsä ba gŹon nu dpal ! LokesH CHanpra 1976 [Debn]	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	23	0.683	0.890	543	90	94	0.957
23	114	4	Ihun	lhun	alternate_witness_initial_i_to_l_translit	ihun	lhun	von bKra 475 Ihun po bLo bzan dPal ldan Ye ses. Aus dem tibetischen Original übersetzt und	von bKra 475 lhun po bLo bzaṅ dPal ldan Ye śes. Aus dem tibetischen Original übersetzt und	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	23	0.683	0.890	543	90	94	0.957
23	114	7	bzan	bzaṅ	alternate_witness_google_loc_nasal_upgrade	bzan	bzan	von bKra 475 Ihun po bLo bzan dPal ldan Ye ses. Aus dem tibetischen Original übersetzt und	von bKra 475 lhun po bLo bzaṅ dPal ldan Ye śes. Aus dem tibetischen Original übersetzt und	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	23	0.683	0.890	543	90	94	0.957
