family_key	candidate_family	source_tokens	proposed_targets	occurrence_count	volume_count	sample_refs	sample_contexts	evidence_summary	confidence_summary	suggested_action
guarded_dollar_to_sacute:s:s	guarded_dollar_to_sacute	$ (205)	ś (205)	205	1	wts_8_b:14:80; wts_8_b:17:50; wts_8_b:22:27; wts_8_b:25:10; wts_8_b:29:12	"[$© und rote Banner, phya ra ra"" (gZi 2: 64,2). || (brDa); zil pa (Dagy); ~$ rag pa = zil pas || hurica (vgl. Goldstein $. v.), auch ba"	guarded_dollar_scan:205	low:205	defer
unknown:rol:rol	unknown	rol (24)	Rol (24)	24	1	wts_8_b:10:13; wts_8_b:23:16; wts_8_b:71:21; wts_8_b:99:16; wts_8_b:164:23	"T2688 lHan cig skyes pa'i rol pa: Kun nas sgor 'jug pa'i 'od zer gtsug tor || ~ yi sgra yaṅ ni / phyi rol tshal du (metr.) || rol ba'i a tsa ra Zig dan (byrtsad pas ""Se-btsun"			siglum_policy_review
unknown:ins:ins	unknown	ins (23)	Ins (23)	23	1	wts_8_b:57:4; wts_8_b:57:30; wts_8_b:77:76; wts_8_b:104:25; wts_8_b:117:92	"er ins Parinirväna eingehen"" (][ 1 kha 61b2); || chen und betrachte sie bis ins Mark"" (Bca || ins Wasser gefallen ist, wurde der Wald ent-"			siglum_policy_review
guarded_dollar_to_sacute:s0:s0	guarded_dollar_to_sacute	$0 (5)	ś0 (5)	5	1	wts_8_b:30:63; wts_8_b:273:42; wts_8_b:305:18; wts_8_b:310:41; wts_8_b:417:50	"Lex. — pa = chan ""thuns pas $0///5 bag med || byan chub kyi $0༡༡75 la mtho ¿/??74// dan che || 291,14); rus so $0?/ — ni / sgo'am ji me khams"	guarded_dollar_scan:5	low:5	defer
guarded_dollar_to_sacute:s5:s5	guarded_dollar_to_sacute	$5 (4)	ś5 (4)	4	1	wts_8_b:152:21; wts_8_b:343:43; wts_8_b:523:25; wts_8_b:571:38	bya yul dan / — 077/$5 po dṅos po gZan (metr.) || dpa' gzuns beu 09?7/$5 kyi min); — ba = abhi- || bindet das Maul der schwarzen $5// ru voll-	guarded_dollar_scan:4	low:4	defer
guarded_dollar_to_sacute:s7:s7	guarded_dollar_to_sacute	$7 (4)	ś7 (4)	4	1	wts_8_b:127:71; wts_8_b:234:92; wts_8_b:461:90; wts_8_b:504:52	(ThK 2: 411,3); $7% (r. sie) mio ru mtshams || myos $7?2 rab myos rnams / lha dagbsrun ba — || 8764); rnam par 'tshe ba las — pa ni $7//? rje	guarded_dollar_scan:4	low:4	defer
guarded_dollar_to_sacute:s8212:s8212	guarded_dollar_to_sacute	$8212 (4)	ś8212 (4)	4	1	wts_8_b:264:84; wts_8_b:332:35; wts_8_b:398:15; wts_8_b:517:62	"[man sie] nach mTon-sod aus"" ($8212 12); || stungen eingenommen hatten"" ($8212 28); || rje, kämpften um die Festung"" ($8212 5);"	guarded_dollar_scan:4	low:4	defer
unknown:gs:gs	unknown	gs (4)	Gs (4)	4	1	wts_8_b:335:60; wts_8_b:344:77; wts_8_b:406:24; wts_8_b:466:50	"gs — la dban sgyur zir ""hierzu ausführlich: || gs) chos skal zad pa lta bu chos med sdig || gs pa 'oris par ur tshe (metr.) ""als der"			siglum_policy_review
guarded_dollar_to_sacute:4s:4s	guarded_dollar_to_sacute	4$ (3)	4ś (3)	3	1	wts_8_b:227:6; wts_8_b:233:44; wts_8_b:311:15	?4$ / ¿ པཿ mo las chad (1. mehed) pa yin || བྱེད་ 'byed pf. [/༡༡/4$ fur. ] '/)7/4 imp. |/7)/03; in || rab tu grags pa bi byun ste ... — ye 4$ ©$ rab	guarded_dollar_scan:3	low:3	defer
guarded_dollar_to_sacute:70s:70s	guarded_dollar_to_sacute	70$ (3)	70ś (3)	3	1	wts_8_b:317:78; wts_8_b:348:50; wts_8_b:481:31	"legs )70$ kyi — la mkhas pa km ""alle, die im || tha siad — gsum yin te / (//70$ po'i — bäi rn || Lex. — sgrig = geig ?70$ su geig sgrig pa ""ei-"	guarded_dollar_scan:3	low:3	defer
unknown:gzi:gzi	unknown	gzi (3)	gZi (3)	3	1	wts_8_b:28:62; wts_8_b:206:5; wts_8_b:436:52	"Lex. gzi brjid can (brDa, Dagy). || Lex. gzi byin byin rlab sogs ""Glanz, Segen || nen"" (Dagy);— ba'am gzi brjid = tejab ""leu-"			siglum_policy_review
guarded_dollar_to_sacute:0s:0s	guarded_dollar_to_sacute	0$ (2)	0ś (2)	2	1	wts_8_b:246:19; wts_8_b:383:45	— tsami dan 'brel ba yi / (/??0$ po bdag la'ani || དབུགས་དབྱུང་ dbugs dbyuṅ fur. zu [¿//?//0$ 7?༡//?/ .	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:77s:77s	guarded_dollar_to_sacute	77$ (2)	77ś (2)	2	1	wts_8_b:177:26; wts_8_b:514:46	"""lo 'bur —r bzo royu $/7//77$ pa las ""aus dem || deb gtan yig rigs /0/)//77$ thub dari — ""in Ver-"	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:7s:7s	guarded_dollar_to_sacute	7$ (2)	7ś (2)	2	1	wts_8_b:141:30; wts_8_b:541:48	— 7$ ni Zu pub na la pyi ni gdans su dro || dog srin ni ~ 7$ / bya Itar ni bcos bcos ste /	guarded_dollar_scan:2	low:2	defer
guarded_dollar_to_sacute:9s:9s	guarded_dollar_to_sacute	9$ (2)	9ś (2)	2	1	wts_8_b:245:45; wts_8_b:580:70	"— la 924[/]9$ tsbe rjes gnon tsam babs 'brel || 1.2.41); — pa dan / dug gi 7/9$ pa ""Gefähr-"	guarded_dollar_scan:2	low:2	defer
unknown:lis:lis	unknown	lis (2)	Liś (2)	2	1	wts_8_b:174:63; wts_8_b:217:74	"'tsbo mdzad chos bzan mtshan can lis — rdo || sbyin lis — ba = yagamayam ""in Opfern be-"			siglum_policy_review
citation_or_siglum:auf:rgyud	citation_or_siglum	auf (1)	rGyud (1)	1	1	wts_8_b:7:20	Die Erzählstoffe des Mūlasarvāstivādavinaya, analysiert auf Grund der tibe-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:die:p	citation_or_siglum	die (1)	P (1)	1	1	wts_8_b:7:38	mdor bsdus. Kurzfassung für die Praxis = Lamrim, Langenfeld (bei Neu-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:für:k	citation_or_siglum	für (1)	K (1)	1	1	wts_8_b:7:38	mdor bsdus. Kurzfassung für die Praxis = Lamrim, Langenfeld (bei Neu-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:i.mu:lmu	citation_or_siglum	I.MU (1)	LMU (1)	1	1	wts_8_b:5:12	I.MU konnte er dort im Jahre 1967 das Studium der Indologie, Tibewlogie, Mongoli-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:liyl:liyl	citation_or_siglum	Liyl (1)	Liyl (1)	1	1	wts_8_b:130:24	"ihn!"" (Liyl 17535); bu bkum du dogs nas bu"	sigla_registry:1	policy:1	already_canonical_siglum
citation_or_siglum:mdud:vainth	citation_or_siglum	mdud (1)	VaiNth (1)	1	1	wts_8_b:130:87	"thig mdud pa — rog(s) mdzod ""hilf mir, die"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:mūlasarvastivadavinaya:ka	citation_or_siglum	Mūlasarvāstivādavinaya (1)	kā (1)	1	1	wts_8_b:7:20	Die Erzählstoffe des Mūlasarvāstivādavinaya, analysiert auf Grund der tibe-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:neu:chagnth	citation_or_siglum	Neu (1)	ChagNth (1)	1	1	wts_8_b:7:38	mdor bsdus. Kurzfassung für die Praxis = Lamrim, Langenfeld (bei Neu-	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:sie:sel	citation_or_siglum	sie (1)	śel (1)	1	1	wts_8_b:130:33	"(Tär 168,18); gsum mdo Zigtu — ba ""sie setz-"	siglum_shape:1	policy:1	already_canonical_siglum
citation_or_siglum:vainth:vainth	citation_or_siglum	VaiNth (1)	VaiNth (1)	1	1	wts_8_b:130:80	(VaiNth 190,1); sa chen 'di la gom pa bdum	siglum_shape:1	policy:1	already_canonical_siglum
google_tibetan_diacritic_disagreement:1:snaṅ	google_tibetan_diacritic_disagreement	1 (1)	snaṅ (1)	1	1	wts_8_b:130:80	(VaiNth 190,1); sa chen 'di la gom pa bdum	google_unresolved_tibetan_context:1	medium:1	review
google_tibetan_diacritic_disagreement:blo-bzan:blo-bzaṅ	google_tibetan_diacritic_disagreement	Blo-bzan (1)	Blo-bzaṅ (1)	1	1	wts_8_b:3:4	pa Losang Panglung (Byams-pa Blo-bzan sPan-lun) Abschied genommen. Am 19.	google_unresolved_tibetan_context:1	medium:1	review
guarded_dollar_to_sacute:09s:09s	guarded_dollar_to_sacute	09$ (1)	09ś (1)	1	1	wts_8_b:511:37	"འབྲེགས་ ""/?ˆ09$"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:60s:60s	guarded_dollar_to_sacute	60$ (1)	60ś (1)	1	1	wts_8_b:519:3	"60$ und viele andere mkban bu kamen"" (Nel"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s077:s077	guarded_dollar_to_sacute	$077 (1)	ś077 (1)	1	1	wts_8_b:191:60	"la $077 — nas ""er sagte: 'Nimm diesen Anteil"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s07:s07	guarded_dollar_to_sacute	$07 (1)	ś07 (1)	1	1	wts_8_b:54:16	— phan ishun gi $07 blon pos gnod pa	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s095:s095	guarded_dollar_to_sacute	$095 (1)	ś095 (1)	1	1	wts_8_b:369:52	དབས་ dbas Y'sba. 141,5); jo bo'i sku 'dra ~ yon ma $095 naṅ	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s09s5:s09s5	guarded_dollar_to_sacute	$09$5 (1)	ś09ś5 (1)	1	1	wts_8_b:455:14	"— ... $09$5 bag med sna tshogs la brten ""sie"	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:s1131:s1131	guarded_dollar_to_sacute	$1131 (1)	ś1131 (1)	1	1	wts_8_b:309:60	"$1131] sprach"" (PT1287 482); hwa dze dzes ..."	guarded_dollar_scan:1	low:1	defer
guarded_dollar_to_sacute:srt:srt	guarded_dollar_to_sacute	$rT (1)	śrT (1)	1	1	wts_8_b:89:41	"bu yan rgyal pos gu $rT gnan nas ""nachdem"	guarded_dollar_scan:1	low:1	defer
loc_nasal_damage:gźnńs:gźnṅs	loc_nasal_damage	gźnńs (1)	gźnṅs (1)	1	1	wts_8_b:352:29	"yid gźnńs pa / dban po mo ba ""Thon-mi"	orthography_scan:1	medium:1	review
loc_nasal_damage:rūińn:rūiṅn	loc_nasal_damage	rūińn (1)	rūiṅn (1)	1	1	wts_8_b:79:87	"ni ~ 206 pa'i brda rūińn no ""spad ist ein alter"	orthography_scan:1	medium:1	review
unknown:vis:vis	unknown	Viś (1)	Vis (1)	1	1	wts_8_b:458:80	"Feinde töten solle"" (Viś 66); tiṅ ṅe 'dzin la"			siglum_policy_review
