volume	page	line	token_index	tibetan_syllable	current_dotted_token	provenance_class	source_token_or_tokens	correction_reason	correction_evidence	context_excerpt
wts_1_34	35	164	3	ཞང	źaṅ	reviewed_exact_final_ng	Zan;Zaṅ	reviewed_correction_supersession_bridge;reviewed_tibetan_exact_final_ng_historical_witness	historical_witness_zhang_consensus_batch_20260728;tibetan_zha_feature_integrity_20260728	ཀ་ཅོག་ཞང་ ka cog źaṅ, auch ska cog źaṅ Kurzf. für
wts_1_34	36	79	3	བང	baṅ	reviewed_exact_final_ng	ban	reviewed_tibetan_exact_final_ng_source_compatible	source_compatible_bang_consensus_batch_20260727	ཀ་ཏ་བང་ཀ་ Ra ta baṅ ka eine Heilpflanze. - skt.
wts_1_34	37	119	2	ཐུང	thuṅ	reviewed_exact_final_ng	thun	reviewed_tibetan_exact_final_ng_consensus	tibetan_thung_consensus_batch_20260726	ཀ་ཐུང་ ka thuṅ (ka).
wts_1_34	39	188	2	ཕྲེང	phreṅ	reviewed_exact_final_ng	phren	reviewed_tibetan_exact_final_ng_consensus	tibetan_phreng_consensus_batch_20260726	ཀ་ཕྲེང་ ka phreṅ ('ka) „ka-Kranz“, alphabetische
wts_1_34	40	127	4	དབང	dbaṅ	reviewed_exact_final_ng	dban	reviewed_tibetan_exact_final_ng_consensus	tibetan_dban_consensus_batch_20260719	ཀ་བ་ཤཱཀྱ་དབང་ཕྱུག་ ka ba Sakya dbaṅ phyug, auch
wts_1_34	41	143	2	མང	maṅ	reviewed_exact_final_ng	man	reviewed_tibetan_exact_final_ng_consensus	tibetan_mang_consensus_batch_20260726	ཀ་མང་ ka maṅ irrt. für \ka mad.
wts_1_34	43	158	2	རིང	riṅ	reviewed_exact_final_ng	rin	reviewed_tibetan_exact_final_ng_consensus	tibetan_ring_consensus_batch_20260719	ཀ་རིང་ ka riṅ, auch ka rins (ka).
wts_1_34	46	52	2	ལིང	liṅ	reviewed_exact_final_ng	lin	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	ཀ་ལིང་ ka liṅ, auch ka li ein Ort 111 rMa.
wts_1_34	46	58	2	ལིང	liṅ	reviewed_exact_final_ng	lin	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	ཀ་ལིང་འབུད་ ka liṅ ’bud
wts_1_34	46	65	2	ལིང	liṅ	reviewed_exact_final_ng	lin	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	ཀ་ལིང་ཀ་ ka liṅ ka, auch ka linika, ka lin ga, ka
