tibetan_syllable	volume	page	line	token_index	source_token	target	family_target_evidence	anchor_provenance_status	family_identity_evidence	row_exact_tibetan_alignment	row_damage_status	row_marker_status	row_local_lemma_cue	audit_decision	context_excerpt
ཀྲོང	wts_1_34	109	55	1	kron	kroṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	direct_repeated_tibetan_alignment	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	ཀྲོང་ངེ་ kron ne
ཀྲོང	wts_1_34	109	88	1	kron	kroṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	direct_repeated_tibetan_alignment	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	ཀྲོང་ཀྲོང་ kron kron.
ཀྲོང	wts_1_34	109	88	2	kron	kroṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	direct_repeated_tibetan_alignment	reviewed_exact	none	none	direct_repeated_tibetan_alignment	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	ཀྲོང་ཀྲོང་ kron kron.
ཀྲོང	wts_1_34	109	100	1	kron	kroṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	direct_repeated_tibetan_alignment	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	ཀྲོང་ངེ་ kron ne auch kran ne aufgerichtet, auf-
བགྲང	wts_1_34	219	44	2	bgran	bgraṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	སྐྱོན་བགྲང་ skyon bgran Kurzf. für skyon du bgran
བགྲང	wts_1_34	219	127	3	bgran	bgraṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	སྐྱོན་དུ་བགྲང་བ་ skyon du bgran ba Tskyon bgran.
བགྲང	wts_1_34	424	82	1	bgran	bgraṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	བགྲང་ bgran zählen, rechnen; ¬ du med uner-
བགྲང	wts_1_34	424	141	1	bgran	bgraṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	བགྲང་ཝྲེང་ bgran phren Gebetskette.
བགྲང	wts_1_34	424	178	1	bgran	bgraṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	བགྲང་ཡས་ bgran yas auch bgran yal eine hohe
བགྲང	wts_1_34	424	188	1	bgran	bgraṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	བགྲང་ཡོལ་ bgran yol eine hohe Zahl.
བགྲང	wts_1_34	547	174	2	bgran	bgraṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	མངན་བགྲང་ mnan bgran \rnan bgran.
བགྲང	wts_1_34	560	16	2	bgran	bgraṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	རྔན་བགྲང་ rnan bgran auch mnan bgran [.
རྟིང	wts_1_34	157	25	2	rtin	rtiṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	རྐང་རྟིང་ rkaṅ rtin Ferse.
རྟིང	wts_1_34	918	166	1	rtin	rtiṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	རྟིང་སྐྱེས་ rtin skyes Irtin nas skyes pa.
རྟིང	wts_1_34	918	174	1	rtin	rtiṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	རྟིང་ནས་སྐྱེས་པ་ rtin nas skyes pa auch rtin skyes
རྟིང	wts_1_34	919	3	1	rtin	rtiṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	རྟིང་འབྲང་བ་ rtin ’braṅ ba Gefährte; vgl. !rtin
རྟིང	wts_1_34	919	25	1	rtin	rtiṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	རྟིང་སོར་ rtin sor in Zukunft, später.
རྟིང	wts_1_34	919	36	1	rtin	rtiṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	རྟིང་ལྷམ་ rtin lham Halbschuh.
རྟིང	wts_1_34	1203	75	2	rtin	rtiṅ	current dotted anchor present; authoritative base OCR source unavailable for direct verification	base_provenance_unverified	explicit_same_entry_repetition;cross_reference_review	reviewed_exact	none	none	none	preserve_reviewed_correction_but_do_not_reuse_as_direct_base_anchor	དེ་རྟིང་ de rtin Kurzf. für de’i rtiṅ la dann, da-
