bucket	token	count
wts_1_34:dollar_artifact	$	1287
wts_1_34:dollar_artifact	$$	3
wts_1_34:dollar_artifact	$z	2
wts_1_34:dollar_artifact	$Sambh	1
wts_1_34:dollar_artifact	Li$	1
wts_1_34:dollar_artifact	$ET	1
wts_1_34:dollar_artifact	$RT	1
wts_1_34:dollar_artifact	G$	1
wts_1_34:dollar_artifact	RoIN$	1
wts_1_34:dollar_artifact	P$	1
wts_1_34:dotless_i_artifact	gZı	17
wts_1_34:dotless_i_artifact	yı	15
wts_1_34:dotless_i_artifact	ı	14
wts_1_34:dotless_i_artifact	sıe	14
wts_1_34:dotless_i_artifact	Rsı	11
wts_1_34:dotless_i_artifact	yanı	11
wts_1_34:dotless_i_artifact	yıg	9
wts_1_34:dotless_i_artifact	MıgTo	9
wts_1_34:dotless_i_artifact	garı	9
wts_1_34:dotless_i_artifact	kyanı	9
wts_1_34:dotless_i_artifact	meır	8
wts_1_34:dotless_i_artifact	ım	7
wts_1_34:dotless_i_artifact	eın	6
wts_1_34:dotless_i_artifact	Zın	6
wts_1_34:dotless_i_artifact	cın	5
wts_1_34:dotless_i_artifact	sın	5
wts_1_34:dotless_i_artifact	gsarı	5
wts_1_34:dotless_i_artifact	säın	5
wts_1_34:dotless_i_artifact	gZı-Sn	5
wts_1_34:dotless_i_artifact	glın	5
wts_1_34:dotless_i_artifact	rın	4
wts_1_34:dotless_i_artifact	mıg	4
wts_1_34:dotless_i_artifact	byanı	4
wts_1_34:dotless_i_artifact	rı	4
wts_1_34:dotless_i_artifact	eı-	4
wts_1_34:dotless_i_artifact	nanı	4
wts_1_34:dotless_i_artifact	tıg	4
wts_1_34:dotless_i_artifact	rıgs	4
wts_1_34:dotless_i_artifact	sarı	4
wts_1_34:dotless_i_artifact	drıl	4
wts_1_34:dotless_i_artifact	ın	3
wts_1_34:dotless_i_artifact	TıLa	3
wts_1_34:dotless_i_artifact	Atıśa	3
wts_1_34:dotless_i_artifact	nımmt	3
wts_1_34:dotless_i_artifact	Hım-	3
wts_1_34:dotless_i_artifact	VaıNth	3
wts_1_34:dotless_i_artifact	śın	3
wts_1_34:dotless_i_artifact	yıs	3
wts_1_34:dotless_i_artifact	yañı	3
wts_1_34:dotless_i_artifact	ıns	3
wts_1_34:dotless_i_artifact	samädhıh	3
wts_1_34:dotless_i_artifact	ımp	3
wts_1_34:dotless_i_artifact	dreı	3
wts_1_34:dotless_i_artifact	yarı	3
wts_1_34:dotless_i_artifact	sgarı	3
wts_1_34:dotless_i_artifact	srı	3
wts_1_34:dotless_i_artifact	AtıNth	2
wts_1_34:dotless_i_artifact	lorı	2
wts_1_34:dotless_i_artifact	TıLal	2
wts_1_34:dotless_i_artifact	xlıv	2
wts_1_34:dotless_i_artifact	Ivı	2
wts_1_34:dotless_i_artifact	pagına	2
wts_1_34:dotless_i_artifact	Dolanjı	2
wts_1_34:dotless_i_artifact	Käsıkä	2
wts_1_34:dotless_i_artifact	chın	2
wts_1_34:dotless_i_artifact	avabhäsayantı	2
wts_1_34:dotless_i_artifact	snanı	2
wts_1_34:dotless_i_artifact	läßı	2
wts_1_34:dotless_i_artifact	spyı	2
wts_1_34:dotless_i_artifact	yıb	2
