volume	page	line	token_index	base_token	alternate_token	proposed_target	reason	base_key	alternate_key	candidate_family	context_excerpt	alternate_line	evidence	confidence	suggested_action	score	score_explanation	alignment_method	alignment_attribution	resynchronization_attribution
wts_9_m	52	3	4	mallikä	mallikā	mallikā	non_translit_context	mallika	mallika	citation_or_siglum	den Baum namens mallikä, und auch für die	den Baum namens mallikā, und auch für die	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for mallikā; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_9_m	52	35	3	VisT	VisṬ	ViśT	non_translit_context	vist	vist	citation_or_siglum	"vorgebracht habe"" (VisT' 112,20); rnam par"	vorgebracht habe“ (VisṬ 112,20); rnam par	sigla_registry	policy	siglum_policy_review	5	Bibliographic siglum candidate for ViśT; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_9_m	52	49	3	HMrg	HMṛg	HMrg	non_translit_context	hmrg	hmrg	citation_or_siglum	"schen wurde"" (HMrg 59,9); kun chub par"	"sehen wurde"" (HMṛg 59,9); kun chub par"	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for HMrg; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_9_m	52	57	4	Zabs	źabs	źabs	unsafe_token_disagreement	zabs	zabs	google_tibetan_diacritic_disagreement	146b4); khyod kyi Zabs rdul Ihun ba yis /	146b4); khyod kyi źabs rdul lhun ba yis /	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_9_m	52	67	4	biens	bźens	bźens	unsafe_token_disagreement	biens	bzens	google_tibetan_diacritic_disagreement	mes thugs dam biens pa' 'phro thams cad	mes thugs dam bźens pa'i 'phro thams cad	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_9_m	52	90	4	Vajrayāna	Vajrayana	Vajrayāna	non_translit_context	vajrayana	vajrayana	citation_or_siglum	"und Pfade des Vajrayāna vollständig"" (KTh"	"und Pfade des Vajrayana vollständig"" (KTh"	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Vajrayāna; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_9_m	68	2	5	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	Lex. la sogs pa = dnos su gsal por ma ston par	Lex. la sogs pa = dños su gsal por ma ston par	google_blocked_wrong_target_plus_language_knowledge	medium	review	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_9_m	143	10	5	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	_ la gser gym ... sogs dnos po' rigs tshon	_ la gser gym ... sogs dños po' rigs tshon	google_blocked_wrong_target_plus_language_knowledge	high	exact_promotion_candidate	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_9_m	159	9	2	brDa	miggzugs	brDa	unsafe_token_disagreement	brda	miggzugs	citation_or_siglum	"ler"" (brDa); mag /0)? ba ""blind"" (Dagy)."	3 miggzugs Bez. für die Sonne, vgl.	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for brDa; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_9_m	190	77	2	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	sa' dnos gi tsbig don griis ka — la soxs	sa' dños gi tsbig don griis ka — la soxs	google_blocked_wrong_target_plus_language_knowledge	high	exact_promotion_candidate	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
