frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	context_excerpt
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	115	56	1	ཀླུང	klun	kluṅ	positional	dominant_internal_consensus	none	ཀླུང་ཆུ་ klun chu
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	115	94	1	ཀླུང	klun	kluṅ	positional	dominant_internal_consensus	none	ཀླུང་ཆུ་ klun chn.
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	115	169	1	ཀླུང	klun	kluṅ	positional	dominant_internal_consensus	none	ཀླུང་རྟ་དགྲ་བཟློག་ klun rta dgra bzlog ein Ritual zur
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	115	182	1	ཀླུང	klun	kluṅ	positional	dominant_internal_consensus	none	ཀླུང་ལྡན་ klun ldan Bergfluß, Wasserfall.
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	115	185	1	ཀླུང	klun	kluṅ	positional	dominant_internal_consensus	none	ཀླུང་ཚུགས་ klun tshugs npr. Ortsname, vgl. Irlun
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	115	191	1	ཀླུང	klun	kluṅ	positional	dominant_internal_consensus	none	ཀླུང་བཞི་ klun bi Symboltiere für die vier Him-
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	115	204	1	ཀླུང	klun	kluṅ	positional	dominant_internal_consensus	none	ཀླུང་སེ་ klun se 72. junger Mann oder Mann über
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	115	209	1	ཀླུང	klun	kluṅ	positional	dominant_internal_consensus	none	ཀླུང་གསེར་གྱི་ཕྱེ་མ་ཅན་ klun gser gyi phye ma can
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	291	9	3	ཕུང	phun	phuṅ	echo	direct_repeated_tibetan_alignment	none	ཁ་ཕུང་ཕུང་ khra phun phun rundum leuch-
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	652	111	4	ཕུང	phun	phuṅ	echo	uncertain	uncertain	"ཆུ་ཨི་ཕུང་ N"" chu yi phun po"
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	674	128	7	ཕུང	phun	phuṅ	echo	explicit_same_lemma_repetition	none	ཆོས་ཀྱི་ཕུང་པོ་ chos kyi phun po auch chos phun
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_35_51	910	31	4	ཕུང	phun	phuṅ	echo	explicit_same_lemma_repetition	none	ཕུང་འདྲེ་ phuṅ 'dre auch 'phun 'dre ein Dämon.
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_35_51	913	68	5	ཕུང	phun	phuṅ	echo	explicit_same_lemma_repetition	none	ཕུང་གསུམ་པ་ phuṅ gsum pa auch phun sum pa
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_9_m	220	76	5	ཕུང	phun	phuṅ	echo	explicit_same_lemma_repetition	none	མི་ཕུང་ me phuṅ auch me'i phun po, me yi pl
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_9_m	237	35	5	ཕུང	phun	phuṅ	echo	uncertain	uncertain	མིའི་ཕུང་པོ་ me' phuṅ po Tme phun.
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	249	40	2	ཕུང	phun	phuṅ	positional	dominant_internal_consensus	none	ཁ་ཕུང་ངེ་བ་ kha phun ne ba aufgehäuft; od zer
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	284	206	2	ཕུང	phun	phuṅ	positional	dominant_internal_consensus	none	ཁྱིམ་ཕུང་ khyim phun innerfamiliäre Streitig-
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	291	9	2	ཕུང	phun	phuṅ	positional	dominant_internal_consensus	none	ཁ་ཕུང་ཕུང་ khra phun phun rundum leuch-
82cb6d2b5ad6e57d2bc1b363706f73281caf3c9b	wts_1_34	291	9	3	ཕུང	phun	phuṅ	positional	dominant_internal_consensus	none	ཁ་ཕུང་ཕུང་ khra phun phun rundum leuch-
