volume	page	line	token_index	base_token	alternate_token	proposed_target	reason	base_key	alternate_key	candidate_family	context_excerpt	alternate_line	evidence	confidence	suggested_action	score	score_explanation	alignment_method	alignment_attribution	resynchronization_attribution
wts_35_51	18	6	7	bZag	bźag	bZag	non_translit_context	bzag	bzag	citation_or_siglum	"Lex. stegs ""Gestell"" (Dagy); Ihun bzed bZag"	"Lex. stegs „Gestell"" (Dagy); lhun bzed bźag"	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for bZag; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	18	27	3	bZugs	bźugs	bZugs	unsafe_token_disagreement	bzugs	bzugs	citation_or_siglum	tshal stug bZugs pa yi / ri dags — rnams (metr.)	tshal stug bźugs pa yi / ri dags ~rnams (metr.)	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for bZugs; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	18	36	7	bin	bźin	bźin	unsafe_token_disagreement	bin	bzin	google_tibetan_diacritic_disagreement	phan tshun mthun pa ma yin bin (metr.)	phan tshun mthun pa ma yin bźin (metr.)	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	18	42	3	Aid	ñid	ñid	unsafe_token_disagreement	aid	nid	google_tibetan_diacritic_disagreement	"khro bo Aid (metr.) ""um die Gefährlichen"	khro bo ñid (metr.) „um die Gefährlichen	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	18	51	2	Märas	Māras	Māras	non_translit_context	maras	maras	citation_or_siglum	"unheilstiftender Märas usw."" (Samv 13.24a);"	"unheilstiftender Māras usw."" (Samv 13.24a);"	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Māras; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	18	68	7	bKth-2	bKth-Ź	bKth-Ź	non_translit_context	bkth2	bkthz	google_tibetan_diacritic_disagreement	"ten Kon-rje, die sehr bösartig sind"" (bKth-2"	"roten Kon-rje, die sehr bösartig sind"" (bKth-Ź"	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	18	74	2	Tär	Tār	Tār	non_translit_context	tar	tar	citation_or_siglum	"beherrschend"" (Tär 12,20); bod —s rgan mo"	"beherrschend"" (Tār 12,20); bod ~s rgan mo"	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Tār; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	18	79	5	nani	naṅ	naṅ	unsafe_token_disagreement	nani	nan	google_tibetan_diacritic_disagreement	"kla klo 'di mmams nani 'khrug gis gud de ""die"	kla klo 'di rnams naṅ 'khrug gis gud de „die	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	40	34	7	gZer	phral	gZer	non_translit_context	gzer	phral	citation_or_siglum	"sind eine Fußfessel für die Befreiung"" (gZer"	~ ma skyel sems phral (r. khral) 'phral	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for gZer; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	40	53	1	Dasy	brDa	brDa	non_translit_context	dasy	brda	citation_or_siglum	(Dasy).	(brDa).	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for brDa; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	40	71	8	ru	ṅu	ṅu	unsafe_token_disagreement	ru	nu	google_tibetan_diacritic_disagreement	"chu tshod kyi snod ""dra ba chun ru byas te"	chu tshod kyi snod 'dra ba chun ṅu byas te	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	40	82	6	herabhāngen	herabhängen	herabhāngen	non_translit_context	herabhangen	herabhangen	citation_or_siglum	sein Ohr binden und es herabhāngen lassen;	sein Ohr binden und es herabhängen lassen;	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for herabhāngen; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	47	86	1	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	"dnos por bcom Idan ""das kyis la lar gsuns pa"	"dños por bcom ldan ""das kyis la lar gsuns pa"	google_blocked_wrong_target_plus_language_knowledge	medium	review	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_35_51	48	1	4	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	བདག་ཉིད་ཀྱི་དངོས bdag ñid kyi dnos	བདག་ཉིད་ཀྱི་དངོས bdag ñid kyi dños	google_blocked_wrong_target_plus_language_knowledge	high	exact_promotion_candidate	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_35_51	73	28	5	Zes	źes	źes	unsafe_token_disagreement	zes	zes	google_tibetan_diacritic_disagreement	"ña btul ba'i ... le'u Zes bya ba ste beu ~o ""das"	ña btul ba'i le'u źes bya ba ste bcu ~’o „das	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	73	39	9	nań	naṅ	naṅ	non_translit_context	nań	nan	loc_nasal_damage	(Vdk-M 115,22); lab 'chin hor zla ~i nań	(Vḍk-M 115,22); lab 'chin hor zla -'i naṅ	google_unresolved_plus_orthography_scan	low	review	25	LOC-style acute-n appears in a Tibetan transliteration context.			
wts_35_51	90	11	4	Käsy	Kāśy	Kāśy	non_translit_context	kasy	kasy	citation_or_siglum	"schätzt die Wahrheit"" (Käsy 50,30); no bo"	schätzt die Wahrheit“ (Kāśy 50,30); no bo	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Kāśy; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	90	20	1	sam	sñam	sñam	unsafe_token_disagreement	sam	snam	google_tibetan_diacritic_disagreement	"sam pa dan ""König Sikhandin dachte: 'Das"	sñam pa daṅ „König Sikhandin dachte:,Das	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	90	49	8	sie	sñe	sñe	unsafe_token_disagreement	sie	sne	google_tibetan_diacritic_disagreement	"weit'"" (Mil 43,19); las 'bras — pa'i sie ma"	weit (Mil 43,19); las 'bras pa'i sñe ma	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	90	52	5	mron	mṅon	mṅon	unsafe_token_disagreement	mron	mnon	google_tibetan_diacritic_disagreement	"rnam pa ben drug mron du byas ""ihm wur-"	rnam pa bcu drug mṅon du byas „ihm wur-	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	90	63	1	tä	tā	tā	unsafe_token_disagreement	ta	ta	citation_or_siglum	"tä"" (Räg 69,8); — par skad cig kyan grub pa"	tā“ (Rāg 69,8); ~ par skad cig kyaṅ grub pa	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for tā; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	90	63	2	Räg	Rāg	Rāg	unsafe_token_disagreement	rag	rag	citation_or_siglum	"tä"" (Räg 69,8); — par skad cig kyan grub pa"	tā“ (Rāg 69,8); ~ par skad cig kyaṅ grub pa	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Rāg; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	90	70	5	Zig	źig	źig	unsafe_token_disagreement	zig	zig	google_tibetan_diacritic_disagreement	"— thog tu 'khyol ba Zig gi tshar gcod ""die"	thog tu 'khyol ba źig gi tshar gcod „die	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	90	88	6	bZam	bźam	bZam	unsafe_token_disagreement	bzam	bzam	citation_or_siglum	"gelobt"" (PT1287 450); khyod kyis bZam pa —"	gelobt“ (PT1287 450); khyod kyis bźam pa	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for bZam; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	145	14	10	dbañń	dbaṅ	dbañṅ	unsafe_token_disagreement	dbanń	dban	loc_nasal_damage	dban po dan / lce'i dban po dan / lus kyi dbañń	dbaṅ po daṅ / Ice'i dbaṅ po daṅ / lus kyi dbaṅ	google_unresolved_plus_orthography_scan	medium	review	55	LOC-style acute-n appears in a Tibetan transliteration context.			
wts_35_51	145	19	6	$in	śin	śin	unsafe_token_disagreement	sin	sin	dollar_ś	"sin bal las byas pa $in tu phra ba ""alle Arten"	śin bal las byas pa śin tu phra ba „alle Arten	google_unresolved_plus_orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.			
wts_35_51	145	26	6	Käsy	Kāśy	Kāśy	non_translit_context	kasy	kasy	citation_or_siglum	"Welt Yamas und die Asuras"" (Käsy 155,26);"	"Welt Yamas und die Asuras"" (Kāśy 155,26);"	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Kāśy; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	145	40	7	bZag	bźag	bźag	unsafe_token_disagreement	bzag	bzag	google_tibetan_diacritic_disagreement	ñas chos gdags pa rnam par bZag pa ~ / mdo'i	ñas chos gdags pa rnam par bźag pa ~ / mdo'i	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	145	57	3	s	S	S	non_translit_context	s	s	citation_or_siglum	solchem Maße; —s auf diese Weise.	solchem Maße; -S auf diese Weise.	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for S; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_35_51	145	63	6	ra	ṅa	ṅa	unsafe_token_disagreement	ra	na	google_tibetan_diacritic_disagreement	"artigen Strophen"" (Suv 19,10); ra la skyes"	derartigen Strophen“ (Suv 19,10); ṅa la skyes	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	145	68	4	shan	sñan	sñan	unsafe_token_disagreement	shan	snan	google_tibetan_diacritic_disagreement	bdag cag gis shan ma mthon ba'i mi ~ Zig	bdag cag gis sñan ma mthon ba'i mi ~ źig ...	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_35_51	145	68	9	Zig	źig	źig	unsafe_token_disagreement	zig	zig	google_tibetan_diacritic_disagreement	bdag cag gis shan ma mthon ba'i mi ~ Zig	bdag cag gis sñan ma mthon ba'i mi ~ źig ...	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
