volume	page	line	token_index	tibetan_syllable	current_latin_token	integrity_status	integrity_pass	known_feature_violation	feature_coverage	transcription_gateway_status	transcription_exception_status	transcription_exception_scope	alignment_confidence	headword_transliteration_span_status	token_start	token_end	preceding_character	following_character	token_boundary_status	expected_high_confidence_features	observed_features	violated_rules	canonical_full_target	canonical_target_evidence	domain_context	damage_scope	marker_attached	context_excerpt
wts_1_34	11	9	3	ཀ	ga	marker_or_damage	no	no	none	blocked			marker_or_damage	ambiguous_span	16	18	 	 	token_boundary_secure						unclear	damage_before_latin_alignment	no	ཀ་ 12 ཁ་ 81༣ ག་ ga ང་ na kh khy khr mkh mkhy mkhr ' 11] ’khy ’khr
wts_1_34	11	11	5	ཉ	ha	insufficient_feature_coverage	no	no	none	unresolved			gloss_or_prose_noise	gloss_intrusion	18	20	 	 	token_boundary_secure						unclear	none	no	Sc & cha E' ja ཉ་ ha bsgr
wts_1_34	11	13	2	ཏ	na	marker_or_damage	no	no	none	blocked			marker_or_damage	ambiguous_span	23	25	 	 	token_boundary_secure						unclear	damage_before_latin_alignment	no	ཏ་ ༢ བླྲ། 113 ད་ ཤ༣ ན་ na ce gebele
wts_1_34	11	13	3	བླྲ	ce	marker_or_damage	no	no	none	blocked			marker_or_damage	ambiguous_span	26	28	 	 	token_boundary_secure						unclear	damage_before_latin_alignment	no	ཏ་ ༢ བླྲ། 113 ད་ ཤ༣ ན་ na ce gebele
wts_1_34	11	15	1	པ	pa	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	3	5	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	པ་ pa X [13 བ་ ba མ་ ma I 19] 71] 1 17]
wts_1_34	11	21	1	ར	la	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	ར་ ༣ ལ་ la ཤ་ 5a ས་ ༠༣ p 9 [7 69 dpy dpr Ip sp spy spr
wts_1_34	11	21	0	ལ	a	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	15	16	5	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	ར་ ༣ ལ་ la ཤ་ 5a ས་ ༠༣ p 9 [7 69 dpy dpr Ip sp spy spr
wts_1_34	11	33	2	ཅི	w	canonical_syllable_mismatch	no	yes	none	blocked			probable_alignment	missing_transliteration	5	6	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	R ཅི w
wts_1_34	11	41	1	ཊུ	tha	insufficient_feature_coverage	no	no	none	unresolved			gloss_or_prose_noise	gloss_intrusion	10	13	 	 	token_boundary_secure						unclear	later_gloss_or_commentary	no	ཊུ་ (༢ ཏ' tha ཌ་ 6༣ B na PP sa 11 hrih
wts_1_34	21	19	13	པཔ	bsad	marker_or_damage	no	no	none	blocked			marker_or_damage	gloss_intrusion	71	75	 	 	token_boundary_secure						unclear	tibetan_headword_overlap	no	Vdk sDe srid Sans rgyas rgya mtsho (1653-1705): Phug lugs rtsis kyi པཔ bsad baidürya
wts_1_34	33	1	1	ཀ	'ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	4	7	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀ།་ 'ka 1. erster Buchstabe des tibetischen Al-
wts_1_34	33	12	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	4	6	""""	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"ཀ་ ""ka in cp. Abk. für Säule, Pfosten; !ka ba."
wts_1_34	33	17	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	4	6	""""	,	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"ཀ་ ""ka, auch kha, ga der Nominalbildung die-"
wts_1_34	33	25	1	ཀཱ	'kwa	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	4	8	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀཱ་ 'kwa interj., für !kwa’i.
wts_1_34	33	32	1	ཀྭ	kwa	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	4	7	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ཀྭ་ kwa Kurzf. für Ikwa cn und Ikwa ’od mchog
wts_1_34	33	40	1	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	10	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	་ཀ་ཀ་ཧ་ ka ka ku ha ein Ort in Indien. — skt.
wts_1_34	33	40	2	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	11	13	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	་ཀ་ཀ་ཧ་ ka ka ku ha ein Ort in Indien. — skt.
