frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	context_excerpt
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	121	136	4	ཁུང	khun	khuṅ	echo	uncertain	uncertain	དཀར་ཁུང་ dkar khun \skar khun.
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	176	149	5	ཁུང	khun	khuṅ	echo	explicit_same_lemma_repetition	none	སྐར་ཁུང་ skar khun auch dkar khun, alttib. skar
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	346	127	5	ཁུང	khun	khuṅ	echo	explicit_same_lemma_repetition	none	གབ་ཁུང་ gab khun auch sgab khun Kniekehle.
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	489	149	4	ཁུང	khun	khuṅ	echo	uncertain	uncertain	སྒབ་ཁུང་ sgab khun Tgab khun.
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	934	122	5	ཁུང	khun	khuṅ	echo	explicit_same_lemma_repetition	none	ལྟེ་ཁུང་ lte khun auch //¢ ba khun Bauchnabel.
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	935	20	5	ཁུང	khun	khuṅ	echo	uncertain	uncertain	ལྟེ་བ་ཁུང་ Ite ba khun 7//¢ khun.
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	962	9	5	ཁུང	khun	khuṅ	echo	damaged_reference	damaged_reference	སྟོར་ཁུང་ stor khun [།2/07 khun.
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	110	77	2	ཁུང	khun	khuṅ	positional	dominant_internal_consensus	none	ཀླད་ཁུང་ klad khun Hirnschale.
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	121	136	2	ཁུང	khun	khuṅ	positional	dominant_internal_consensus	none	དཀར་ཁུང་ dkar khun \skar khun.
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	176	149	2	ཁུང	khun	khuṅ	positional	dominant_internal_consensus	none	སྐར་ཁུང་ skar khun auch dkar khun, alttib. skar
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	257	53	2	ཁུང	khun	khuṅ	positional	dominant_internal_consensus	none	ཁང་ཁུང་ kan khun
0848355ecd7399fbb36bcff65acc9b65e779f546	wts_1_34	267	30	1	ཁུང	khun	khuṅ	positional	dominant_internal_consensus	none	ཁུང་ khun Loch, Grube, Höhle, Mine.
