tibetan_syllable	source_variant	former_mechanical_variant_nonsemantic	audit_priority	alignment_review_status	note	context_excerpt
གསུང	gsuṅń	gsuṅṅ	malformed_internal_nasal	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	པདྨ་གསུང་ padma gsuṅń cine Mahāyoga-Praxis Ir. -NI'i Hana
དཔུང	dpuṅń	dpuṅṅ	malformed_internal_nasal	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དཔུང་ 'dpuṅń
པང	Daseinsbereichen	Daseinsbereicheṅ	long_or_gloss_like	obvious_gloss_or_alignment_noise	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	པང Daseinsbereichen.
དོང	Wildschwein	Wildschweiṅ	long_or_gloss_like	obvious_gloss_or_alignment_noise	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཕྲག་དོང་ phagrgod Wildschwein; wilder Eber,
ང	vollkommen	vollkommeṅ	long_or_gloss_like	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྙིང་ཕྲ་ང་ szin phur vollkommen, eindringlich
བྲེང	entzweien	entzweieṅ	long_or_gloss_like	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བྲེན་བྲེང་ dbyenbyed entzweien, spalten, tren-
རེངས	auchmoren	auchmoreṅ	long_or_gloss_like	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མོ་རེངས།་ morens auchmoren, mo hreris allein-
གང	Mannsh	Mannsṅ	long_or_gloss_like	obvious_gloss_or_alignment_noise	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མི་གང་ migari Mannshöhe, Klafter.
རུང	noch	nocṅ	long_or_gloss_like	obvious_gloss_or_alignment_noise	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ད་རུང་ darun noch, dann, weiterhin, noch im-
སྟེང	Dach	Dacṅ	long_or_gloss_like	obvious_gloss_or_alignment_noise	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	པུ་ཤུ་སྟེང་ ༼ sten Giebel, Dach eines Pala-
གཏོང	vernich	vernicṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཏོར་ཁྲ་ཏག་ཏ་གཏོང་ gtor brlag du gton vernich-
དང	dangon	dangoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	དང་གོང་ dangon in thugs kyi — Brust.
བྲེང	rennen	renneṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བྲེངས་སེ་བྲེང་ brenssebreṅ onom. rennen,
ཀྱང	khyun	khyuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀྱང་སྡེར་ khyun sder eine Heilpflanze.
ཁང	khrun	khruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁང་ཁང་འཇོམས་ khrun khrun ”joms Beiname
ཁང	khrun	khruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁང་ཁང་འཇོམས་ khrun khrun ”joms Beiname
ཁང	khrun	khruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།ཁང་མ་། khrun ma Kellnerin.
ཁུང	khyun	khyuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁུང་སེང་འདས་པ་ khyun seṅ ’dus pa achtfüßiger
ཁུང	khrun	khruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁུང་ khrun resp. für chan.
ཁུང	khrun	khruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁུང་ཞེ་ཆཿ khrun Zu ma Kellnerin.
ཁུང	Felsh	Felsṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བྲཐ།ཁུང་ bragkburi Felshöhle, Felsspalte.
ཁོང	ikhon	ikhoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁོང་པ་ ikhon pa 1'khon.
ཁྱུང	kbyun	kbyuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཀླུ་སྦྲལ་འོད་ཁྱུང་ klu sbrul ’od kbyun ¦/5// sbrul ’od
ཁྱུང	khrun	khruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྱུང་ཁྱུང་ khrun khrun
ཁྱུང	khrun	khruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྱུང་ཁྱུང་ khrun khrun
ཁྱུང	khrun	khruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྱུང་ཏཁྱུང་ khrun khrun.
གྲོང	grorn	grorṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	གྲོང་འཇིག་ grorn jig „Städtezerstörer“, Bei-
ང	skyun	skyuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ང་པོ་ skyun po Ahle, Pfriem, Stichel.
དང	buddh	buddṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	T དང buddh. Gemeinde.
ནིང	manin	maniṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	"མ་ནིང་ཕྲ Em"" manin phrag dog ..."
ཕྱང	phyun	phyuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	།ཁྭ་ཆུ་ཆུས་ཕྱང་ kha chu chus phyun ein Schuh.
ཕྱང	phyun	phyuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ཁྲག་ཕྱང་ khrag phyun pf. zu lkhrag 'byin „Blut
ཕྱང	phyun	phyuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མངོན་ད་ཕྱང་ mnon du phyun pf. enthüllen,
བགྲང	beran	beraṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བགྲང་ beran
བགྲང	beran	beraṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བགྲང་ beran
བགྲང	beran	beraṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བགྲང་རྟོགས་ beran rtogs eine hohe Zahl.
བགྲང	beran	beraṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བགྲང་ཕྲེང་འཛིན་ beran phreṅ ’dzin Beiname des
བགྲང	beran	beraṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བགྲང་གཞི་ beran gäi.
བསླང	bskan	bskaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བསླང་ bskan fur. t'skon erfüllen; zufrieden-
བསླང	bskun	bskuṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བསླང་ bskun fut. zu tskun verbergen.
བསླང	bsruh	bsruṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	སྒོ་བསླང་བ་ sgo bsruh ba auch sgo bsruns Tsgo
མཐང	mthan	mthaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཐང་སྤྲད་པ་ mthan sprad pa
མཐང	mthan	mthaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཐང་སྤྲད་པ་ mthan sprad pa Bez. für Ge-
མཐང	mthan	mthaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཐང་སྦྱར་བ་ mthan sbyar ba
མཐང	mthan	mthaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཐང་སྦྱར་བ་ mthan sbyar ba auch 'than sbyar
མཐང	mthin	mthiṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མཐང་ཤཱུན་ mthin Sun ein blaues Leder oder ein
མཐང	mthan	mthaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	བླ་མཐང་ bla mthan.
མོང	mthon	mthoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	མོང་རྒ་ཆེ་ mthon rgya che weitsichtig, erfah-
ཚང	ishah	ishaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ནག་ཚང་ nag ishah Kurzf. für nag po'i tshaṅ.
འཚོང	ishoh	ishoṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	ནམ་འཚོང་ nam 'ishoh auch nam tsoṅ, nam
རང	spyan	spyaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	'རང་དྲང་ཅྲན་ spyan raṅ dran can
རྐྱང	rgyan	rgyaṅ	ordinary_manual_review	unresolved	Mechanical string transformation only; not a proposed correction and not evidence of the canonical transcription.	འཇིག་རྟེན་རྐྱང་ཕན་ ig rten rgyan phan
